2018-04-27 09:58:23	4400e11798867949ad4d491355df4033:ncK9TbDbBFCJF7xuGPF1iwJfEUCSqsgO	Q1:友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	114.136.78.51
2018-04-27 10:29:04	f402118d1b96670b8af65d103e8fc5f2:W6HzMXlybMV8KSdfa2MqwQjRF1bkv1WQ	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	223.136.233.249
2018-04-27 10:33:47	519814a1809ce58e1c4c0221828ad27f:Dzdur3ozCTb2igpwOC5PdCBhOlzaxIgc	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.177.58
2018-04-27 10:34:06	ca328eb27f74195a81d0f60ee35bec8c:GfoXAEjamM9WzjJwtSnsfpl0RIxZRkTu	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	49.214.65.114
2018-04-27 10:35:13	874b34d2c401ec0a49d14680b69de751:2iLhDAfqk4u48jJIZoyEZgJlJpnsxMq2	Q1:人化交通，樂活中正	,住好住滿	,;	223.137.179.73
2018-04-27 10:38:35	b0797f6028cab40df257cd17a1a86e50:PG51JBKS3fQACZ4RwsnuhDttli18jnyv	Q1:百年觀光新店溪河道再造	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	223.137.202.48
2018-04-27 10:39:41	ebe88421e401f906d130b2cef5533ba3:eyxkqKKLkyC6Ckm6cwHiuWWdGszhX666	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	27.242.198.65
2018-04-27 11:01:36	4bd519fd982878409a741672da857aa0:JGsqmzxKpAbcceJ3VhQdvVQXzfSasohx	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,;	111.71.77.59
2018-04-27 11:04:36	3673e2fd8eced3ea1f6f71b822e99aeb:w547WV7sTCOtihMNwovdsgrndP7tufGa	Q1:百年觀光新店溪河道再造	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,;	111.71.77.59
2018-04-27 11:12:02	dcb54575acb5478e597a9a80b59a614a:syryzrArMeCFlINhEqlDsyUykhlItdyB	Q1:百年觀光新店溪河道再造	,住好住滿	,;	220.128.238.123
2018-04-27 11:20:58	ccfe0428fcbf7aca9820f4dcd61cd219:Enz7pKqWDXNRIt5JShhck9XzLTL4mL8m	Q1:百年觀光新店溪河道再造	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,;	223.140.8.197
2018-04-27 11:32:06	39cf83de2311b9d25b6c33eb7c77529b:regOrzQ4hIjoSCMOQo3gVVMWQgASyq7R	Q1:百年觀光新店溪河道再造	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,;	111.71.77.59
2018-04-27 11:36:44	c777d5ee230b9779ccfea7f848d3244f:5ywDS7CIhj87wiKtYegkV1rPyooqVETP	Q1:人化交通，樂活中正	,住好住滿	,;	172.29.8.60
2018-04-27 11:55:43	af866a1efefde11b9bdee835b15354ce:NsoAdOPCssDKrrgSVyAIryu58ZUCTbWI	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	223.140.1.61
2018-04-27 11:57:32	b0406b64daa281a52d441aabb26da528:bfEN7tmazo1sEDcB2PJMOk2rQKcXVVtL	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	223.140.1.61
2018-04-27 12:04:21	97f50ccb4f5a0c920e82bf89f80d53fe:MAFhb7SxpkSn3IPRsRgjKw3NGOh4ctYC	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	223.140.1.61
2018-04-27 12:11:00	b15908bc367dff643160c8b752465554:5nXc9snzIbxWYbW84LzXHir24BE2eovw	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,;	223.136.233.249
2018-04-27 12:21:26	70c31b6e2db3a5f0e533125d44e10cd9:8Szgf2rbkc47pqoSfPFcopIQczEDy9ar	Q1:友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	223.136.233.249
2018-04-27 12:23:18	ea43f8161ea14c63605c24a1de52b10e:lfji59s3Ox2BTchP9HDzDIqJEocXu7m5	Q1:友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	223.136.233.249
2018-04-27 12:28:34	61a92aa2763c13f7025b835450e6bc3d:eMryyGv5U9ZQBkABPhyD34uyLpLubKHI	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	223.140.1.61
2018-04-27 12:34:26	908961ec06c9c23b1ffde41562657b7d:FDAJqttu877AhtSAwltpJFJn0JZYAGKl	Q1:百年觀光新店溪河道再造	,住好住滿	,;	101.9.213.13
2018-04-27 12:36:00	272ef40ea36776225d0e92f8fb5db581:loyuqtfPOifiV9osl5tcdieQ4cYKEGuv	Q1:百年觀光新店溪河道再造	,住好住滿	,;	101.9.213.13
2018-04-27 12:37:15	0772eb65c9f61ffa5c2221d6dcefc810:ATZg2pRzbiB73LhoPeiMqXvzYt7CcWW0	Q1:百年觀光新店溪河道再造	,住好住滿	,;	101.9.213.13
2018-04-27 12:41:02	77752895462932402e6e96c4e184c0a9:eTbLmVaMfOPpXpYXDeEpB17FamNNkspQ	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,;	223.140.1.61
2018-04-27 12:53:32	2a7df81189d3aff0605198aabd3cf20d:QswLyE1jDCEu1YYU5zwyPtJq6Bj8TESX	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	223.140.1.61
2018-04-27 12:56:25	7295ee79a501b57a80e371bdc16a0c48:mXpsQGS8r3GeftJS0h9ZEBgesvgUQDpP	Q1:百年觀光新店溪河道再造	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	223.136.233.249
