2018-04-23 10:02:09	386e5f3bccce4159e987378e3bac2e3c:TPPE68zNQmPyyx45m8HMfJRP20lIwTDy	Q1:給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	106.105.178.41
2018-04-23 10:02:12	33c63e06f823705f55f9d896fcb10e5a:KhoSmyNvjMhDAYpCIIvjEbxSW3r0ogYd	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	172.28.32.66
2018-04-23 10:04:19	67459ad2b572e6f9289e30887c1e7dd8:0I4uBxPDwHAFstTkpXiNpCLz0yVrpTYy	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	106.105.178.40
2018-04-23 10:04:24	a8f4dfe51a63efd4e980b41fcb12a994:A8U1jhNYlpFTlelaB0rralgucUU8iPsZ	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	172.28.32.66
2018-04-23 10:05:54	0507415668e466b84ea26d10701b29d7:nKKbTbA39hONwIPf5fPYGNcySymMCs40	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	172.28.32.66
2018-04-23 10:09:15	1d539fa7ad77e8d85a101d91e369a52e:NvqAyM6A9iwfaQpN5pwWMJiBprLQ3y3n	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	36.228.141.208
2018-04-23 10:09:26	72cf619d6d5e92f7f93f1fda5e5d0b16:AxJZZEWakI9bXrdyQZ17Uq33DihRAFGR	Q1:再見泥土，妳好牆	,湖光市場周邊環境改善	,;	106.105.178.41
2018-04-23 10:11:37	099c7c6c6d8c534aeded961e19650193:VdXWs93k1oXhtt8R1t61J4XEXSxJ0h8J	Q1:給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	106.105.178.44
2018-04-23 10:12:56	e3ed35751061494aabeaa8300c57b4bd:X5NbaHw7V2lCnUPcLzbnKOfdrvMor38b	Q1:給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	106.105.178.39
2018-04-23 10:13:49	bc1651e34bef604e9251ee384bc768d8:4L5nrdKIXVUvdnscufWRHgSvgEhV2VUZ	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	172.28.32.66
2018-04-23 10:15:11	0750a1484b449231e0904a02ace65c93:B4t5BIQpxti1I5EIGDpozOMLtuzRMQ1W	Q1:週美里河堤彩繪	,給康寧樓梯新面貌	,;	36.228.141.208
2018-04-23 10:16:24	43c63f0d5ae984ca13f4c137c83f21f1:zROgh2KnGtH3D8ISlJgV2ZK5WFOgnBtZ	Q1:週美里河堤彩繪	,湖光市場周邊環境改善	,;	106.105.178.39
2018-04-23 10:17:16	79d1a80ef26ec4885c1e120ac2873ea4:JoSrUU80CcLdT2hr73HpszePzGWQzhYa	Q1:週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	223.138.210.162
2018-04-23 10:17:28	12c99b12cf80ca1a0a326d9ba4da43a2:wt6Q40cjnqJX5nd2hPq9StinVUTWZ7hF	Q1:週美里河堤彩繪	,給康寧樓梯新面貌	,;	36.228.141.208
2018-04-23 10:19:48	bb0317c5fb5528b0455a47e1c92828ad:jOa5MfERtxfhmR8e4vlgq5pIKL6IQRR1	Q1:再見泥土，妳好牆	,給康寧樓梯新面貌	,;	27.247.192.113
2018-04-23 10:20:09	427f5eade3c39a8518144239e42d29f0:JzYplb6WFu357sBMUwIDJLIstjoHdvuF	Q1:給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	39.9.42.42
2018-04-23 10:20:10	86c438c828051cba74324d3038ac3947:1PcVjqmIkuANTsHzbLam2U3PzAClAHeL	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	172.28.32.66
2018-04-23 10:20:47	0bd20b4acd99cb80e7ab701987e0373a:UVY48NbYnZofWXAfvZ4zQCHPBfWCZ4dy	Q1:再見泥土，妳好牆	,給康寧樓梯新面貌	,;	1.200.193.0
2018-04-23 10:20:51	3a789e9f2400acd86a8cb6b806830244:dlFPgAm3QXqFAZDBLa72rk6rj1GjflSK	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	106.105.178.44
