2017-07-10 10:12:06	838e43155d9cd19acaf33e4c6ebd9257:Zs9gnwcjt0bcTOc6eAAfBgA02CwsF2Jf	Q1:老人幼兒照護,騎鐵馬遊中正,交通觀光不光光-軟硬兼施卡夕在,;	172.29.8.231
2017-07-10 10:19:17	463c4e28ab5701eb3bb0ff148ad23159:XVsS2YThWINuvEQlFWWB8lg4E3faO7Nx	Q1:公館藝文特區,老人幼兒照護,交通觀光不光光-軟硬兼施卡夕在,;	172.29.8.137
2017-07-10 10:22:44	65e97dedc8c792bbfb7de8996bf70f6b:4qBabmstl5kK4vDRLQccEN6qWb2UYT62	Q1:公館藝文特區,展現寶藏巖風華-文化聖地，再現風華,老人幼兒照護,騎鐵馬遊中正,交通觀光不光光-軟硬兼施卡夕在,;	172.29.8.74
2017-07-10 10:27:37	2867591c8443be663815adc863af126a:ELyT1wETNVwlVgw6Cr3QwlkotUWBYnO2	Q1:老人幼兒照護,騎鐵馬遊中正,交通觀光不光光-軟硬兼施卡夕在,;	223.140.149.238
2017-07-10 10:31:32	529bf07c83a3a86a172dff2500794f6b:oxsyraZzjBGf9DlpfPxzBcnROWUAWLQx	Q1:公館藝文特區,展現寶藏巖風華-文化聖地，再現風華,老人幼兒照護,騎鐵馬遊中正,交通觀光不光光-軟硬兼施卡夕在,;	172.29.8.137
2017-07-10 10:36:15	cbf2e96c31998031bf724a31b2ad18e9:Kw0oIQdpTFJx9oHGnYj4jV6O0CdhoSqe	Q1:老人幼兒照護,騎鐵馬遊中正,交通觀光不光光-軟硬兼施卡夕在,;	172.29.8.137
2017-07-10 10:44:32	3fa2352d8f875f11624d7952174a3971:iQ0NUntH4Zobt5ixjOHliudOIfEDYtEr	Q1:公館藝文特區,老人幼兒照護,騎鐵馬遊中正,;	103.31.196.193
2017-07-10 10:48:30	bfb5ae3c952e0f7ef16fd83d4e98f927:vfMlNWfQ4KiHFDxtWWrtNqsbkFHsPYn9	Q1:公館藝文特區,老人幼兒照護,騎鐵馬遊中正,;	223.140.149.238
2017-07-10 10:53:02	84f4dbc8e5f253db02b6b4da8d76a9f7:wBEtxniebs4Vlx8rakEeH6d2SQdB4K6K	Q1:老人幼兒照護,騎鐵馬遊中正,交通觀光不光光-軟硬兼施卡夕在,;	223.140.149.238
2017-07-10 10:53:36	80dd8214259211c8d31ed634f0b77205:VAot73h7SdUA9CVWeN6r76g9rEGDvOmq	Q1:公館藝文特區,老人幼兒照護,騎鐵馬遊中正,交通觀光不光光-軟硬兼施卡夕在,;	172.29.8.137
2017-07-10 10:54:59	f567412a6ec63fa5400aab0e5998c877:K3XTJ0vl6vSgD12t8fkSAC4nHGVwp5x8	Q1:老人幼兒照護,騎鐵馬遊中正,交通觀光不光光-軟硬兼施卡夕在,;	172.29.8.137
2017-07-10 10:57:14	3ee013889affd73ea141d1010e46879a:xTaxLJDh9iJNcPVQdQLVHp1YuBpi45Th	Q1:公館藝文特區,老人幼兒照護,交通觀光不光光-軟硬兼施卡夕在,;	223.140.175.169
2017-07-10 10:57:35	9948112479888799f6c5fb1b57702cfe:uYT4ifUwjCgc6JhGHuzGSkUr9HAX3RL0	Q1:展現寶藏巖風華-文化聖地，再現風華,老人幼兒照護,騎鐵馬遊中正,交通觀光不光光-軟硬兼施卡夕在,;	172.29.8.137
2017-07-10 11:00:15	1f4031aa9e4dbed0794f7482beab59a3:oyryXzpEJaKxENbasetO3fMMnYuGAAvC	Q1:公館藝文特區,展現寶藏巖風華-文化聖地，再現風華,騎鐵馬遊中正,;	223.140.149.238
2017-07-10 11:00:37	45de72db56eddeed269707ffa4944892:UXkNsyCgSN3r7I92cAZ2P0H7CGwgVM3e	Q1:公館藝文特區,老人幼兒照護,交通觀光不光光-軟硬兼施卡夕在,;	172.29.8.137
2017-07-10 11:01:56	e98fb8788bfc557e7b7b540bfb33ce51:HTv7oBwlLGuKd9o1wjHUHBQN0Vq3QP4j	Q1:公館藝文特區,老人幼兒照護,騎鐵馬遊中正,;	223.140.149.238
2017-07-10 11:04:14	ac361a4d814f967492563a4c167c82db:sQTU69Z0NSBxfGLD97sZ2QpsJPdyRt9K	Q1:公館藝文特區,展現寶藏巖風華-文化聖地，再現風華,老人幼兒照護,騎鐵馬遊中正,交通觀光不光光-軟硬兼施卡夕在,;	172.29.8.74
2017-07-10 11:04:28	aeb25cca61f3680c626748eec80c85ed:tnkTdenFuNHPV5rQBmKt8iZmdCUIY0uv	Q1:公館藝文特區,展現寶藏巖風華-文化聖地，再現風華,老人幼兒照護,;	223.140.149.238
2017-07-10 11:06:30	812d5ab032ed0373a22ce7d5b5b726e6:2W1H1E37S9xEFxupQaeGFnNjdGpmE6Ia	Q1:公館藝文特區,老人幼兒照護,交通觀光不光光-軟硬兼施卡夕在,;	223.140.149.238
2017-07-10 11:06:44	5a8d01341b69f105eca7169b8e73ae2a:1DNoiBoyV7MYRrbl7bvU1TWLmzZ2myKe	Q1:公館藝文特區,展現寶藏巖風華-文化聖地，再現風華,老人幼兒照護,騎鐵馬遊中正,交通觀光不光光-軟硬兼施卡夕在,;	220.134.249.228
2017-07-10 11:07:15	8822e1ad763ec22f622523cd996a5178:CHPgKfsMPv78f1WGj0zCBTwNyqYd4UTY	Q1:公館藝文特區,展現寶藏巖風華-文化聖地，再現風華,老人幼兒照護,騎鐵馬遊中正,交通觀光不光光-軟硬兼施卡夕在,;	172.29.8.74
2017-07-10 11:08:21	d19cc8f07e271ab80b80bbaac9c9a89d:9hA1N0HrBnWA3wxIbAKmiUmacCYTJW48	Q1:公館藝文特區,展現寶藏巖風華-文化聖地，再現風華,老人幼兒照護,騎鐵馬遊中正,交通觀光不光光-軟硬兼施卡夕在,;	172.29.8.74
2017-07-10 11:09:27	fc61f8671b1050cbfd91aaf755eeb9cd:cY8ex5jvgG24SujEYoLWikOHvklYkJWm	Q1:公館藝文特區,老人幼兒照護,騎鐵馬遊中正,交通觀光不光光-軟硬兼施卡夕在,;	172.29.8.137
