2018-04-19 03:28:15	fa5bf3526606abe53c833f035f18e134:wVqu5rOT44KBUshtD3IrmJU4OmXdczDr	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-19 03:33:08	9fcc40eb8c5eb993956c7892e7d8f653:Nlf0WeV6z8oNmeq5Qllh8oSMuycrM3oo	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	223.138.152.1
2018-04-19 03:40:10	0cda322b784e3bd07e03192fd506bc41:s8yUFHJ8kll8c6gSrD1gyxyvlRdtqm94	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,;	114.34.81.222
2018-04-19 03:41:20	1279c4f3416ed3241d655e997e3bc0c5:77p6VK5bmOVbtXbrqCKizXI0s5TrgVDr	Q1:活化青年公園,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-19 03:41:41	fdf26e1180d10a12bd4b3063f6aca8cb:qBINqCPCsrzY21hkV3wyaZ19uSp5IQwS	Q1:活化青年公園,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-19 03:42:04	97dd5fdbadc5b36f1ef788a5a8944d17:6SqQHll04JlGm8fRNWgEJMzd0fL9Kfdj	Q1:活化青年公園,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-19 03:42:24	aab4e74f7955d5c0886ecbe50ea8a026:N57HhOoSREMPXJnDhOOf2TVBRW1O5dqA	Q1:活化青年公園,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-19 03:43:13	b5e6e91e5b828bcfeacfbe867881ee93:hlY4G3afevdfKCnFdbJofNwSWhDfYa14	Q1:活化青年公園,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-19 03:43:31	274a3ea56b3ef77f991bcc356c947cf1:JdLACnht0k8EJosoMjSa3sryVUbiqQkf	Q1:活化青年公園,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-19 03:44:03	4a8d8986aab56ab1c647365cb520ae87:gIYcWmdYiuuPslSppb0ZtgePc4thb3Or	Q1:活化青年公園,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-19 03:44:35	eec4cc88b2400c59c41166b855c3c61e:ytGsrSQYZVqelBb5rDKvRFTDTWmpHJOh	Q1:活化青年公園,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-19 03:45:15	e923501c83b8bb44da01b22503761a87:wrplCFmjRkx2c6vbFmzjLrFPcRLZtljV	Q1:活化青年公園,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-19 03:45:58	fff78b2bd567140503a320f72e2a8d2d:8EcN26wFWmeh6UubntmbsTCk48RUuvdK	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-19 03:55:05	8ef3a7e4dd37f14347d664210cd729b1:EpMSMvU0xnqJJcdYl0T8Ledy3j7yudP5	Q1:活化青年公園,艋舺服飾商圈	,艋舺文化美食趣GOGO讚	,;	114.44.181.195
2018-04-19 04:40:26	33017d322133d4dd259568085492548b:a6hrbN7rwpxovMPG3HTPlehFSzo2Kt4I	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	118.150.40.137
2018-04-19 06:36:53	b9eb73b94efec32593e4cf48c732480d:wzuhXZDRErMFUgO5mAVhrX7ubgnFWa5J	Q1:活化青年公園,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,;	114.43.180.49
2018-04-19 06:48:51	b1ccaf7b02a76e5b2062e0d3487ea8fa:0qA3h57o17DYhtNmWNO07fcZD830TqYP	Q1:活化青年公園,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	118.233.95.72
2018-04-19 06:59:54	222c9a0c11b5628fde9d6da16937a1d6:4ZPU0hqe5vkQqHyOksDFwHiPcFtEjqBn	Q1:艋舺服飾商圈	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	180.217.173.251
2018-04-19 07:22:10	97eaa5526abea44e85283bb22e598e77:MO93Aj5AKCjFR3AFQ0D17ag3IXzqkAPF	Q1:彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	1.162.65.70
2018-04-19 07:29:47	c308424fb017bafdef94f3b50affb94d:uHwbG55R6Bp4tYwNsGQ0zfoIAa63tIPj	Q1:艋舺服飾商圈	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	125.231.91.184
2018-04-19 07:31:30	18d9238754b37fa94b444814f4e71a05:lfuSTe2pr76oPKZRjdbDALfIQAjRPMR5	Q1:艋舺服飾商圈	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	101.15.82.238
2018-04-19 07:40:47	db605130b7fc74be000d58a3437d84b8:0fXSFWfkpMXill9JXMn3VFF4JBut7GxC	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	61.231.30.35
2018-04-19 08:14:37	e9474386f5d82d1cf79deb98b5372165:w3zGNNeiBtogK60Yu7964asuCc9EHdoo	Q1:活化青年公園,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	223.140.68.207
