2018-04-26 02:50:26	26ebb0475eb9e312a1cd19bec43f68b1:XURlPurWLKuGQZpuyLj1FQ4yIf9SAbcj	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	150.116.119.69
2018-04-26 02:51:43	9f8dbd49d9654bf0dc35b95906054774:U009D3AJhnmvwU50nZh3iPBHDzhJjzFD	Q1:康樂區民活動中心外牆美化	,蝶會在自強公園	,;	150.116.119.69
2018-04-26 07:54:01	9299b82a54990af81c32cf81552ca372:KwBULjUlYExBIuBhpdqzxlnZO6rGaEKf	Q1:認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	114.43.154.85
2018-04-26 08:37:00	cfa7411d67ab13acac0a7e3ab9c43763:xlm0LOUjNL8RaIkxHHSgi8Ii3SLaxKZP	Q1:認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	163.21.20.253
2018-04-26 09:02:19	807feadbc6ef36932911cb80004fcb58:Um5ZgEC34snfIPDXtpKsv9FpzwBXbD2m	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	103.31.196.193
2018-04-26 09:07:57	d55a0d2fdd54ddebaf34ac72882f2b9e:Kmiv6E46owOyGwpJWqMfqSu72JD7wQff	Q1:認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	114.136.159.131
2018-04-26 09:21:14	6fdbb663caba3906ce4e464c4e853ebc:cUi7BDG4gkEjAPTCOEirKLnFmxanzVfs	Q1:認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	172.29.177.208
2018-04-26 09:22:20	15e60920bd10257f7764c4ff87f347c5:D9lHtKpdAe26GJOVZ9RrsdAopcqQ2BdN	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	172.29.177.208
2018-04-26 09:23:26	67c2f5309453764ef52aa040b103923c:gKCW8c9pUu3ptj18iQXxG76LdprF551W	Q1:認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	172.29.177.208
2018-04-26 09:23:57	3577340b59167af153fedab09799575c:Wmn1NlggTWHmw22PfNPM8MBLOuunxXWo	Q1:認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	1.167.48.114
2018-04-26 09:25:05	dadce801b1b50df1b8ceba79263d7f8b:oqwKwgEjwSD6QD7U6mGvhurhR4vsPmS8	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,;	172.29.177.208
2018-04-26 09:26:12	3309abd414348025ca7687e2ebadc4de:ACNw3uPAlHj95TXWvh6TQAD1KbXI3gZQ	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	172.29.177.208
2018-04-26 09:27:17	4a3d6885b446837d2f7ccadd72d7bc1f:XAoXCVDiyjYI5UScFJ72jILVfPQXOqXK	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	172.29.177.208
2018-04-26 09:28:20	036ec7943737c073d66a458b9b8e61cc:iCoJ8prJiov2YfqaheBG3AGbm0EOBB2U	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,;	172.29.177.208
2018-04-26 09:29:20	79cc32c0374bb87f31ae87f5a6cee2c9:QESlNVO92yK98F6eAHb7sT8ObnwrFwT9	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	172.29.177.208
2018-04-26 09:30:47	af9712016a7748ff440d73e1a3e80669:h5IOuOV2YWfyGs04yGBEC9seHTsI8vzY	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	172.29.177.208
2018-04-26 09:31:20	5814f36e5c925f844ab54d31893ab73e:zAq1Qi0uXCUjX13DqI9xBWKc9WdmkKL7	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	111.71.17.134
2018-04-26 09:31:51	b78330c26e7c2051db2a194287835f32:E1rvvbhxNn6ex46xiY23JN0eRg767gZ2	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	172.29.177.208
2018-04-26 09:33:32	2152c4fff5e974ef9561b6f0d0a44df0:gHMy5HzOe9Gwpkw7jKa1WY1zp7dS8iCF	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,;	172.29.177.208
2018-04-26 09:34:24	767ff3af0ca48e84d32cfd42b6c43dce:sBfYm8VBSUNo9oXqGcnq4rIrFLtt9Tpy	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,;	172.29.177.208
2018-04-26 09:35:21	6412136a2ba50d75a8b5e96c00cba110:K5KwyalkhVKElNtA4ggD8efYzCW9UYiD	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	172.29.177.208
2018-04-26 09:36:38	8d4a648e0ac2ff385bef8e0cb00fddd3:EHNuzWZXKoxJdDwyGOW2VhA6qeeAk5nx	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	172.29.177.208
2018-04-26 09:38:10	831bdad3013164fd604d9a3aad1fa48f:xHpd6d2fkfvK5e8pHJSDIOXMZmQEZY3f	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	111.71.17.134
2018-04-26 09:38:13	f098e09aa59777720cdb51a7f1609636:iOgYGROIJ8Q1v7aqTo4suGr8wDcT9l6Q	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,;	172.29.177.208
