2018-04-17 10:01:14	48003334ed57b4a7e2c09e4464c19633:IPX2O7z0dQoFafvNqn4iesArGOsfuud7	Q1:綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,;	140.119.121.6
2018-04-17 10:04:07	7e782ed44893f53ddc09cfb87a2e894f:mvXDy37JIZA1SV4PYU0hxEE5XDZQMERW	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,;	172.29.147.132
2018-04-17 10:05:11	30c668c2ecca693a9503cb49f45968df:fEEZt15eL3tpPxCNcv82OTpho8ocCMxt	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,景美一定行	,興隆市場增掛電梯以便民案	,;	1.161.224.114
2018-04-17 10:06:53	11ecd044e6c8dc918e6f368bd68277a4:eSNOHculjMG3HSgyUC4E7pbFTEmZGzdg	Q1:綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,興隆市場增掛電梯以便民案	,;	10.254.248.143
2018-04-17 10:08:10	6a3052a177092f705af6842da62368b7:kkWvYPsNxWOEdNrVLpdjZv8JpAUKZgS6	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	27.247.10.120
2018-04-17 10:08:11	62d465bce8cef03db4b7c66f346bcd1f:KuHJOsjVoBqvI3BUSLFwqBgF18x0QpNk	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	110.28.234.57
2018-04-17 10:10:20	a7be50cbdd85c66a0a55e7e7daa9f588:Nk9e6b4NamvAfrJ5t8pUKGy9iceL5p7y	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,興豐熊讚親子主題公園改造計畫	,;	223.140.201.246
2018-04-17 10:10:47	f2a37f5f890679ceeb34c97ed300ba03:iVErrJiuYPnVMHX8hvSrqjRRRSBiTXgn	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	10.254.248.135
2018-04-17 10:11:18	e151549ebfeadbb3ef9b41ca19403b6c:djEIlzQCIcQffyTxXeD75wBMUOFUsNKY	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,興隆市場增掛電梯以便民案	,;	223.140.163.51
2018-04-17 10:11:49	82cfa93435f7e4bbffb3ecef578e009d:7XI6RfCyVj3cmi84rVt93wlcL2aRA9hu	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	114.136.110.136
2018-04-17 10:12:10	ccb1ec601cebee2c150c56da498a1dc4:ZsRmkUVRyuMw9hAX3WJf0w9l9AXBrk2D	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,興豐熊讚親子主題公園改造計畫	,;	114.136.250.12
2018-04-17 10:13:04	8fcebbef2eefdcfb3112c0ad23ec22f7:QeDOqkjaMxrvhYWMBtPbgAaQeDdvz1or	Q1:綠屋頂改造－從市政府做起	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	10.254.248.143
2018-04-17 10:13:24	38d0f6f858a911a5a61ce9301353de1d:kSv4KG4m1InXym8PsTv1Nmwule1oRlwB	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,;	42.73.83.207
2018-04-17 10:15:38	919fb449b08ac57c7e0c6bf87d89c2fb:U4zwDvH01Xeci74m0gNYTC7x2ianIBgp	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	140.119.232.8
2018-04-17 10:15:49	9db583a87e057ded4bab9146cec54e55:Nel7wk7sjlRFkKD4Bn3GsBGu3USQCIm6	Q1:綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,;	10.254.248.135
2018-04-17 10:16:34	b3bd1faef13415978d54ee914d7c9ca5:1EwYGUGDt7ZiZIKr7sfECeJmLbTJ9fGv	Q1:綠屋頂改造－從市政府做起	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	10.254.248.143
2018-04-17 10:18:13	ecda6daeba28df6b4e7c1b4dffb176e6:yjbp0do9p0dfhrPMytdBWYEosHz1w33z	Q1:綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,;	172.29.144.217
