2018-04-22 12:18:06	d3dd1a38a7440cb9f6365f0864ebb33d:PmLOtPFrrx9HiVOvhhYSrNXt9KKdXfZk	Q1:綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,;	1.161.230.143
2018-04-22 12:22:50	9cd47c475c57a2e62963c88e6d486ef3:fwczR5iaCTVcldTX18efA8WvXXfTpqeR	Q1:綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	118.161.31.28
2018-04-22 12:30:59	7f5ab6967d47e713b948d41d9964a54d:2Ka48hwNsuPzJDASFYX4u35DNbYtjSGV	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,景美一定行	,興豐熊讚親子主題公園改造計畫	,;	36.228.146.220
2018-04-22 12:32:48	3d7e50bb2901c5cdb6dd6469529568ee:GsvGZaXYUeCrrx5MN1M9zwjwGFylByr3	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	101.15.181.71
2018-04-22 12:34:08	c53dfc65d4bbf7ff3e257595677539a4:VIkVWkQu1OPJw28C29J7lOo9aJSzqTYo	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,;	36.225.156.88
2018-04-22 12:34:14	07c86669cc23d3c0302f65671601780b:P009McoSWc6Xz6zrl6ZUytzbcyEImvyp	Q1:綠屋頂改造－從市政府做起	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,;	111.249.215.204
2018-04-22 12:39:47	c2b304c04f26f4c549e558203398973d:BOdP5q5L2gNED683WSNYYVVXa6m27DdS	Q1:景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	180.217.154.116
2018-04-22 12:48:15	105846b25a95251bb48fc014327e5750:3OFMrztP46g2pI5Bcr1lEX2IvdcWW3S6	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	123.193.69.237
2018-04-22 12:53:29	c0d34295608f97c49200bdae04ed8386:aRU4F9ZCYYiQZbaYWiYsU3I68F5WIbVG	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	123.193.69.237
2018-04-22 12:58:39	0b8abbd328dde9bf84aa9618082ea908:SjCIBy5O7MbrxYsv6ySrATOXRirbo6OJ	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,興豐熊讚親子主題公園改造計畫	,;	101.8.215.172
2018-04-22 13:11:39	aac369826e2857381969ff599ddf2c9d:CDEOP7xklpX0CKkKzcj4gZILcq3jNYdB	Q1:綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	27.147.5.154
2018-04-22 13:16:26	aea837df2485568f7296f1bad3767122:Ph8N9qQEXwl463i2hi47ki3CDsymlO7Z	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	123.193.64.212
2018-04-22 13:27:00	0136240342ae897a07eca3a5421e946f:ORtuFnxC3RSZ6dLh6cww5Y6Uh5lYdejk	Q1:綠屋頂改造－從市政府做起	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	117.19.208.241
2018-04-22 13:32:58	d299ece387d465457292dee844fe262a:B5gqsddsy8sAPgGqc8uFkteslN9POYkx	Q1:閃亮文山．越夜越美麗	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	111.248.61.4
2018-04-22 13:55:59	6af484f867427aac26e5b70e69fdbb09:9cFOT0MywzN8OmO9I3RGBmmJXCKBEWxM	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	118.161.35.38
2018-04-22 13:56:47	d012fa009727a74a8f598c7488b72476:Nip9P2LYrnNZ83irQTW17y0x3IqkCeYy	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	118.161.35.38
2018-04-22 13:57:44	12a27e14731a39f667fd29d7f3104d89:xyEMu7ycuEqFqRs01TqOR9LjSeTuNAAO	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	118.161.35.38
2018-04-22 13:58:40	1f22841a065d69469afcafbff153c80e:5Z5caLFh068qoZD7UOl7mDQLHwAyVMNB	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	118.161.35.38
2018-04-22 14:00:11	5a00dad7558d6485aea23ed9b7a2e7d6:aAFmRw88YRVNXag5kFQGmLVRu45nmoi3	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	118.161.35.38
