2018-04-25 09:31:29	9ccaa581cdc4569a35a22ebb92b9c592:h3HK3wfVL2edzbw9T2RSWvVzBhy6UrH2	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	172.28.32.82
2018-04-25 09:31:50	d87ca548236c26fb2f6fdfc2e659cf1b:tYaJXleNetygsu6mAtDdHoYBPU1zec0w	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	172.28.32.69
2018-04-25 09:32:25	d392688e8f97159dba476168647fd6f4:peWNOE6ef3zUNtqvgB1Exwzt7tBm8PBJ	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	172.28.32.82
2018-04-25 09:33:14	4940733b874ee7a700dc6d3076b4f03c:WcRMw0DGuBQK7qBK1CWCkwrHH0gNTpg5	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	172.28.32.82
2018-04-25 09:34:23	788a2178d1f35e8ea0bf59fd6b609f57:WJN4qrApMfdrdFGhAwap6Ij6786nAumE	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	172.28.32.82
2018-04-25 09:35:21	5379e52eeb49471a54519f32b5e444fd:I5zCRRMp1gw7Zyrmlmbd2fzT7htPVVHs	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	172.28.32.66
2018-04-25 09:36:06	033c86f15c9534027acd38bf1c2d5bec:49l8WGF3AQDKIkUHtB78bv1TeKk16IvZ	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	172.28.32.66
2018-04-25 09:40:13	9fb10ed16afaa4a4d83c40f4a6b057f1:lfb2GM8ddAV0N4tzDtbbibfuSEhUT5CB	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	172.28.32.66
2018-04-25 09:40:18	d7853a399aca627751ec92424f63435b:KxWdkY3SG0aSB4XgfMz6476GKfmCyuq0	Q1:再見泥土，妳好牆	,湖光市場周邊環境改善	,;	106.105.178.44
2018-04-25 09:40:57	98c31e624925ad85929e083611916d65:Cw2cpN4pongYGOWjrw29bohIHDGtWZ9u	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	172.28.32.66
2018-04-25 09:41:28	8b407909212948d21829b87fef8d8283:4MceSA5c8zxbclgrvygiVh8dS12PzGHd	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	172.28.32.66
2018-04-25 09:41:35	9723c61d20f35d0729f97d92c7dde9d8:ZO8X23pnHDjwTs9vbe847oMAvWw9JaX7	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	172.28.32.144
2018-04-25 09:42:15	a8d434de8cd656f0b5f50e457d0ab3a3:e4vldehtzwFsNkfzPVSkSZCEL1aNWOMM	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	172.28.32.66
2018-04-25 09:42:35	81a9eb010556d1bdf760b8306e05a4e6:0mcLNR3e9ZJVbC4T9LtajIb7fm676uKv	Q1:再見泥土，妳好牆	,湖光市場周邊環境改善	,;	106.105.178.41
2018-04-25 09:43:29	ba19d650d12d64cd77597f7255a45ce4:ZKWYTm6hy85KJP7F7pFgoRz1CQUxl18Y	Q1:給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	106.105.178.44
2018-04-25 09:44:26	25e0f0b771332a233f26b8e34b6284f3:zQN51DCDYQ2PjiKwL5fKdq2YbzOOtsQi	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	172.28.32.66
