2018-04-24 00:43:28	e0d6c1d66ac40fa8ec68c7ab65d2f319:7HmcVhRLoEj4wN5ul0EDWYXK2O0k5VCK	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,;	150.116.119.69
2018-04-24 00:44:26	a47aba073f1feb2f0c887c8fb3610ccc:4FRZ53QGLeM4H0hcKx99bqHDQdlN1Xtv	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,;	150.116.119.69
2018-04-24 00:45:35	7b0832cd05d6ba635de3f092137406c8:jM0rS6ugiCsDwFO243bdFtXlMCLExwDI	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,;	150.116.119.69
2018-04-24 00:45:40	174603f1e1f4f7374baade5ce0f739b0:22rFQtZzBoM36nEt9UgFGDp7LoJ7IGmH	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,;	150.116.119.69
2018-04-24 00:46:22	3005b2e5eaa2864b0fcc76cf52f336ad:8noTh6pweoKIZax0G1joji9QWMeLNQHQ	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,;	150.116.119.69
2018-04-24 00:46:34	e42f8aec1c9ccb4e43b4e58261dd42a4:bWdvxsjGGLNXuNBtyMoZRLSXNAeEYLGQ	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,;	150.116.119.69
2018-04-24 00:47:55	cb581d39936e1bcb3894588e4c8332e2:F8XBzLcYQXZZ6BIYcjC3BJnjdgxE7CQ4	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,;	150.116.119.69
2018-04-24 00:49:04	1b60885b567ffdf1e7508847fdd7d6ef:cna1UzQeKpv6XnaXsO3o84RYHMN22Crk	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,;	150.116.119.69
2018-04-24 00:50:07	9f4667815b305b03007fa0358f90607b:6i1udNfiqOPi3SZLYDsuzusVze0jCCeU	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,;	150.116.119.69
2018-04-24 00:50:42	18634f4542a7644c739a04d576aa70e3:0Bk2b53LfLZy0HZoBo7zEnwIu8419wKu	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,;	150.116.119.69
2018-04-24 00:51:11	15d6ee1a223a100e6221c382d663808c:xMwk4pmSDnxUyHgLLup3I3RTNRgqoIOL	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,;	150.116.119.69
