2018-04-20 09:07:20	f0fa76dde1b8ee9abc3f6535380ec4ae:wLJlaJ6WXZCcB2DO233A2pgARKsjwyEy	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	111.71.30.42
2018-04-20 09:07:28	780666e5384c4c994392b935fdf71bc7:S1ibz1pwrPXt9TwzpBccfiWvEd2UeDBN	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	111.71.30.42
2018-04-20 09:09:21	9084e931b9615bfc802c4918893e3fbe:xlhQ57WY0gvpZqKx0849THiizQ8Pxkzg	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,住好住滿	,;	101.14.179.238
2018-04-20 09:10:06	8cd6b6853dfd0ef23fcdb092dd824b4d:ocgjoCIDkEWuCKNfHqZn5eeokLkcPPvK	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	111.71.30.42
2018-04-20 09:10:53	b4e9caf289c4b60f515c7a1533594511:iosR1lnnPfYl6VBTzzpDOV2iT95j29v3	Q1:友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	192.83.187.41
2018-04-20 09:11:23	7ad503adc271273c826c58b2b638e069:okImDTm2kGD8tqJkwNKbyBua7uppzg2Z	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	111.71.30.42
2018-04-20 09:11:25	7eba2dfef95e4c01d7c51fba60284633:KRw0nCnT0J8tKvQScjvyXq8aUadPyWZ5	Q1:人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	42.77.4.2
2018-04-20 09:13:14	f7aa362e81ef2849bd5fae0f3b3606a0:X6bdBKA3a5xHI9SWu5EXRUiigz4jnp5S	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.151
2018-04-20 09:14:03	e20dc56897f50e6ca07db2f09080312b:a8Ohzcd1dSAgKnnX0aH40vy1QYovpMgI	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	111.71.30.42
2018-04-20 09:15:29	af5809c3737f683e9c46a69fb05bda61:Kw8EIzSMEsDwSMRaoQYYPhZ4HtqPs3zH	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,住好住滿	,;	101.14.179.238
2018-04-20 09:15:53	29e12c722fe344ca1708305164916e5a:mK9nYiUQwiC07kQj0214kx3hm258NP1W	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,住好住滿	,;	192.83.187.168
2018-04-20 09:16:29	4102262d1edabe277df18ea1d628bcec:SNXSO1dXceFLRNTJURTrtIT2dm38uFxh	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,住好住滿	,;	210.71.60.191
2018-04-20 09:17:52	53e8ac9dd7dc3d295c3114c95cbf94f0:KNePHbCmyduFpZdk9rRLeuN1lw5Bld3U	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	103.226.215.188
2018-04-20 09:17:54	b841a61a25cb716aeb0eee981defc4ab:7ockTuCwiabUUgks4gaTVGbi7bjPLhjR	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	42.77.38.103
2018-04-20 09:26:17	55389c852e50b375b4a04c489d5bf840:9GuttDql6MYOj9656LtsZW8yhk89VCaC	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.9.229
2018-04-20 09:26:59	827e3a370a12a75f52fa68c96942bafa:1Cx879jC7e9H1eWPuyzYTly1Iqfff466	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,;	210.71.60.191
2018-04-20 09:28:56	908e0e08679080587a9220592ddacb76:7dZ25s7sal3bOsHdj45HIHSAND4crWfS	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.9.229
2018-04-20 09:30:48	6c4fa0fd8e88e0e2e2b1aa81f92b3d63:Djjdu3Qhmo5g3r8XXuHrzPUmBXZk27oj	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,住好住滿	,;	192.83.187.165
2018-04-20 09:31:36	41c7cc2f541377882135acbb31254b86:mEFJEAvHvThUQ2VlwPiaNMiXgCgUorkq	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.9.229
2018-04-20 09:34:12	4ffb642791d48870c2a7c17e1e51cd8a:hEYWVl8GcxXVZuPXmO9mQ7WZjfGWKnW6	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.9.229
2018-04-20 09:36:13	03c5b29caab3e4ec8235845e4cffd1a8:1NJcIJsEJdG5zD5BMvRpyShFWt3UW34f	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.9.229
2018-04-20 09:37:41	20d73392d2550d4b5c8f7a5d766abaa3:gYhTYgQ8dANUFBnM4kIhjMc92Qiqwq0f	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,住好住滿	,;	192.83.187.49
2018-04-20 09:38:35	cd100ff4101b22b2c33b9b97a3a0d260:Rmz0yoPyzSEaQcFHlzwhOvjoA7rtsuTL	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.9.229
2018-04-20 09:38:46	152d3c6698efdd626c860db99ecb3222:rOUtNukFRb0LSd9dqKIF7mCHorAJJOJr	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.151
2018-04-20 09:39:21	33f4468345980b04085a85c7f6aaa298:uEGMOWHxSZzhy7c3pjlWOHkXWYR360Q0	Q1:友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	111.71.30.42
2018-04-20 09:40:24	0baadbd96319dd6123ee6e17fd7c849a:WeEtAbPEqlFmB0N38LNaXY59ZHKXOD6y	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.9.229
