2018-04-24 11:35:23	f185bd00e632e260aaab023bd47fa713:EGHv7zWaWz8tuyoklAf6cnMOrB60mllx	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	172.28.65.75
2018-04-24 11:36:10	753e7c580b2151bb32fb19427bdc515d:plvcfosWuDksJXB3FZBBSH1bpnaIeyN8	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	172.28.65.75
2018-04-24 11:38:06	a3361e07e71313a648ae5c8b2d4b9c63:wSnrtBGMyuiPNm64xg3TDtP6pY5cv1b0	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	172.28.65.75
2018-04-24 11:41:07	fc58f07454a32117a5e79f332f99cd0a:iFVmPFVXBZkmwm1n4ZVf20S3adlwoJGM	Q1:北投區環境資訊2.0	,;	114.44.11.100
2018-04-24 11:41:37	df91516f7994815bcb233c5b478f9a0c:dcZm71KaxTRjIwGPJrJGo97iY1yp78Im	Q1:唭哩岸打石文化,;	39.10.164.159
2018-04-24 11:58:47	52bb98393f34b445a5df771d313d1a70:Uq5vlkxlDY0IuRU0uvn3b6pdoaKRm3yG	Q1:唭哩岸打石文化,;	114.136.178.194
2018-04-24 11:59:12	81a1a2139474d2996c38c5e1fb9a5d12:7lbh4wwB4QPs3CFadH3VCMcq9f1SEKya	Q1:唭哩岸打石文化,;	101.13.25.209
2018-04-24 12:01:45	5544f2fea580b39d5c35356873936f7c:VEikix1puDvSrv5eZoXbZXnEPTbi4SLS	Q1:唭哩岸打石文化,;	172.28.65.95
2018-04-24 12:05:00	cfa307419659490c936c70d618b05a74:URVtuwMv3vNyQd4SpRWOGEz8xsBE246t	Q1:唭哩岸打石文化,;	123.204.126.50
2018-04-24 12:10:07	1d48ecea1b32b44a07a5600af9b7482b:HXodCP7eaCnpEHXjPyiayv9uCwNObtyB	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	42.77.119.105
2018-04-24 12:10:50	e462c62b610fafd9f2c774d0d23f994c:PVQaf1EsNUqPstwYickswlnxrWpAns9p	Q1:唭哩岸打石文化,;	172.28.67.176
2018-04-24 12:16:20	b4f863ef2dd5bdb82b0a1971b533908c:1IFQ2dYDt77gqW0AcLFH1L5Hk8N24U5N	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	10.14.100.1
2018-04-24 12:20:03	2a6891e6a3bd84fcacc2fb373daa75e2:gPC9IK1IyBMDqn3XnxHw4yQhXdtG6hKU	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	116.59.202.236
2018-04-24 12:28:23	856575d09106b824b6a1b83e0a67b3f1:XY75Y27plM33rsfXeCDyzAf6uSXLipO1	Q1:唭哩岸打石文化,;	114.136.231.69
2018-04-24 12:31:09	c4d1799f34e946052badea6d60d7212e:IWzIFq592b2mdY54lNtOM6iHltfka4JD	Q1:唭哩岸打石文化,;	118.167.113.145
2018-04-24 12:44:05	170d718941a3b3f7527d6996b733a6b9:457MLwVSq7oOn74CnJquu3TwiCDNz3M8	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	180.204.36.22
2018-04-24 12:47:43	af11742e879c7dce416ea7a4ec46cece:TMyHCOGMfiefLikJFi5XKs8hbmhDtN82	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	49.216.131.167
2018-04-24 12:49:43	e9c4829b5bd9d9116b178da741b25c92:VzTzFuv2SetWEAvVVrMxJNn2v7mvLdeV	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	49.216.131.167
2018-04-24 12:54:02	ee4e6d1864c9948dc44b1b755becce2c:tibImfpC6mqz3PsDNTdCTc4IFhUqTa5g	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	49.216.131.167
2018-04-24 12:57:57	951ffcaf2e1b1f9e99dc7258d4077c12:9D7We3Qy082RyEgRsCJPvUrf8MW2I2pv	Q1:北投區環境資訊2.0	,;	27.246.233.121
2018-04-24 13:13:56	2d444807fa39bfb2fd5b42329154f329:5KL7vvBKepo22SqGqskP5tiM9NzlwPrU	Q1:北投區環境資訊2.0	,;	223.140.134.188
2018-04-24 13:14:52	57729c2ac5f26adf353f7e08f621b505:qwbDCSeTEUKCIydERx187K2IjihEsk5i	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	150.116.232.40
2018-04-24 13:30:07	a57d6758ec7de0f124972c51738d284c:CXxcEUu8l5rtGe2H6oAAqqECURsEj8UY	Q1:唭哩岸打石文化,;	118.163.85.145
