2018-04-19 00:58:36	073b525a1da762a437ba901f8ebc9e35:Of80GCSX36Sxv9LRqZKryEKBn440hFBv	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,;	150.116.119.69
2018-04-19 01:01:27	ddacc66bb07e4d550db20cf2b75606cd:IMST3dwKXhfTZ6Y4dGTMBIFgVO10n3qw	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	150.116.119.69
2018-04-19 01:02:34	4889a15d57f360bdfa7d9724bf59a8d1:sgzTVl6ErjPjquioMzzrssUKo6sgf4Ow	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	118.150.149.186
2018-04-19 01:03:51	1a85c89eb25322ffa260f10af2d6056f:kiirrK9U5XbfGojiSoac0E38OWHcCeHG	Q1:康樂區民活動中心外牆美化	,蝶會在自強公園	,;	150.116.119.69
2018-04-19 01:05:25	b16f339ba6128c1f8e938f950df1cee9:VcEzJYhAo0uQ92W7VgyWX42OUAAkU2e2	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	150.116.119.69
2018-04-19 01:06:57	58b725d9d808d401301c927de9f7879b:kqCpMjYiuxD5ZEN1I6PlNDl0rDCsduvW	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	150.116.119.69
2018-04-19 01:07:41	8cc99227ff048aadb21ee97f56db5b90:zBJnqpVQjOxavFVvGg8zv5IzBLznLzZA	Q1:認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	123.192.241.133
2018-04-19 01:08:04	008b1f32144db9281b6eb495cb6c9ae8:SuKEAQaVRp9BjyGjHg0OWsMClpr065Ea	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	223.136.68.31
2018-04-19 01:08:35	323a520d13b0f631317cebc60ded285b:swNdAh1SiwyVVwUaNYvPANQHhUca92WK	Q1:康樂區民活動中心外牆美化	,蝶會在自強公園	,;	150.116.119.69
2018-04-19 01:10:16	faf9c068790b01e2d227b3b8f536e79d:YBwTwUNb976QqQqZ0UkfES2T1OIY4k15	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	150.116.119.69
