2018-04-25 09:42:04	d21740b13d97b38a5deb58ecc98706b6:RYxSyZ2evcd1CJeuGY4bgmuaKEmzrsyb	Q1:認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	101.12.215.176
2018-04-25 09:42:57	61d7b5fe7bac51f401b0fbab3da66398:9gLnVXhklFvjzfzazROO6Rk3X5uXwGJA	Q1:認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	220.135.22.52
2018-04-25 09:46:58	882253941238f46bdd5d8c0cf3ef915b:cOcEvaoBCTAqbjgYdge25F1qYWHlkJxC	Q1:認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	101.12.215.176
2018-04-25 09:50:20	88fc13f5a6bcad4e263add2b4128a32f:NUouRHme7aNeUcLQepEPd4tsDl7F8uOj	Q1:認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	1.171.43.74
2018-04-25 09:56:18	db701af209878098a2170947bd721dc8:7KE8JmJjvB9HpsJaORjdxkM1jnpyhfd5	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	223.136.215.144
2018-04-25 09:58:58	3576a6e2e423fa87302f7d51342ded73:3Amew00lABiHHs5CCRKPhspi0PrvRya8	Q1:認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	223.137.188.124
2018-04-25 10:10:34	4f70b241a88c468e567e072a8a1526bb:gXevTongqR0m4HwUN2fza2nOvLM28pLa	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	172.29.177.208
2018-04-25 10:12:30	a65fbe6e19b422a138c11052cf7bed84:Eu31AjDGj5nJCmo82Y3wua84OKVnnWGR	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,;	223.136.215.144
2018-04-25 10:12:37	4bbb69ef69f15ec7f4e1846432811709:qgwlCE66hz1mQUMA37AM2VVFxtEKd6Om	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	172.29.177.208
2018-04-25 10:13:54	827515ca6d609458c96b9e7101ed2e73:RRxQImzABa8dWAGwJrIDHX1ML48cc5nc	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	172.29.177.208
2018-04-25 10:15:25	e295617edd238311ea1c04a6ad6d211d:mMOJKXoKal3QNpZbSrnq1xiNcrF3PzBd	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	172.29.177.208
2018-04-25 10:21:45	82e5962b4396a6a0c662e4b72678254c:T0EHQeWPB7X5xE46DvUcN0c0oW7Vr4yJ	Q1:康樂區民活動中心外牆美化	,蝶會在自強公園	,;	172.29.177.189
2018-04-25 10:22:15	0b0b325aaf56513f320adf6362dd325c:CCCweXaHTHfmgRNv3gdhHNInr1mXcf2R	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	172.29.177.208
2018-04-25 10:23:31	514bba5d80c2b55fd8203dc9fe62739c:3iRjhresYZTmRAcmfWO954UVyOgApJSM	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	172.29.177.208
2018-04-25 10:23:32	01e7d5e5513ddf10326d7e19972d1575:qoZQ0hoSFFBV2X5yJPQFB5X1qG47XxPo	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,;	172.29.177.189
2018-04-25 10:24:27	6a1b2ece8ccced088cfde9f7e00e2de7:kBapigPzGrXS3y7cKldsKUDTJhsApOYU	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	172.29.177.208
2018-04-25 10:25:13	534cf966376cfd05fe14be9d00a37b71:AD9SnKBCAhh03WezyNOqjmyJtVmEcVtP	Q1:認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	172.29.177.189
2018-04-25 10:25:14	c8c7531ea72fdbf9e4dcfd4b9d5c7d38:oF7LmpKTHUl9vHwcgQBuBypJN1WYNAFG	Q1:康樂區民活動中心外牆美化	,蝶會在自強公園	,;	223.136.215.144
2018-04-25 10:25:40	fdedeb731d311f8fceccf9c0e7be31cd:e32SZZhJ7r3EOLY39YQO8DrIYFUyBzmn	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	172.29.177.208
2018-04-25 10:26:37	07672fdb7f59fa1be78e81cfb8fea44e:fUW06I6OEMcfexFnofouFLy2V0GOSghQ	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	172.29.177.208
2018-04-25 10:26:51	56f201a126be5a7b8bc634fb9dfdbb41:SVqtxxpBIFk44sufqQfrYP5VZh1L8UiU	Q1:認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	172.29.177.189
2018-04-25 10:27:40	102388b32c0b377857bad58a9cf8eb35:ukyP44Q3OQIb4ULXJK1kJCqxvKTrBzWI	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	172.29.177.208
2018-04-25 10:28:30	38bb3d191e217fbd45652bd5e773a96c:TH9WIJzIbcaiM0OiHIPwY6fkDQ0qS4Px	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	172.29.177.208
2018-04-25 10:28:52	7a2b20db5a5105dd7b947583c39610e6:0QIym0q26vTjpVlH5vhNMIrN2oTFVXzZ	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,;	172.29.177.189
2018-04-25 10:29:24	5531e2dab887dd126c6af46838d0e6ab:lZRBXLLCLLRMie6pttcZ9vE1rcPDXVQn	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	172.29.177.208
2018-04-25 10:30:03	71bd6d2fea13b419fcb7ecc1b37b2fa0:C2TPXj9OU7FkJd4wDO35OSVimmKQPre4	Q1:認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	172.29.177.189
2018-04-25 10:30:29	6e55f3bbe558e6ec32e8c60d3de49a48:HFh0rUWOWMAK9x6twAE7qLyUV4P8OiY1	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	172.29.177.208
2018-04-25 10:31:20	aa115828ffa1a8d875e062f7b687997b:jppDp8OzFJ36n9ikaWXjo5Ygz08b65Xc	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,;	172.29.177.189
2018-04-25 10:31:24	be936eafc3eede4ebfc9f75f1e59ff83:RFnw1WRIELX6Af3iNlyyQ2YIEllSzeHJ	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	172.29.177.208
2018-04-25 10:32:29	a4182d6921a600d89f283840821bc370:PCPiNbTIy6evAt0KpkesWGhNCCUjVGdj	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	172.29.177.208
2018-04-25 10:33:38	e21b3154b2f642d36e101429e1c2d399:Ld0douykCX0aFRqBhQcNf6yBZfkSEN5R	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	172.29.177.208
2018-04-25 10:33:58	18bfd825f63a3089eb896d6165148b61:7UljC4GW5TZwFZxgkZ0h02OyUpxN87k8	Q1:認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	172.29.177.189
2018-04-25 10:34:18	cc2f40a7bfc67b0527c5f87825a81f18:Jq4SjlYko2OI8WJ8d9ZgIvssCfHUUwH4	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	1.200.220.46
2018-04-25 10:34:33	5208254c8d1ab7b05cccad51582cf676:ZvsTyHNThfozID8GkV7X1H0NTuJxByYH	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	172.29.177.208
2018-04-25 10:35:31	2d39592999ad5298ff9737f21d8f334b:8DJuqmdovxtiCtdOEul30oiRzGn4xnmt	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	172.29.177.208
2018-04-25 10:35:40	5d41050b04c59d91473ca03c7005697b:ymhrq3c9JVmhJYBEDn5EbRcTnrHiEs0E	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,;	172.29.177.189
2018-04-25 10:36:35	a1a664901c474f16bf7f5cc98f6bbce9:FE52Vcf7i9yN6DIGCVcdUfSF6MgFBzRQ	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	172.29.177.208
2018-04-25 10:37:24	209b0e70df2d8e7f08c4a9e0974b2849:eLOMDcaWLnZu9NAUTDSPB41fDjssOmzj	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,;	172.29.177.189
2018-04-25 10:37:58	7ad5f31c262adbe40a3afe6b6d5678d6:VO0mweOOQOGxYlUHbAyflQ83hGE8t0VV	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	172.29.177.208
2018-04-25 10:39:15	c8821fdc370acff049c5b6e37d5f5566:jGwX5HIDUT0KuglYvyhdGyPwUHPbczXG	Q1:康樂區民活動中心外牆美化	,蝶會在自強公園	,;	172.29.177.189
2018-04-25 10:39:20	33e95d862b8f6adbd238794176e14d12:2xX6CH5PRsbEdNtRTazXC1cNLJLSGoUq	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	172.29.177.208
2018-04-25 10:40:23	2f127c6ba9490a699a911f1cdc9edc35:HJP8sbpsPx56yEASaBKrWlR9OH76AMS1	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	172.29.177.208
2018-04-25 10:40:39	1fd4bbfe94ff031db78ecd33d9b68692:Bto0IEOweS6GIkOTEJRAJg9bSL2WfvGH	Q1:認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	172.29.177.189
2018-04-25 10:41:33	68adef7e17027d9881b7de24f1efa127:pkqTO0huBL8T0XfR8zvad57qW8VYytgU	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	172.29.177.208
2018-04-25 10:42:24	a71308fbbe7f3d072a5929cb0da65d7f:ok604OYnZzyBJGS4eZQCI60hAH4wh3Wa	Q1:認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	172.29.177.189
2018-04-25 10:43:17	16630b63b8aa5d73ce4c55da09149208:hoKtJpFqOnx6L0q2jKkkvglEb0OGU2bW	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	172.29.177.208
2018-04-25 10:43:41	93764e39466c7450ce13abdb9cf5d5c0:0q27EJOObNLXb7cqWzZSXIeVNaBoHpVg	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,;	172.29.177.189
2018-04-25 10:43:46	0b06ed5b2483e787c90507de81f9ac67:kUqAhedPYNaQOSvlvZMenL6foxBLwMAO	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,;	114.24.69.23
2018-04-25 10:44:16	4b6a8d60eabcc1ccd9bd06f450c1a5bd:QXqdsg7iMrgYUlsnmgdr8tbgRNr3GkJV	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	172.29.177.208
2018-04-25 10:45:10	8fd29b27a21f0dac043c90586898008e:VUzooXTei7OgIezJME9oBe62qlfSlzT2	Q1:認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	172.29.177.189
2018-04-25 10:45:26	b26c0260decd37bd0fb392129d7ba77d:CRJexVKAhMRR9PwX4QLktltP1T7fbtP0	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	172.29.177.208
2018-04-25 10:45:50	a03101a1babfd0255311b0938b14de60:CAiaCShzwWWIqwcU2KGWTyh44tAKRFIj	Q1:認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	122.116.227.102
2018-04-25 10:46:35	d5f92b3f31427cbee58390320b17b450:txPgcFEWbr1wjoJO5CEYpVJjJ5Z3I7Ym	Q1:認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	172.29.177.189
2018-04-25 10:46:45	08fa47866f5af9d2444d95926e0a9733:VGnMIPkwYY7035wguXxHJOYjavBQqobX	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	172.29.177.208
2018-04-25 10:47:26	96ce731ac1ebb6ecb53bb14fdf028470:j7Mgll7QAyIJNgYSxehkg2XnKrqgBF99	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,;	114.24.69.23
