2018-04-25 08:12:46	2c8e52ae616c42a22a1aa3c047d2cece:zRm934t5q0tV6P6jz7dxXTrxkIOcXdeq	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,;	172.28.16.213
2018-04-25 08:13:26	aefe9d95f6890993c06ca37cc0284c87:InMbkjf7tmIj3by07ettAVcoxgtfa4Qi	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,;	172.28.16.213
2018-04-25 08:14:04	a288ecf61aeb45083f811906fb3de801:OFnsRwic0ByBbX8KhgrrQ90MfMXHOJFR	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,;	172.28.16.213
2018-04-25 08:14:50	8361cb7a5fe59332cad13b6693e679a2:p6piLNbgjyPtlT3DjEzkaOEDU3F6YdFi	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,;	172.28.16.213
2018-04-25 08:17:09	5c06fe2b728d37b2859555c317db3fce:E8gHpgNUZDyOMgeTVf2IxErnNRIYKfHz	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,;	172.28.16.213
2018-04-25 08:17:44	bd476075440148c1acf7b580fba481a9:AYjppqpFGUZZyyIdLwqXXI4wo3aIghEs	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,;	172.28.16.213
2018-04-25 08:18:19	e7e7ea86b87bfee0ce384bea9deb5f41:47cfcNlJsy0n8CH9NABmZom3YmfHlAtZ	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,;	172.28.16.213
2018-04-25 08:19:11	d08715efd1f46b85504ed0a69cb80941:GRz9KYJgtEgyAmyeOItEp4oSASUtszvK	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,;	172.28.16.213
2018-04-25 08:20:01	38b0f21a505ba14825a5f523398caa4e:3IkDVhQvuAmqmIKNSCPE4SJpF4114m9V	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,;	172.28.16.213
2018-04-25 08:20:50	f5abf28e356e7e22f2cef2dddc9eeb15:eSbJHlDCJ7nrXr0g9cssHNOJMUhjWGRU	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,;	172.28.16.213
2018-04-25 08:21:32	e1070b37418d07a1944dc17f6e1e3224:rydYGlY93CqsFwWUFVaDnJW0kjlDN1qd	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,;	172.28.16.213
2018-04-25 08:21:44	0462644df773ab3e3bc2ee7b766f2164:Hd73nh5UmsPArh4fhM4edKYiU3XJdgBl	Q1:安養平民化	,與自然共生，社區長幼共好共樂,捷運科技大樓站の第2隻腳	,福州山觀景秘徑	,;	114.32.21.76
