2018-04-30 09:35:39	a1ae7340bb05f3413dcd1b56b3804d71:I25FboEsV2sus6WiYTyGaIOSm5biNHHd	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	172.28.65.166
2018-04-30 09:36:04	2a3608e6718c93b68e89a76661c59f14:019UKB4UJw48TIkoeY6NqE7XXPoLmpky	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	172.28.65.166
2018-04-30 09:36:31	12bb0448b3af535d5ad521d68d69e015:HOJd3r2GzlUutSU3DwqW8nNZWYobagvb	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	60.251.43.205
2018-04-30 09:38:01	4fb8c211f00fbcc58d78721a352195d5:H6joJ65j4dZWO0RUzdVjaA6yISX0datc	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	60.251.43.205
2018-04-30 09:38:14	f49ca039b3f543e8a72c27322fcac280:jAMjNg0HAE261AL1W42HK2MbJ9A0iadv	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	103.31.196.193
2018-04-30 09:39:32	66c9bc7b46b1a4b07fb5f52fe9efe04b:kptobTINPTJKV5KeYR6lYpkq9DYl53sb	Q1:唭哩岸打石文化,;	60.251.43.205
2018-04-30 09:41:09	9fb94eea86a201d734afda1af52a4a0d:Sm9jaZGCdgMPnFPliYkMaCsnsiCSCwyW	Q1:唭哩岸打石文化,;	60.251.43.205
2018-04-30 09:41:40	089f92a3b2f8e572ba60201a8cfc314c:c3g0MgGDK975uggmPE3YADMOIxMmGnRX	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	103.31.196.193
2018-04-30 09:44:10	b3c37b04de849747abe0cd4b8251dc8a:i7e8dt2eSyfpcZdEcc77rApf2pD5pK6M	Q1:北投區環境資訊2.0	,;	60.251.43.205
2018-04-30 09:45:37	ee9b2776067313f536f3919f94e1cad6:LlqWyfS7ySIMTg3x8XuitugpQrzfKKcA	Q1:唭哩岸打石文化,;	60.251.43.205
2018-04-30 09:45:49	90ef5f6b748fb860ddf0374f8dc7c3db:VRC2zPs9BdvhI3vIKl2Vph7eVI9ROSH0	Q1:北投區環境資訊2.0	,;	203.133.6.145
2018-04-30 09:47:05	bd6e3dac7a4008d66e04588c7f58426c:2OfCK3CJhCX11fLQqXlUla9knq5wbfns	Q1:北投區環境資訊2.0	,;	60.251.43.205
2018-04-30 09:48:26	e66af426044d4c96f2c27f748291d63f:qXuAz2m7dYbcoQXDbWiB28u0tjmf1nrX	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	103.31.196.193
2018-04-30 09:48:54	978d12cbb62773ecf433f6ca847f8d3b:GdA32ttFE9Omy7WUhm9e6oid0DyIqOux	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	60.251.43.205
2018-04-30 09:50:29	21b1a2e35cbbcba34e937f82a9630d85:gKO1imYUQYvD7uofaeXVgqYS2yujvEkD	Q1:唭哩岸打石文化,;	60.251.43.205
2018-04-30 09:51:46	3221e7f08e44320885b493f45a0c84d9:ji0FreMclLt06qN7HjwXUpXE8E8HKZ0j	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	103.31.196.193
2018-04-30 09:52:04	746819e80f708224ce4275d14450fe40:pvoDo3ZPRaRZtstMphxsnDeBHps3shUu	Q1:唭哩岸打石文化,;	60.251.43.205
2018-04-30 09:52:31	d79a79148ec8e63457d4e19863529f1b:bmwjywKjPDl8t5PY9su17Z570a5eh35z	Q1:唭哩岸打石文化,;	203.133.6.145
2018-04-30 09:54:20	29e918d4e6ea3e1db928a1728b86bb62:vFnQKkpAEjaI5K06ggSaQMAY5IIpARyH	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	103.31.196.193
2018-04-30 09:54:29	a1a5dcd8a114b76016975498516efc87:4mogOuOhTU29s9wXMKXI5weqyiTeDFw5	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	60.251.43.205
2018-04-30 09:55:41	a9950f12bac3c03d549822a5198a3c69:xI22LLHX39aqxUjujXPOx1sgxounJVDT	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	172.28.65.166
2018-04-30 09:55:57	c7d7042e659bc356cf025d5f0fc8de3e:F414wylFXzpmWkl3oXHwou6QNwJzJYYZ	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	60.251.43.205
2018-04-30 09:57:06	d7c27b0a65d3bc5e76925b0441a81774:V7o5cjpB8RfeRTR3xxkLWfmzrX8LZZuT	Q1:唭哩岸打石文化,;	203.133.6.145
2018-04-30 09:57:36	545851caa79e7a62e7d5c8bbbe1201e1:wAlNXqSnbB9QDIxyuQJxhyWV5Ia1sTZ7	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	60.251.43.205
2018-04-30 09:57:53	4206604b402170928823d284c50df2c0:gyqZ6AD1bIeXzn1mQGQRQqplK4Zh9UyA	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	172.28.65.166
2018-04-30 09:59:07	75edacd1d9468e4ebe1ec5673724ea61:QNHrncbCspxfo1f6HMiOH932kX7qjgNn	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	172.28.65.166
2018-04-30 09:59:23	9c408f76d011afa0c6cac769d8978282:I6kfvkyBXWRzEHOuCAR0vPW8imnxc7bL	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	60.251.43.205
2018-04-30 09:59:33	b2615b54dee5dc3f0230a1b1a021a963:MH4ATnnM4e4u4XfQHnxfix89Yl5THSU7	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	172.28.65.166
2018-04-30 10:00:04	007d0717f6c122fc76f8298abfd93c31:cdGVwJLmxfdmqyyxa2J4jLS14yB3ytfo	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	172.28.65.166
2018-04-30 10:00:27	fb69324373f18c1ba7ee23f596c54b2d:6ZSWtPHSIfUhkdmraE7InrQ0MiLncG14	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	172.28.65.166
2018-04-30 10:00:34	c662b34e2e72566b37e8ab3fb71b5455:PuBORLaABayuvDFtCD02h8RrmGfK5oWm	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	60.251.43.205
2018-04-30 10:00:52	6fd8f9aea3be479d3e11fb793722c5e5:ytGOxWrWIjeHusyEJJdRwD65CUbQqO0R	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	172.28.65.166
2018-04-30 10:01:30	116acb2b3f0f78c2d764775dd42ffd17:Q67wWyeGXQTMFMuldr55EAK1H4P9BuUV	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	172.28.65.166
2018-04-30 10:01:58	653d75bcf52cf0fc30251a8791eae10e:orPjbcuJLrFTDO4IK5yg9ZOuNQ13zoNV	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	172.28.65.166
2018-04-30 10:02:07	855f2b1829d1bfef6c068e29f4fb2edc:5mExhhTcvSXg2CjBup1GZFxx6kleglvy	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	60.251.43.205
2018-04-30 10:02:22	36932436c123ea9308a117eb990eafc9:AGIjM0ftATUEgIErCcbQXcKJA1FOQV7J	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	172.28.65.166
2018-04-30 10:02:41	6ced6a8297fca6b93dfe0e12c1ff259e:Bxcq9FoTEUX0a5ruKgD7TkcfG6ivq9tJ	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	172.28.65.166
2018-04-30 10:03:35	54260f60e2fa47f7ef86c4cc67c718e7:zQuOijOpvmIPgxMrwM2Jbww4CEzZMbqK	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	172.28.65.166
2018-04-30 10:03:47	ad3e89225b00503bdf00b660bbb5666a:1WxwzXZRNMHtRtctLGJ25RLq9eLQufB3	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	60.251.43.205
2018-04-30 10:04:00	b37cbf51472f8e388de660ef319981cf:V48tbqhybtiptlDiW1cgeMNgdVqdjJeC	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	172.28.65.166
2018-04-30 10:04:24	d960e639cb8e991ea6c5be4574d8d127:XIELEYnjMlmbTQA6cilbExDJGkvEh6Ka	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	172.28.65.166
2018-04-30 10:04:49	38f727f703f4ad1bc8d63e1ebd0b22fe:7m2voo36RUj7PuRU1L7W29GjBBfL2kEu	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	172.28.65.166
2018-04-30 10:05:06	3e6f4cb37d049300a8518038f80d17b8:HbS5PLiJ481BkJFDExxTZPSX9yVJTjil	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	60.251.43.205
2018-04-30 10:05:12	a72ba9a2e0479d1ef18e76f1d117a224:10ofXb1mz5BNrySH4n2Bptf0jt7xU85r	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	172.28.65.166
2018-04-30 10:05:37	7d2f9ab6454f26beb478b4c8f3121300:BZ36ZdpoZXkqqQpH8kppCgpNLk0NBHLO	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	172.28.65.166
2018-04-30 10:06:21	59e099dc41331c7e01be7230a24b1289:Ybo00EFHLqvXr00n1Tks0UzewcXB4BFM	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	172.28.65.166
2018-04-30 10:06:40	58ae997ceab35ed236a4e5db5b674840:15FAYRpwpFbFuJ0U92HTZsnzGI7tsjtS	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	60.251.43.205
2018-04-30 10:07:04	94b127bc80134543ae3ff68b4b526453:kO4eWFJCd8fLAU09Yu78lZtSaY5e50BI	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	172.28.65.166
2018-04-30 10:07:46	2a530088704c0229efda39cb9686c15f:qxmsyuZjg36BFt13snvAirKPuCFzzsVT	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	172.28.65.166
2018-04-30 10:08:03	0b531fd2c12559dd1137d184bcbfc636:3qcjRTf56FT3ROYrjFT6hMp5QLSBHDkv	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	60.251.43.205
2018-04-30 10:08:13	a409e50632ee7cf4696bba22d2cc1b95:gArmW1ZMmeeCEMPUPbgPt3sE5JnDuXd2	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	172.28.65.166
2018-04-30 10:08:40	e31bc961159bf2620ea166d760182924:rjbv9t8VTAKqEoGHuZZGJV6Hcmt5XgYT	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	172.28.65.166
2018-04-30 10:09:10	85bdb03a431d9975a5478d859badec0a:U4OEuTWbZoiKP3zotBflKrHCU35568NB	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	172.28.65.166
2018-04-30 10:09:21	5b679856b17ddc0b680f5648ccd1612e:qrrgsfu24IAUcDhFJqzRIPXfdtQbaQuW	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	60.251.43.205
2018-04-30 10:09:34	509e03c30069c9c66dc02bd132949c70:qKMPswLSmmOFNGOLikKnZWzUrD1qxBxA	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	172.28.65.166
2018-04-30 10:10:22	0f914c08551ae775da4fbb4e02bffd0d:W9aapmKvkPQGonJM0NhXXKnoY6CEzc9F	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	172.28.65.166
2018-04-30 10:10:48	21d86b17005b3d345952299b33a5d057:fF5IKFQPOKK0d0Mxruz2noXgwHxEz0sm	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	172.28.65.166
2018-04-30 10:11:00	44b7fac40ee613de80313219fc827152:TfTgBUghk8fYz1Xw25YxDbPdCBCeNzEs	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	60.251.43.205
2018-04-30 10:11:12	2dd968c3059b73edef9dc912a6daf41a:J96mNpZwnliDcFlNYSe8zESC6dfD77yO	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	172.28.65.166
2018-04-30 10:11:32	16ee14fe1e17d22af4ff39cd91050052:19Qn9FjB9Vz6yHo5uRTbLXPfGD7vW4sV	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	172.28.65.166
2018-04-30 10:12:08	0d36861426e244c6b3036f42909671e2:Oe13n11roDjjTDdTNsSUTVXHUA7unS1X	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	172.28.65.166
2018-04-30 10:12:27	7918b002a09e66a22e37d1dde42fc33e:jGlL1kJpJeJqrOhErK0j9CiFELOSD36o	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	60.251.43.205
2018-04-30 10:12:33	29113fd93a59a7bfe3b06b3d9aeeb1d6:Ug320IyrQWXhbMYcukqNkTQXo766nsvw	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	172.28.65.166
2018-04-30 10:13:01	f0393b7af572b8ea002f60581333c21e:BGCcs3idbzWfLppDxRYjiod3anNKzgKx	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	172.28.65.166
2018-04-30 10:13:51	d4225aa0f249c5ddcd3d0f524f57dfd0:QAGvypOufv51fnD3P3u6BwPEQDvAqEEL	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	60.251.43.205
2018-04-30 10:15:08	5d6c7f850a67608b472801d9cb14177f:SKnOFiGHuUSSGAh9mZzARBwioOiFl3i2	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	60.251.43.205
2018-04-30 10:15:59	2a408f4406358cd8dd6c34ca20db180c:G5qpu0xtABbkoCZgnkMyowJ21gMUotcW	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	172.28.65.166
2018-04-30 10:16:37	aabba5ec81c88900bcd02d68d25c54a3:A3aniRxsLFgaEXgiNgfhBr2SVQffFPdI	Q1:唭哩岸打石文化,;	114.137.199.24
2018-04-30 10:16:45	adbea2686ef9eed4c408a03bb8e22d5b:azATZ9r1zeSer3lkTXeLyT7idLRZJl8n	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	60.251.43.205
2018-04-30 10:18:57	216a97ef4eeffec59149c53e9703c2a9:U0nJOoqZCcmXtJ0wNFKZTnmycytivKfn	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	60.251.43.205
2018-04-30 10:19:46	31f6c5945229bd6db40b43654e1d3051:CRXAevCwOQAAepEwFUUUSIPJ07T7M2Qn	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	172.28.65.166
2018-04-30 10:20:19	f5fd623a277906d2bedf955ff0d1b67b:AvnrBzM2SOAMPIT7XLioUl8C75utJkoe	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	172.28.65.166
2018-04-30 10:20:43	53d2411e4c073d1ab3a4338a52a1b2cd:4Rd1DkHAteVu2HGTXTSI57ZH2G405fbn	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	60.251.43.205
2018-04-30 10:21:06	e0ac609cc88c96090f0a1143e8c8c503:TDEdvlODr3ssHyiUteqGkKkSpeE61dxc	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	172.28.65.164
2018-04-30 10:22:16	be54ed6fa09fdfa415d3760d39502d2a:uhPme01x29LTw5TMh8LEhoev6UpqTKwz	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	60.251.43.205
2018-04-30 10:23:48	70e71f2cfb4d387988a8c0d07bb22892:7OEmghMVRi3ZHEReSmGBVfVw5kaRU7CT	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	60.251.43.205
2018-04-30 10:25:36	4facf692ee1f3d8409354f92627508f5:koDkS8yduQz1gZyZswg2xR2az9bvrMIN	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	60.251.43.205
