2018-04-19 00:40:18	21769051c44dd0b3145ad2a3a1e03be3:CvEewjcGkFrkpPfNvso4vess3GGUBMiV	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	1.163.96.250
2018-04-19 00:41:53	d47dc4af0b03faa9c12fc955cb1217d2:S0JkgcKyVmNE5HQ56BL3SjUHrjNXODtS	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	1.163.96.250
2018-04-19 00:42:54	6dd6f282b04e9649a627dda958a0a2fc:cFI4r2JHKJkYBEaWEPHL0IQYVHsUKUK9	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	1.163.96.250
2018-04-19 00:44:14	2e08f795b2484540f78f1ffca87bc4fc:MgkC35xIvWV0pOvSA6bxTHTZ15q8YaHV	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	1.163.96.250
2018-04-19 00:45:28	cd2c6e4481a43c07c381658cbe998d5c:Rqrw9K4zMrfEBHPHMVkZIjGL2KnYhKN9	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	1.163.96.250
2018-04-19 00:46:51	99c10245b64ad2cdf7c418d52a30e31d:WpZ2FMquZhIBmyJShlcjttfWrCA5XSbC	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	1.163.96.250
2018-04-19 00:48:24	0c171580fcecd7e72731dbc56a75ed48:0gBRvszdsldNfh4nFAqvKPVA9wfssIxA	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	1.163.96.250
2018-04-19 00:50:17	74086d97e91623339e19eaf0d523d16d:g969Z1EJ3rNV022sKvXQPsp22N5MOaSj	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	1.163.96.250
2018-04-19 00:50:47	a87714a78d7480e0728c4a986ee9f449:gZKyv7AwOcTnVaXkeSLpSwRhi3DdEUz3	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,興隆市場增掛電梯以便民案	,;	1.162.47.95
2018-04-19 00:52:23	b62334d39ed62dabb6df1741e90ed7d4:AMtRVJKSsJqwhDQ92u8FH1OpOFoJRaEk	Q1:綠屋頂改造－從市政府做起	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	140.119.195.96
2018-04-19 01:12:04	ad8717f61a345cb80042d1a731f12540:SJ5oRIeWuDeHOupuY49IrylOyQtuumJV	Q1:綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,;	220.130.168.50
2018-04-19 01:22:00	220afce2e1bb0217dd76a727ad6502a0:21EbgODgNGuj9mcsPG28EtCQ1qLWfxX3	Q1:綠屋頂改造－從市政府做起	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	1.163.181.3
2018-04-19 01:25:57	4706565fb965d42eedb398eb427fa3ed:IvmyRs49ChGTbDuZOy8LXx28L3UFJmUk	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	1.163.187.231
2018-04-19 01:52:34	8dccb058686c9b6aad9d32d1423e697e:FMhVIw5YJTBWlrS7bwEJOm1PgIjqz0iC	Q1:綠屋頂改造－從市政府做起	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	36.231.22.170
2018-04-19 02:27:23	c389df71422a159e4935c4dc707a7ad7:hJhI4WJtw6BQ8FkvfzRoubzBEVqUjdNR	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	39.12.65.168
2018-04-19 06:16:02	e8d462dbb1970bfb3de667dd844edcb7:MNm9RqZWTZWL9YC2QOehNWQwwRkklygj	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	114.137.122.212
2018-04-19 06:29:01	75cf45acea083e98e7612354d82954b3:c8Eu4hFnxC0FctRCUzXsMwcljv1HH8RJ	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,;	185.89.219.184
2018-04-19 06:32:21	f81857184f4de65f7fb59397e6aac493:ptVVO2f8MJCLE9U4N8LWCY2gTLHHlRNq	Q1:綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	123.193.80.67
2018-04-19 06:37:44	cf3b6d9c6cab13d7860be67d35b9c796:L3oYfZR50anUktu9FBV3VEdoOPsuQDDz	Q1:閃亮文山．越夜越美麗	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	27.52.33.113
2018-04-19 06:56:05	f851d7bc7b08efbc0070cd49fcdca6b0:sXcAgCl7WK1e8fV3c6UYZ0Zf3Wlq5XXM	Q1:呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	27.247.168.123
