2018-04-19 09:31:25	1653dc2ba5a756c70cb5f01985d53075:Y4amq9qQpkCLzRz3LLoOGsV9jwVN9usJ	Q1:百年觀光新店溪河道再造	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,;	223.140.209.188
2018-04-19 09:32:44	5dd1b4a2251f3762ed6e5723492400ad:GaTYXZjFHECoTDUbFScZd9AhYaukKJYp	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.184
2018-04-19 09:33:05	99ce15962f6f78559d2952d3326796b0:dXYBH9X3JVhhJ8YDrU58VHQXysjwFh4R	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,住好住滿	,;	114.136.86.51
2018-04-19 09:39:50	693378f39d5d2dbbb92b858ffe56e0c1:PdPoJ0nEWz9haYFIUmv6H4Ad0j2FzRuD	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.184
2018-04-19 09:43:01	12bc934d04469e3cdb1cdb1002305837:AaHaY7ZH5giSUnoFeNXCWZuPMedxVDka	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.184
2018-04-19 09:46:20	20324c53a61d580ca4eecdb6377338a6:6kesCb4fsf4srxV2yMLrXjAKDY4RnKLf	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,;	10.35.15.10
2018-04-19 09:46:31	7fb3689777b219383ff8085b7d8392b5:7gmwdCszAbwK4EXYyn5iUDdUs7GPmffT	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.184
2018-04-19 09:47:50	beef2f51faea76949f3a6538cea6e2c7:Pw4wTjZcV6GdfP79a39kUdWGiAIjoz0D	Q1:友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	114.136.86.51
2018-04-19 09:47:52	3ed5d4dc7b815eaef6ed883a51bce96b:9whnxkyhpkVRMBgl2AHbJzv31Jhrjyfc	Q1:人化交通，樂活中正	,住好住滿	,;	172.29.16.169
2018-04-19 09:47:56	3648e38cd2d5767aa23f65fa1f8aee48:YPAMatOjxvXjjnsaZCM9cG1fLEJodhQb	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	101.14.194.242
2018-04-19 09:48:52	8eed054e28717021295500518bb5043b:e8Q0Uqs7UHKEJpg10V3WHxh2YyUxthUc	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.184
2018-04-19 09:50:33	a8750fa754ab1004ef876cfb1a5a38db:zPS465AQi4JhDZzaaKuiOURFf6wjQlWY	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.184
