2018-04-26 09:47:16	dd07d7de14b4e521279cd7a3ae659184:ck7elt48BfrQCn8FzVNT5po4Kp2ql1LE	Q1:再見泥土，妳好牆	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	106.105.178.40
2018-04-26 09:47:32	e1768628a076adc04e0cb97cdc076bd6:7ZLmZq6bV7vFJHKnLshbYF4LTQTE512m	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,湖光市場周邊環境改善	,;	106.105.178.41
2018-04-26 09:47:41	e89e945767384d02868dfef417f05e9f:npNwy1hj5NRIQzlxwSqKFy8HmMVPRim3	Q1:給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	122.146.127.46
2018-04-26 09:48:40	44c827883a8bfffd617c05e1828164db:rtfgma2wMeQ5nk6GVhY02UaSLCHEEmRw	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	172.28.32.5
2018-04-26 09:50:20	bb10b0cc20394f2449df741d399936c8:sgVoHDxLtIFOVEzzUdJvJugFg2cuSZer	Q1:再見泥土，妳好牆	,湖光市場周邊環境改善	,;	106.105.178.39
2018-04-26 09:51:25	14e53261290726c648d5e4e902a1f747:sx483stA1SIsumfHGOTSJAuDWoTjwGNs	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	172.28.32.5
2018-04-26 09:53:50	9794fbf7f796107b9945aaea242fefe2:RgZJzBEhpURtErs1mEyAyU5DN9MaqxaC	Q1:週美里河堤彩繪	,湖光市場周邊環境改善	,;	106.105.178.41
2018-04-26 09:54:27	de72a76231b66945a57739c3f7941c47:dmIDbo1r3SbeAadNniM4haf6gXLOZ3th	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	172.28.32.5
2018-04-26 10:01:02	595bd16c89b181254f4aa50314d94102:qzHA3g7QeyKQ0MvQKqZiLBViGsesGVVz	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,;	172.18.90.64
2018-04-26 10:01:21	0701fe4df8c836c0bdf341877eb97054:lonxZc9xKoe76EVA8RTPrwZ6lMVsxzmM	Q1:週美里河堤彩繪	,湖光市場周邊環境改善	,;	106.105.178.41
2018-04-26 10:03:20	95ac4896fae227cd7b80f5a570e9d378:H8uxxjcFmSPvgJ8sUbGXzLRM36W9UeTw	Q1:再見泥土，妳好牆	,湖光市場周邊環境改善	,;	106.105.178.39
2018-04-26 10:05:12	00b38a1d4138048b9b9c6ed1361d17d4:yobu9Ns9jbcjai3o3zESlneZdBV8HutO	Q1:週美里河堤彩繪	,湖光市場周邊環境改善	,;	27.52.171.95
2018-04-26 10:07:33	a28c0fa90a188d1135c6a508341d1606:PiV0GXlLLhHnL4rLVkoprFukliaCy4HQ	Q1:再見泥土，妳好牆	,湖光市場周邊環境改善	,;	1.34.219.127
2018-04-26 10:08:33	fa32b98126476539d8b64556ff0f9709:Wz4BGTxbBmCOOn2inO0iyHe3LsAy0FpI	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	106.105.178.39
2018-04-26 10:09:02	2cb46ec139c979d3088083c77e30f67d:ki8wwX4Ae3qf5AZdxuSZ8QZfbqLXBSe7	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	172.28.32.5
2018-04-26 10:11:13	4986c22e402e528cff0aea2a04c6a762:v7WOQGdWgbT4POwAULcWpQvkGo1hubod	Q1:給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	106.105.178.39
2018-04-26 10:11:31	2f8fe0ea252170af45b2f19e9f782ef5:wOefcRLcbPEbCk7EH26o4d89qzBBRY4e	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	114.136.24.114
2018-04-26 10:12:09	3f3154b388f7f11fced3802238d76b05:nrrWYEliGztHWHQ6CqSbNXIAEzMJp6Wc	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	172.28.32.23
2018-04-26 10:13:03	98ca89a62dd6f0446f09d470507a912f:TmCTTtSHhuplpVA7AGyUsD6wkRIDlTqi	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	172.28.32.23
2018-04-26 10:13:35	6291ed74f80fb7caa813eca406f34fea:hhwB5Az7Wq3G9dTCoxgIJUxzBrzrXL6P	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	115.82.148.66
2018-04-26 10:13:52	af307665ea09c82aa7bf52b6a49daec8:OMu2eI7IM59as6YaglnSqJj2tv6jRSmm	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	172.28.32.23
2018-04-26 10:14:34	b146bf53ab12093b30dde69ec7ab7037:6OzM2ARYMkskpux21b3SOcwuKxXYuEZJ	Q1:再見泥土，妳好牆	,湖光市場周邊環境改善	,;	106.105.178.39
2018-04-26 10:14:41	8d1457937941a699329603606b347c67:gM2EmQHB3hR3G636Dt8rNRG5K4kfpQMq	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	172.28.32.23
2018-04-26 10:15:23	a0a2d66a89bce087f7bb6586a9f38444:EPKK7rQOGm3Y7HBm59In4mqAjNgMM6yj	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	172.28.32.23
2018-04-26 10:16:03	718176373be0103bb1c8d4ea4a9c18d7:rNwW0L4TCVURfMDv6N79xaQRHaShwKC3	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	172.28.32.23
2018-04-26 10:16:15	90febf2b26ad6fe11d88928bc49e6efd:DtWbfChb799vDjTgLPgw31Nzyonm0iW4	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	114.136.24.114
