2018-04-24 09:26:41	8ba009c9cf0c821a83f5bb9e452d4501:cAaBxDIZ4WPcMOJYBCWW38GcV11tYHjq	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.184
2018-04-24 09:27:40	a57d372f52274aaa8febcd3bece19f65:CPgO7pJqYlVMDy42Dt261R0Y2Tm4e1Ue	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.184
2018-04-24 09:33:34	d7c4eb1d83292d96d313f7b34c7c21b5:oVkM26PSH2QBGDjfWAOQDCc7omCJmGUx	Q1:人化交通，樂活中正	,住好住滿	,;	172.29.8.203
2018-04-24 09:33:37	4da6e8d032cb1c57bf29f580bc814472:UYb73CuPHG1pcxXHBjJtHDZTZUSIBoKM	Q1:百年觀光新店溪河道再造	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,;	172.29.8.214
2018-04-24 09:34:38	324edffb4cc34694a2039736ed88201d:RpuAFLltgQcSVVLX4chHzmfrXirz9PkB	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.184
2018-04-24 09:35:04	4fdf41a13103c1f795e225d25f320bf3:Czl0ikBzUSgNiup4MDJ71Bcsw22tSjDB	Q1:百年觀光新店溪河道再造	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,;	172.29.8.223
2018-04-24 09:35:18	1da5bdca1cf1b47b098b8740692e7dcc:57SyH4LMyYtqdF7TD7msYnd0707fZxee	Q1:百年觀光新店溪河道再造	,住好住滿	,;	172.29.8.203
2018-04-24 09:35:24	943873268e833efbbb29beb5f3e7f76a:dR2H4azutmVdJmqfOx4FKZTsAOUQ5Y27	Q1:友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.227
2018-04-24 09:35:39	f0c5ec81384727197cdf4909f5519b99:m9oxl93ZE4bCuskKbsr7isSVJ707p5Hi	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.184
2018-04-24 09:35:49	dd872e929c43a6de15813cca3e7b0906:YQJRSxhH9zATy52scTG6txzEJ0TDHiWw	Q1:百年觀光新店溪河道再造	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,;	172.29.8.223
