2018-04-23 09:36:38	e57f3487c1bd8cb7de98a4e4063a8a9c:LmAfDljc0uRc3GkVuqddCpngN2fA4u6W	Q1:活化青年公園,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,;	103.31.196.193
2018-04-23 09:37:53	44e7ae2e0a9ff30932c8ee3825276f40:2fVIY2cSZe7f2ReQcXVOeFZmFkNV7FEU	Q1:活化青年公園,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	103.31.196.193
2018-04-23 09:40:25	44b336a07b71a353756f9f43a818fabd:5lsIRq1h53G5ParyfLMDwVYfDJn5JQCI	Q1:活化青年公園,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	103.31.196.193
2018-04-23 09:41:44	cb45f927a5b219478514f84ee95447e2:xYH9oYkD2RLk9bjQPyedLBjAlrBY4lh8	Q1:活化青年公園,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	103.31.196.193
2018-04-23 09:43:14	409f160c39e5958b579fa760fe6d6807:as8nWOuzOOvy3Q5Hl19AAkHuuvXihmvS	Q1:彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	103.31.196.193
2018-04-23 09:45:24	5ee087ea11523349cf7d5432fccae2aa:qzdZQhF17K8RnIlBBecYnPSaOFjE7l2p	Q1:活化青年公園,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	103.31.196.193
2018-04-23 09:52:03	c91a5ad87a551f9b1bcb3bcd94c9ac7f:x8A7XPqRKSaWISn7XiQ140wcIraXFmSd	Q1:活化青年公園,艋舺服飾商圈	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	172.29.16.169
2018-04-23 09:53:03	d3b881d2fccfe72f897cf3ef6e9c1aa4:RrLhDNidHYJIjaAFufaoMZLaXfbYtd93	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	182.93.46.98
2018-04-23 09:55:26	433e0eadda5c98e8f5ea79dd18ebd6fe:FHM6hb1gxxhLEyWePBFyYpRq7fgSxzbg	Q1:彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	103.31.196.193
2018-04-23 09:56:14	e5341bad154a9291d8f003852199b49b:HNao5sZ39LlukljjizTWzd4YngX4gw5C	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	180.217.183.49
2018-04-23 09:57:07	b39d3475db409fcfd9ff24e0a16d732d:cVkoNGaIfl85JzBkQr9BrCto7fmPUy68	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	103.31.196.193
2018-04-23 09:57:37	a8bf2541ea0375da1afa0fa6c923a2b2:R6zuvBTdXYBBEZX55fUo13eoP7EXZc1f	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	180.217.183.49
2018-04-23 09:58:51	6c1c4ae70600852faac6b41a78a0e6ac:ck1G8SpxUBETj5akU6MQKSVtk3VH0Kou	Q1:艋舺服飾商圈	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.136.184.253
2018-04-23 09:59:50	f003d96af5c56f9abf11b1ac907aebc3:87Zrm14leK9fD1o0YkVlUQQFJrcd0OnK	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	103.31.196.193
2018-04-23 10:01:53	8575d642d72522274c1987bb36dda572:Q5BA5KpZWeMpBiGBHMa59kYWVDksqOdQ	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	103.31.196.193
2018-04-23 10:03:51	387e2b6ca85f18c7f10d57d48f34535a:LegR5MbUcdi8ThGgaMqAyiIHj6BtZHpx	Q1:活化青年公園,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	49.214.196.73
2018-04-23 10:04:25	64237289f05d9fd17015a5083a673a29:9N5pG8QgMujHS6LAMlEY745MwtflUWaq	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	103.31.196.193
2018-04-23 10:05:54	c8692b4eb76a89cef0f9d17e9eb308ba:eBGgZicR4vsnhuWRAMAwAH5gxqobNgiW	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	103.31.196.193
2018-04-23 10:06:12	b9774136923a1d4f53c7594df6783b62:36HwFVPihOYbN6wz8TRyCYiXKZ74StK1	Q1:活化青年公園,艋舺服飾商圈	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	172.29.16.169
2018-04-23 10:07:20	ae306275da6be6f70c9eb819ab0a2617:CucsfghmjhKRvezlNAUS9eKOunmp2QiG	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	103.31.196.193
2018-04-23 10:09:45	7b88f9d007ea3daf19768c2e990cf284:wtVuQ33jqXfIbhwIQv1OhVClN3SdNqnz	Q1:活化青年公園,艋舺服飾商圈	,艋舺文化美食趣GOGO讚	,;	103.31.196.193
2018-04-23 10:10:06	1357e9fe818484c1e785ced39ff72c3b:bGI1AD0w0WIa7ZZTat8qXkPIvMRfnlyO	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	27.247.129.50
2018-04-23 10:11:39	1e0681a86e410ce9fce7e99eb795368f:0C49cc5m2hLeYMlkcgAHcvNodE1vnrgG	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	103.31.196.193
2018-04-23 10:13:39	cacbc154f0f4c839705a75e3fe001c80:nbLCB91Tfz634cytdwajBFB4EICC0u4W	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,;	103.31.196.193
2018-04-23 10:13:58	e66f9579d52177e69d477ec63ec422e4:McoCpdgxwlbO6RXT9TWjrdNoiqegsigZ	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,;	103.31.196.193
