2017-07-08 10:15:54	6876c64b5bbccab81b7feb5cf6e9cf02:Gx7n8kTEGWvK0q8PUpkEUD35TSliW7fK	Q1:信義區方便計畫,信義區四育區民活動中心,友善樂活社區─公園再造計畫,象山心入口,;	36.225.37.145
2017-07-08 10:17:46	be9a338c79cd624244164e4cb6852dfa:fBi4NfMEAGCH01FHJTX1dRmLtsE79rkL	Q1:信義區方便計畫,信義區四育區民活動中心,友善樂活社區─公園再造計畫,象山心入口,;	36.225.37.145
2017-07-08 10:20:29	2a902a62a032e7d32042a91cf3d1261e:QG2866UmTmIz7BNYaFoUMSmeVRiiOpkO	Q1:信義區方便計畫,信義區四育區民活動中心,友善樂活社區─公園再造計畫,象山心入口,;	36.225.37.145
2017-07-08 10:21:27	c61e14ab98f0c967bc19d1b947b8d632:W1ciSuvtkric0xmkoAELH093j66yIpGo	Q1:信義區方便計畫,信義區四育區民活動中心,友善樂活社區─公園再造計畫,象山心入口,;	36.225.37.145
2017-07-08 10:22:15	fc968c66ffff1e030d7081b5ebb5c93d:0Q1FbroCkWymlIAFkJPm0yRNgPHMRSo5	Q1:信義區方便計畫,信義區四育區民活動中心,友善樂活社區─公園再造計畫,象山心入口,;	36.225.37.145
2017-07-08 10:23:08	808d72eb4141f4b215072bb04e8ab90b:GFE9dhvTbFN9QRpLQH7xR0EEyF1lPYci	Q1:信義區方便計畫,信義區四育區民活動中心,友善樂活社區─公園再造計畫,象山心入口,;	36.225.37.145
2017-07-08 10:24:16	0129dc8d16638cc82c6fe8693df5deb6:Yy6m1JVPfQYJXkEX0MSXgsEfL7xiBDdD	Q1:信義區方便計畫,信義區四育區民活動中心,友善樂活社區─公園再造計畫,象山心入口,;	36.225.37.145
2017-07-08 10:25:04	7c451b8e8c7541c105b692d7f431fab6:GxOEcRxFmFBdaNpIIwZqEkIPsfeHf98g	Q1:信義區方便計畫,信義區四育區民活動中心,友善樂活社區─公園再造計畫,象山心入口,;	36.225.37.145
2017-07-08 10:26:38	5c125870353fc112f315c5c9e8bedc8a:gmUd5hWVr9Eek3IiSr7iJPMmEUC4uyN9	Q1:信義區方便計畫,信義區四育區民活動中心,友善樂活社區─公園再造計畫,象山心入口,;	36.225.37.145
2017-07-08 10:28:51	8baecc01138ee8d3bc6d658e4b29fe98:XGUd59JPUeGCfPZKd6UyWUCmL8LhPLpp	Q1:信義區方便計畫,信義區四育區民活動中心,友善樂活社區─公園再造計畫,象山心入口,;	36.225.37.145
