2018-04-17 10:04:38	0141cdb7441cdb238ba800bbd6d754a3:tTaVlYYM7LnoKKBNbmrQUY8Mguio118U	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	223.140.255.107
2018-04-17 10:05:05	13762a13f39d904ef737e2621f8a7536:uHHB79ApYEiclmOHcsi4XRZAzt8Evg0M	Q1:週美里河堤彩繪	,給康寧樓梯新面貌	,;	223.140.67.129
2018-04-17 10:05:08	a51f4430aed70a52ee4ec2be35e2b639:Pb9gcbOiRsJ5xilJzgLxVvzFmOyK6TNW	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	101.12.176.210
2018-04-17 10:05:14	2633c7a0e48ada030fc4a9ac7913605f:u5FtWAui4SRaqbPjLJgJkBMEgI2e7NPk	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	101.9.227.166
2018-04-17 10:05:17	47bfbd5c3d3a6cceb347d3b4e585719a:uZqgyBn7VniSPzUaFGGIRLiiUSVrerAP	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	223.136.61.220
2018-04-17 10:05:46	f7a8e68a284570895202a82bfef74a7e:3SVjLSQZ6gKVGYKQzyzBodC0R9UigyOO	Q1:給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	114.136.107.119
2018-04-17 10:05:55	4cd32135f17e62117abb258381a4b6c9:ulk1pw8FafpfSRVXy8o7aKSZzzpgbf0t	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,;	27.247.231.230
2018-04-17 10:06:04	e59e9e5afc90213bb9fc4bc7d4ab6926:phV4ZExiZWY2Qx1xnxsDFn4WC9qNWqGQ	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	106.105.178.39
2018-04-17 10:06:14	98a6e84b60860856c43ba3129d4f49fd:rQh2HW6havGFyKHY5hG2j5nVwnpq5iz8	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	39.8.164.43
2018-04-17 10:06:28	63ec854b1cf7523929e61df11ee8a9ce:Dm9b8NPDvahluhA7Y4DnhGAWWLttF4eT	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	101.13.103.14
2018-04-17 10:06:42	2ee2d6ca48d1343f80525b7f830a2340:oBwLktrxmFGu3QvEzsgk3WMBWBdZ4ZUQ	Q1:再見泥土，妳好牆	,湖光市場周邊環境改善	,;	223.136.61.220
2018-04-17 10:06:46	72ca577d32b3fbd4a67bd09d5228b2b2:tvFikqsKUQgEKIQpEdELuNJgzsNX46im	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,;	223.136.61.220
2018-04-17 10:06:46	221a955fd9909527483b4f7e5d5ed0e2:geWjvUGEJSFM10SE3ELNiyhkclx5TmtH	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	180.217.106.3
2018-04-17 10:06:52	5175710c1c34e7edab312ddf57aa597c:YvMK2Jace6ZYlvRteTHSZ2UMnX7nvuLA	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	223.139.247.117
2018-04-17 10:07:24	ab2f885f29ccde9bcc0d065d19c1605d:lmCCpXHbvT6cKpv6d2HCmLS3RkQhqS6w	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	114.136.136.143
2018-04-17 10:07:47	f5bd82b60bc715e6a0a931175a581097:fYxeJYhCwSdXBFEIphAE9KKpv6BNWcA6	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	114.136.166.175
2018-04-17 10:07:57	d214fcc4ac47616913f6019ce4069269:rcCkHXsgTTwBomdWaCbWhBjtAWLOeIRo	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	223.140.104.120
2018-04-17 10:08:04	f823a2a59ff96baeef9690794a0cc7ff:deJnlb4cyTOS8JxVOHwxJIFLNUVQeBWW	Q1:給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	172.28.34.56
2018-04-17 10:08:25	5ace8c70f90c657fc7ee6daa985e0638:eCtfsGSp07orAz8SGBGBi5erqpRvlZWs	Q1:週美里河堤彩繪	,湖光市場周邊環境改善	,;	27.52.160.168
2018-04-17 10:08:29	699c847b56f5abb64aba271a5dfb4d31:FFKFg0j7u4vrQKdpmkJqfLyxB3O8wss0	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	27.247.164.101
2018-04-17 10:08:30	52bf0c8a0a9a1a7eabaeb3c8b261c764:jtw9fVBlmlDso28EKyn33vKgdMoU4PpG	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	180.217.98.21
2018-04-17 10:08:33	28d8f5fc1a3ab88c039122570c3b1efc:wvYYcXZfrhqyJzxV6CwyKehjP7lNckcG	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	223.136.196.40
2018-04-17 10:08:35	024e6110ef1142494afb56589ca516f2:vKKv5va576AoyY2fcGFJsYG7k9lugHwI	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	42.72.71.37
