2018-04-24 10:00:07	e4a2ac440a822dd58e334e07c2553896:Vpg0H6lpuwUB48oFHHFaZD01d8ZW3IPt	Q1:週美里河堤彩繪	,湖光市場周邊環境改善	,;	106.105.178.39
2018-04-24 10:01:53	fc37addd9f159d071e70c1f2f9c6b97a:59R97egfCYepwPdqytm8N9KItVOHXZ2i	Q1:給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	106.105.178.44
2018-04-24 10:07:00	633eff7a3bdf66fcaaefd454c0a61975:yu7A38RyftRUgkDZAzFhR5NggjrUuwr5	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	172.28.32.5
2018-04-24 10:08:18	751414d616b3de3ad8bb5cebb5b381f4:G5Tcw7A1DXYNbPBL1oX8NZLX4swXqT7r	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	172.28.32.5
2018-04-24 10:11:08	bf475de2f4c7f045df00e7345fbaec71:RFKl11JCGDHkEEp00DH9k7eNxgXi01gq	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	172.28.32.66
2018-04-24 10:13:26	71edcd81d859005a2e593a94de000e09:7YdDPofgwix5Awplqp0V6rrU0MV88K3r	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	172.28.32.66
2018-04-24 10:15:33	34b098cc41daaf58551da3c72f1251cb:46fpPFxl0r3JXdYysrxomrsJs0MaPEHv	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	172.28.32.66
2018-04-24 10:16:32	280a80dd58e3ac944a0dca2fa2cc2e16:BQMj4yjOcWDcRhjCGLEWZh7jUZhcawv9	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	172.28.32.66
2018-04-24 10:17:44	07dd8a12d474e7137116ab4e50accc0b:asarUi4YAJGvB6SB95l6BH8mfZUVAli5	Q1:再見泥土，妳好牆	,湖光市場周邊環境改善	,;	106.105.178.39
2018-04-24 10:17:58	81d85b41ab1e4be3166b5080e9067cf1:PIiv4BjrcfBfB8qe8l1lgdL95JtwMw90	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	172.28.32.66
2018-04-24 10:18:03	cc942807adb41fcb5b595f24049d6696:9x4ZHr6RR156gBujZKraWsXVdWsFbCRB	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	106.105.178.41
2018-04-24 10:18:58	54f7259a23ae9876c66ee631c5f9bb77:hIiYhjai6U6jLMwc9ryCwqiu04Cz0Y6L	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	172.28.32.66
2018-04-24 10:19:58	2c49f2ff22a06893ccabadf286973028:TzqEUW0enggsmCdoPwDaETP14bXEs4IC	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	172.28.32.66
2018-04-24 10:21:06	59f7067aad0e7ff7c16800f8a3f44388:kGY1zgoNw6KAZeuemb1se2KNPDQMJG2r	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	172.28.32.66
