2018-04-20 10:21:44	cb99dcf5fabc22e0a0b58b7371f9ab63:XW2FrCRkts5gkFs9kF3gqXOW9PT0ZlCP	Q1:給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	27.246.202.163
2018-04-20 10:27:08	f840c2bd39dbdb1bb6c0495faf0e6c6e:HzEvFWPeh3xUIDtlPHJh6NuW4fXqouXl	Q1:給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	114.42.157.35
2018-04-20 10:35:00	5af28ea2a4301a6a4d75cbf4fca6d6f6:ekfmvvgaNtVoFHr96kXCv4Fyuyw04wVQ	Q1:再見泥土，妳好牆	,給康寧樓梯新面貌	,;	27.242.164.155
2018-04-20 10:35:06	d582b692a6db80e0e17c16878e157131:E5MxqDQhEgwyywwcxMfxrxGMS7bY4pwx	Q1:週美里河堤彩繪	,湖光市場周邊環境改善	,;	106.105.178.44
2018-04-20 10:39:34	b97250c6f8bbee1b933ba443675673f1:BYkqIWA5VwPFtVAlAGlYGk6I7FSsQxSy	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	111.71.26.14
2018-04-20 10:39:40	8acde2aa5fe8eb2e51290e14af6ee30e:Q8VMKbDK5C3arS7oneeD0iWB3DKDST0Q	Q1:再見泥土，妳好牆	,給康寧樓梯新面貌	,;	123.194.153.67
2018-04-20 10:40:30	145d47791601c8608c65e7d4ef29f255:vsITOW0GxkfFfiBAgvUkBluDH2VqUetX	Q1:再見泥土，妳好牆	,給康寧樓梯新面貌	,;	203.71.67.91
2018-04-20 10:40:51	a2f89bee5e895352449b483927a9cec7:1ZKXRNvREytKxgaT69gpMvzMclv6EUvn	Q1:給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	203.71.67.80
2018-04-20 10:41:22	c2f76f70abd8b42fec0a703f9be7d1b8:Nu6HrqrCjIPWGnVOSxg8v3YhAEc2ITfT	Q1:週美里河堤彩繪	,給康寧樓梯新面貌	,;	223.140.253.134
2018-04-20 10:41:25	4fe73aba914adfd84c62b45aa795f10b:zppHIwa87eyBYODS2hUSWiCFH4NVx3uu	Q1:給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	203.71.67.84
2018-04-20 10:41:34	d4a13f5770efe8f569868f618601cb4c:IKGnJ19GAEDKelTqJJQLSeXj7go4DEhi	Q1:再見泥土，妳好牆	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	115.82.177.38
2018-04-20 10:42:04	255b80893c208a3bf67601afe69143e3:AbYftmhv5ObYdcfeKMOUnV6B5L9qXaRN	Q1:再見泥土，妳好牆	,湖光市場周邊環境改善	,;	114.136.54.194
2018-04-20 10:42:37	9f3308064c84b6813208997f620cfc6e:RQoZ5ykJya90e2WdBR4ShuA5UWGtLFiY	Q1:給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	203.71.67.88
2018-04-20 10:43:06	6bd2c7fe8427f2db5184f0e5c3b09b0c:ueYc1CVY0sAAw0svTLdgzMgaWTnqLPK5	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	27.246.71.91
2018-04-20 10:43:07	6ef0274de1f7cbd3340a7036ce739a43:bWgKGlEr2W2gWuSVitSMTiAQGEzcGRwv	Q1:給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	180.217.167.179
2018-04-20 10:43:38	abe8dd1777bb4698636d286711fc3bcc:bT8oV54t3ALgEIirYYSq2ojG3DmIXcYn	Q1:再見泥土，妳好牆	,給康寧樓梯新面貌	,;	203.71.67.97
2018-04-20 10:43:42	eef9b276d38ee85be8a09c19ee3812e3:3WXiJR3ldzC7IaCgBa2iccTM9VzyhlsX	Q1:給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	49.219.176.194
2018-04-20 10:43:50	c9acbe250ef571f67e6c786c2c0a3ac1:DS3Kb0jR5dVZPSzk9r5MZV2EvmjeE0hr	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	106.105.178.40
2018-04-20 10:46:05	adf472b019454fee6118b705e9bbacae:pJmhDYwIzBMjYZIIIptQQRSwz9qKOlpO	Q1:週美里河堤彩繪	,給康寧樓梯新面貌	,;	180.217.188.55
2018-04-20 10:48:02	98b8de2d247fe4be623f20a3ff74abcc:cgARMmT7axZx5pnzd1jY5CJ33Do0TJb9	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	61.216.101.150
2018-04-20 10:49:43	5e6a52c56c8622436df24cea51994a47:3paYWX2ZJJkb5h0977WNNw81EKvlzfNB	Q1:給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	203.71.67.78
2018-04-20 10:51:04	9c5ae8760250c5d5771437c7dc25d597:mIret7tz08c06ASRgcZDLd7COBO9tG4a	Q1:再見泥土，妳好牆	,給康寧樓梯新面貌	,;	42.72.121.209
2018-04-20 10:52:00	e55ddfedcb2443c35108a482ecb38484:CE9xSdPy097qCU38TqJQghdU2fpde4zh	Q1:再見泥土，妳好牆	,給康寧樓梯新面貌	,;	110.50.153.41
