2018-04-21 08:57:49	544a8673bf31f20aba3550f1e2f28f28:sZTUZXXXhGoxCrVZTxlIDiKf08LqSqtE	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	180.217.106.201
2018-04-21 08:58:17	5d461d3f17edc1f81e773f67109f1317:DL3XxCgOwRqeGr6s14828te8CEsBSY1K	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	114.136.115.128
2018-04-21 08:58:55	cff4cf37ebaed10bdd540a0a1ea9a53e:uBb78DdAb8vmXP1BKrvx7Kjwi8Zmk5oH	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	42.77.151.10
2018-04-21 08:59:31	944bffadb4e383618227b6b843ff9741:RNp9WlAMer0H5PYsIojWnAZnNQ4vxuAq	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	114.136.115.128
2018-04-21 09:00:25	7333a0755de6ffae28d59deb3844110f:8KFSZ2pORNYOev5icSOup36Ggks7K0pz	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	42.77.151.10
2018-04-21 09:00:38	2ca21cce4f84e92b22881bec62479dd3:i7225PXxlzsREMOWpVmAb6qEQybauqMP	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	180.217.106.201
2018-04-21 09:01:01	771b2acc4ea79776afc9b172b4cfc1fb:9Dp7Kc3IzbT0dvSlvXDGUyihcVAWGQna	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	114.136.115.128
2018-04-21 09:02:12	7b0e409b8c8d977d6bdb8ca2b534c18d:hiVIuK6KxXYSe0TEOJP3OcUUVuYa7UUZ	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	42.77.151.10
2018-04-21 09:02:27	2093a6a486ae489f2d411f0920353044:sc3fhw1f07b2WlUgSo5XxtJQdLKyS1cZ	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	114.136.115.128
2018-04-21 09:04:10	77cef185d50a85fa608236e1e17ea0c4:54KVKpqdOe9Egz6OFjo6judtNkwPVh9r	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	172.28.16.212
2018-04-21 09:04:11	102649e3cd2f808107170a0dac663ba5:S4yBKRyWfffzDt9aqmjvBtFZnkVysmbl	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	114.136.115.128
2018-04-21 09:04:30	26a852be0a40c7f3a4ef0f4ebafcf071:S2tW3QcBDPWKRAbeABlPKhzWVCeaX33c	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	172.28.16.212
