2018-04-25 09:10:44	98e3cb5501c073380b9f9feef292d8eb:lJWIytzS9vf0ZQlSFwaLaP0xlEVnolF1	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	172.29.16.101
2018-04-25 09:11:01	1c7f27862792c34ed651e1616aa0d000:lTLALLJKMP4gn0G0fkj4VKTTX56CcSEa	Q1:活化青年公園,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	223.136.243.80
2018-04-25 09:11:32	03547c4b7f44d927a5907cc9392a989b:TGHHzBRx65RXQ9OJqH1loEGdo1rJsAcr	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	172.29.16.101
2018-04-25 09:11:59	09f09fa7542a45458d99fd1c8ed281c9:v27xomUt06hcrojnuKZTm3xkoExkhz0L	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	172.31.25.131
2018-04-25 09:12:10	04a3c80e9c68f0fbb3cb2309aa31cbbb:C68mofhl2uAyhboI35MIQ36BycSr0nfe	Q1:活化青年公園,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,;	103.31.196.193
2018-04-25 09:12:24	8b81b7073b2bc15b0dd64303b04ac0db:M9bIoF942SQrfucAnXsdxIV2ASmoihSc	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	172.29.16.101
2018-04-25 09:13:28	623d3b31b875f4e919cea5f749f3de35:1Y2aspt5d37WjYe9lboK69CtUjhIPqv4	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	172.29.16.101
2018-04-25 09:14:22	f258407670421ec5e91052a3f96b7bc1:7t5CHatha8y1WfyFrzcqXXKNMFy9LxoQ	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	172.29.16.101
2018-04-25 09:15:22	af194521deabe88f9d8e8d35321b3c7f:B4qIjU17dY0LdouLH9I3Tisv7lAMwjfe	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	172.29.16.101
2018-04-25 09:16:21	be98cf90cf3ad25f73241e5f10391cb9:2XofJupeR6qhE9r31OPD2JhNpjSrK1zO	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	172.29.16.101
2018-04-25 09:17:14	bb6bc5b409d5efad0656efd6702883eb:N7Fs2gnSLFSbIEsj9MWAhvMXx2wicL3f	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	172.29.16.101
2018-04-25 09:18:02	64688ef81fa2b394fb65eccbaad0da54:ekfcNskFDKO5wzshmwxTqSWFOz7GWRX9	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	172.29.16.198
2018-04-25 09:18:06	86dd2d723e63d3b87d5625572b99fce6:kad2O5vVtke1WccUEXIlKRXT1qMO3bEs	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	172.29.16.101
2018-04-25 09:18:17	5cc0f788a02e734a1bdbde80fa7641bf:q6OYWS2G291C7tCTWjc5OilzE5nJgwCe	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	103.31.196.193
2018-04-25 09:20:05	702fe4b6a22cb48a02f82eed31c3f3e7:kadLebAsWlwFlUEd0RRSUXlGhoSkzhrn	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	172.29.16.198
2018-04-25 09:20:13	77a4d37ee964a24c5b721fb924a63ae0:n4ijtDiMZpzhk5Rglq6sVfIBGIiFGcgW	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,;	223.136.243.80
2018-04-25 09:22:35	f97f54ef4c44d4dea6f28e90ec0fd17a:XD3QTY13wHvouNzn4CaaTPYYKDQohNEX	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	103.31.196.193
2018-04-25 09:23:39	29c30ca704803500115ab72927e9900d:k9Rq9Zw5F3DDTHdJKiM7Q1xDIaHPEWPS	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	180.217.84.242
2018-04-25 09:23:46	985678231fc9d32091d516028949907f:zVzm0ucgC0dBPHn75P2DXtfeHSXkLken	Q1:活化青年公園,艋舺服飾商圈	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	27.242.38.238
2018-04-25 09:26:29	9d93e2d515573272a5673c6dabda42f0:U2QqiY2YUnnLRPJGysN4MEUxqndSwvJj	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	103.31.196.193
2018-04-25 09:31:39	b155a69d9d33318f7cb54a466502928e:LOBWm3nFsOI6hrYb2FAbgHT8MSOb64hc	Q1:活化青年公園,艋舺服飾商圈	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	180.217.106.83
2018-04-25 09:33:21	b003117d392331194de40d87a5e25efb:AURjYGswcwAClwKI7Q2pQY7Jt7efTGKt	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	172.29.16.135
2018-04-25 09:35:43	0448847fcd8b5a1d8a89b35e0ef05627:e5KtQCvzcKeuWTuJMfe45EcLZfHHKMTx	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	172.29.16.135
2018-04-25 09:36:26	51f687a3be026c2cc10e50ea369e30c7:sBtLugeJpNhRMKKRUmSu3NqpYJF5dDGV	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	172.29.16.108
2018-04-25 09:37:34	a78f38e6bfe9a23a42e3d2219a425338:PlN0SgrwXSXTTDB0aJKMlhfG8yIf1pD4	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	172.29.16.135
2018-04-25 09:37:51	fa370ab2b82152b44ee25e1e713b5214:CxlrXMNFwUcQa1qc9V5Bc6wIJaZlxBH5	Q1:艋舺服飾商圈	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	103.31.196.193
2018-04-25 09:38:47	6c5a8b017ccacfbf1cb1ebe1c8333a94:GP15700IlfK4W4HIoSYvhVkYpEFoewgu	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,;	172.29.16.198
2018-04-25 09:38:56	727ab8224d4a148c399fa59936c024f2:74XKwZacSvMr39zLOMVR4pX0Qo5a8M5G	Q1:艋舺服飾商圈	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	103.31.196.193
2018-04-25 09:39:19	d01f4d9b25218fc4cb852285d37cec0f:2FBSkSt1YVE8han2U9hwCvpW9s49ceso	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	172.29.16.135
2018-04-25 09:40:11	2cb41d2e544189ee5857fb60228297e5:IAs3lptYHINOxwtKQEFFvoHeHj3a6NUB	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,;	172.29.16.108
2018-04-25 09:40:44	d3f02076b84d5e274552e3324276a556:hdFbJpDRehI6laWAnwNVHJFaYqruryXQ	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	172.29.16.135
2018-04-25 09:41:11	b1b30fa5da248e43f285357cc394ccd4:il7xotWofPSaaxPIm7JXKSqRoNEa0gI2	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	172.31.25.131
2018-04-25 09:42:13	24ac069dbe8935980ee5d16ea2a024ed:I7q4HuwyhFxu221glkdkV8VX4prN4g6I	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	180.217.106.83
2018-04-25 09:42:25	9736cdcaeeb5b5378c32d81127413a08:c4vaGV4fjmsU9nWXVGJPGy7Xol87up0E	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	172.29.16.135
2018-04-25 09:43:31	e189bda23c32d9cbc7a4ea9eecf8ff04:Y1mDd2NZVvHKxJCDCWMnlLzHepUGxjRe	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	172.31.25.131
2018-04-25 09:44:47	d23b52ce33c71d15c8cd9a3b6a8b0f79:UpyPeWlTmQwrDexyT93KgFR3Nfk6xU3U	Q1:活化青年公園,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	203.72.56.195
2018-04-25 09:46:09	87b1efc336b2f49b641338953d88e697:DZCygHIJnp162iYBU089QkdEQn2q4a9u	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	103.31.196.193
2018-04-25 09:48:33	000d6f07337d53086574100639453f60:zcqnSKIict0a6eeloNNT4kROXKRZMHXY	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	103.31.196.193
2018-04-25 09:49:34	d409cdc3ffa3bc9a1afefe1897840df8:l1klTem23vKgm65OLHyrvz4nw0OD3XN4	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	172.31.25.131
2018-04-25 09:49:46	9ce3e88f23cf83e04ed3a6a124fd2dc9:7sNuvfSwtLERozuLFlIPMt2ZGstSHIEw	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	122.147.255.207
2018-04-25 09:50:59	79385e28eb54b9bfc22674cddb92ccb7:NModNSPq5P5yY9v4xPenqLr5pFBEiqwI	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	103.31.196.193
2018-04-25 09:52:03	131f46703102f14402395dcc584c7280:Lfl3gyHbYbpwakZAWUqQaeXmx2EwpyTw	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	101.14.64.84
2018-04-25 09:52:06	e02974fe2b2a022cd8b0736ad8359a78:TkBBmSlGJNQqm7qmQCLqeDsLEFLvz3Yn	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	172.31.25.131
2018-04-25 09:52:59	db12a3584f8d42c90e840278f21715c5:dmiyx1kvdUXiRJQoqrc1e1gv1LGbtHrs	Q1:活化青年公園,艋舺服飾商圈	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	10.22.60.23
2018-04-25 09:55:36	90f8c221afbd4edadaef16a5303ba3ea:WotrDLf4bH90Y9GkS54R0xN4PrZDTvyT	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	103.31.196.193
2018-04-25 09:55:45	7a19ee5c6983fe3a80799c894fb05ad7:5OG1FQs1IMFSTy10Rvp35Fmz069KzVzx	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	172.31.25.131
2018-04-25 09:55:59	7c600c2257e4503a4a6463ef1c22acf9:GHVjvv9GKAFAzeDXYCefh15NNUna1kcJ	Q1:活化青年公園,艋舺服飾商圈	,艋舺文化美食趣GOGO讚	,;	172.29.16.108
2018-04-25 09:56:41	ced07847920f2b485a2381f4d82a61d0:cC7rP1JS1NZNVc3i16d40JNXttLudiiN	Q1:活化青年公園,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,;	180.217.106.83
2018-04-25 09:57:10	5314996c757bbdc15f21c5cdca57f985:dg3NjhVbAMCjl2TIPunv3EhppZITXE1a	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	180.217.138.153
2018-04-25 09:57:14	a4c71e9bef5adf7364833d8587b5fc31:VlOrPFnqm3S603hTzJ3Iuf5ej7Lirgx4	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	172.31.25.131
2018-04-25 09:57:17	6211ef44573c0855a35ae6e8f3957854:XpJMFLFPVvpLtxfuy9rSMw3lnyxNLIcU	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,;	111.71.122.189
2018-04-25 09:58:12	5e0684f8542c688dab381f7b526318cf:bUVr5fpLPIztODoFhTgABKMpv8Bua7eE	Q1:活化青年公園,艋舺服飾商圈	,艋舺文化美食趣GOGO讚	,;	103.31.196.193
