2018-04-21 12:10:45	aca828ee0305bc821aa8e097b8411e76:au1OKciYLn0hGkuWEE5uOQFaknZ6KeKA	Q1:康樂區民活動中心外牆美化	,蝶會在自強公園	,;	172.18.87.39
2018-04-21 12:13:42	19f47d5762f7157f0fe1106088398c61:vgI7MbOjUt4xxdUnMxKU3KNk4xiGb0zK	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	172.18.87.39
2018-04-21 12:16:34	98eb19ead68b558ca11301a754408272:61DQUEL4O0seMve5vykTel0R47olGuQc	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	172.18.87.39
2018-04-21 12:20:35	104d6e40e1de62637c75160791e79171:EjnxxwO1Izw3FJ1x1IqPgKFgy08tQiiX	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	39.9.202.252
2018-04-21 12:23:27	faf57f003a4f7e8eba36c4e858274588:JYHur91AvMMXkk6l6O8f3LnVLYYYK7cX	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	1.167.48.199
2018-04-21 12:25:55	96c9cb55dfc3fb2c1ba104fcfb857fb6:Fe4isbrZvzDhR429s4iIgmFl5QtqGkU7	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,;	114.136.2.9
2018-04-21 12:31:57	b4e9d1857a2f2ee073db75137592c32d:wnNQbdSdbWvt5yaTdimxUHlPaS7Rfkk1	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	172.18.87.39
2018-04-21 12:36:45	f52918dad266432da8c28abe81d46caa:qgZru9d036J1bHfYOU13x2orY4OopG1P	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	172.18.87.39
2018-04-21 12:38:29	721754763f121ab0252b59fa6e9663f8:fAzyaYtl5b9Fs0aDcyyBV0YEpy01bBad	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,;	172.18.87.39
2018-04-21 12:39:55	729fe9a70d8372be4561971535109e79:AhFXJDHEI5PGkcIF1oirYgI6XqFD2KIP	Q1:康樂區民活動中心外牆美化	,蝶會在自強公園	,;	172.18.87.39
2018-04-21 12:41:15	902f41ae693f9d0b637162febd79ae33:6BYO0vbxDfboeqslljHdkmEu8iO7D0LR	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	172.18.87.39
2018-04-21 12:43:45	d65b95099ec29960686777b7f9a539ab:UijKwmU87MiFFvaK8J73GUserUub7hDw	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	172.18.87.39
2018-04-21 12:45:17	c01fdb1062e3b7b1c9a4740a4aba4cae:yvloWa0xI935ssbOMNPMqGXWEU8aWlw5	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	172.18.87.39
2018-04-21 12:47:43	776412cf47fcb36c6d917a4bf7d24a21:sWoSINIbCGnj9sdMPozC7xtYEwFzTWlm	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,;	172.18.87.39
2018-04-21 12:51:13	ef121441058c25e446556ae38593ef65:47wZe8DMNUj7sBFJ2ODH018wS4acHRH4	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	172.18.87.39
2018-04-21 12:52:58	c5997e16a6db5c91210ea45294a9fba7:c5ruNaA27at65egIRgv5AK90WWrHhA9Z	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	172.18.87.39
2018-04-21 12:55:04	2ab07034badbd105b91ac97e75b699a5:uB64nDx1uVOaomLT77BB99u6wzBnSm9f	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	172.18.87.39
2018-04-21 12:59:09	0be5bd87e95b6aca439700c102c9b009:Wps0MCFejn63sl4JruPFhijJjsiEXH7f	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,;	172.18.87.39
2018-04-21 13:03:13	ce4d55284967701c7b582137c5dddbeb:xTIxBcMcdii5L0bF9hCE12yBETXKy3JW	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	172.18.87.39
2018-04-21 13:06:03	878c8967dec497a7c3be90462d0bb134:OkpfAlIxSThlCA65QbRfdXTbJH2qrZgD	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,;	172.18.87.39
2018-04-21 13:07:57	ae2f5fcf072c803a564e7d57803c6e43:1JaVzbiNUUglWVEgxSX2c2nVPrkmM3hn	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	172.18.87.39
2018-04-21 13:09:55	cb5318bdb2e774403a9bb96fc205f718:PJsx9hJrbiDhT3bhEruZTnmETCFiPU4z	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	172.18.87.39
2018-04-21 13:11:08	3ceb9ef471e5bf547e8feb80949dabe3:8uokADDCuYuJvcH5bhcXB6Fm960qtCXW	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	172.18.87.39
