2018-04-28 09:16:53	b9f02ac8afd557ec110736e4faa3f7fa:eiWACXI6riyfEHGGngCM8LF7OyWLkif1	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,;	172.28.32.53
2018-04-28 09:17:03	8fac7b9192a535974b40da565ba035a6:ds3hj0OBSPHi4byMpzHEIwtv9xLoVYpF	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,;	172.28.32.53
2018-04-28 09:17:13	6845ff43485c4231b717655073ebca16:mmQXqNr1O2rxDEmiuCKazXBEpHqAkLtH	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,;	172.28.32.53
2018-04-28 09:17:13	7086df34c085d9da54b0357763e7a508:EBJV6PM7lDLUHdDVap7ZHYN5nCg6AiXO	Q1:再見泥土，妳好牆	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	1.167.48.196
2018-04-28 09:17:23	bb5087b3058733780c1f5a8620d6ef97:kcnNyWplH0N4D68GtdHbF5gpumskMsfV	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,;	172.28.32.53
2018-04-28 09:17:34	724639c48f20afa618fb09ae5c7e9d1b:awQSiv0ReqBugK3vsI5uIitiYEjXLsKz	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,;	172.28.32.53
2018-04-28 09:17:49	3dd3155fc90baa2a433a346296541ad6:a2Nmj3QQatXAM45wqvA1bL28MhPTlOxb	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,;	172.28.32.53
2018-04-28 09:18:00	bc1d72027521a9d07ac93328c6ef7cf5:gBsR5c4TSiGmmGhitaBIoN1jJDwHd9Fq	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,;	172.28.32.53
2018-04-28 09:18:10	b12e2826f2b69e26aa1489b4c4cce75a:omiV7pmQVJvhT0kb0BL6cV1Ht6JkleFw	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,;	172.28.32.53
2018-04-28 09:18:20	c2833aae7faf8c81707d5b769de67b6c:vBJbolkXiROrQLWJKi90i8GlgjbsUPbN	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,;	172.28.32.53
2018-04-28 09:18:31	0d97d7d1a7db28429a67e76e19cf60f5:hxL6EdTVqpPEHv4vRzj9mAaKWpb1YCki	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,;	172.28.32.53
2018-04-28 09:18:41	daa9be72b8ebdff217774f47cfe53431:kaUf9OZvZY2c8OM4BjVTAwXtK1xT0QQY	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,;	172.28.32.53
2018-04-28 09:18:53	ce3615cdaa58797aea46919a6e969180:ZklxCPgKwdCuG7E6DZkv6sWoYvne9kWF	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,;	172.28.32.53
2018-04-28 09:19:04	6d28dd1ea56e03aa5393f3357cd6f07c:S769DSaY8GRqKtaeXGsCkX0GauFUMZTP	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,;	172.28.32.53
2018-04-28 09:19:15	0f2c69423b580a2a483ab8a090cc28ed:lrL108XKGX6euLbEIZBCF5pyH6lahwo0	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,;	172.28.32.53
2018-04-28 09:19:27	0bc7903f870689e15aa4af428365c483:8JtYvmTFTYuqxT2Ahdy6nBHgbY1O2yRP	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,;	172.28.32.53
2018-04-28 09:19:39	2c49c6af5fe630ad6ef0fcf7f038f266:DJx7bUk8hSgTYBH68kJq2O532jSwGQuC	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,;	172.28.32.53
2018-04-28 09:19:52	447b684729fea64bae3226ab6dda0e8a:yuWb3pVKZbQnifSEuzcPEqSiAhBRdblx	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,;	172.28.32.53
2018-04-28 09:20:08	671b2764423f3fdf35cd7aeb38b16ff4:UJUoMScu64ps4VDB89ZNpX0hHdMcVFLG	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,;	172.28.32.53
2018-04-28 09:20:17	35880cc40d680fbd24b5daa0bc2c118d:AgDwE8e2H1KUMPP5vbqrPMb7UQQR8lrB	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,;	172.28.32.53
2018-04-28 09:20:31	0d8267cca205931a734fe66d14b75f8b:gSqUmUpwsRtVAlBfhxEGC0RKNEipjg8M	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,;	172.28.32.53
2018-04-28 09:20:44	ce8e1c0e92bc81145a617d69e3e1e968:xBXnf2pMiruehg6tiM9Gpqp8TjrJ7Bro	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,;	172.28.32.53
2018-04-28 09:20:55	35b0a5a51c98b2d6606005f40d044ef2:BpVFrwDsvCfBW5jHafqIhiHQO6eyJqIj	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,;	172.28.32.53
2018-04-28 09:21:04	740ac67b0f03c066dae20a81052d9985:gyAYvepdQujRTrBzSPPccoTHm8CxFpBZ	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,;	172.28.32.53
2018-04-28 09:21:18	9783702fdd4a8347f5259b5301d62446:ROf707ggM28c7s4JPMVSG7kVrOZBXH1S	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,;	172.28.32.53
2018-04-28 09:21:28	c87fcdafaa1fd3fdec1c5231f422ee0e:IDwffwDMRvgEeC504wCivrreeynpfDDp	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,;	172.28.32.53
2018-04-28 09:21:43	096328042028addfc5fad3ddfb2a26b7:B5f2GJnjkU5JhpOlp5cQLU2cKc43KTS9	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,;	172.28.32.53
