2018-04-26 09:46:27	76c5ff49f47cc869dfb074a70751d910:c50LxYS3G7TUggoWfjlgETUuXJDfgqXH	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	111.71.37.149
2018-04-26 09:46:52	f90734e552e1e94b70f22e73f7eb21ff:iykbp4QnQB8CazBahppMlG7X4QAsGsXa	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.184
2018-04-26 09:48:38	f2087ec04b4f12235e244645da0b6672:WYO4sHpe9Ddisz6HuPUpeGYUDElEozb0	Q1:百年觀光新店溪河道再造	,住好住滿	,;	172.29.8.60
2018-04-26 09:48:47	27f1ae7115aabe433bff463944f911ef:wgKoPCtsNmjhNQjWP3MhPJepqvn2pJFB	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.184
2018-04-26 09:49:17	40a0ccc475bf615020cb5100ee4bc47d:qLmQ1ZgPWzY65wDlsPQ1D5QwtTkUPizk	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,;	122.146.127.46
2018-04-26 09:50:34	cd1fdbf6176b7fb452f42d4b70fb41ca:MNvBal4ssVezVtOTBDgqueeaWBGxZnUV	Q1:百年觀光新店溪河道再造	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,;	111.71.37.149
2018-04-26 09:51:21	f602fd92a5828d2777baf32f875f025a:2luGkbtjDwKfJpi4YegrB3MzxZzpUeRi	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,住好住滿	,;	39.8.33.63
2018-04-26 09:51:29	83f6b348c95f09a6328ffe880b4cec44:kIPBt3rCz3AN1e18I0kuyWRIddqsym31	Q1:人化交通，樂活中正	,住好住滿	,;	223.136.15.142
2018-04-26 09:51:31	d5b3ade124490f3267c8f0dfca653428:m9HQCjEQdLOcqPq8W3n7PQLC8yIwlczx	Q1:人化交通，樂活中正	,住好住滿	,;	172.29.8.60
2018-04-26 09:52:17	1a766c5af31ec2e27861c9faa848580b:KrZQr8xuvHwpNFW33Q7pQj9YdU0GVMkh	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	111.71.42.131
2018-04-26 09:52:52	d130354391380e59eed10c97b078ebe4:eYrQpZuJg9fdZMQgaZF7FLUPxNzGSOxd	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	111.71.37.149
