2018-04-20 07:32:57	8d392fa17d81d509e9497cd1e617d5af:w51jYkkig6uyo6r6hrc1Y9e18YCCLrYP	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,景美一定行	,興隆市場增掛電梯以便民案	,;	180.177.113.206
2018-04-20 07:34:30	47c5f60e40a96f1cae5af10cfc9804f6:x11ChO08rtq2LrnC3W1K1dzOdxA5roVj	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	1.169.88.193
2018-04-20 08:03:34	c964c4f2557c333bd146ad2e2b01a4d9:5dgKCVPkciHKyNOOT01z5RjxXa123Es2	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	180.204.146.243
2018-04-20 08:10:41	a638d0ea5150c88fa0e2c4aa9a0ce1f4:kCJ2AgiCePgWGaefGxMlmrY9MsG4QOFe	Q1:呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	101.14.85.128
2018-04-20 08:16:51	1e2f48c09a995c53a5b320b3e3f59dd1:yvSt1Osm3ixa2e67UL00WUXAurEIdMv2	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,;	223.138.92.121
2018-04-20 08:19:43	abcbc984bac51ec4b1152cb034233afc:lJw0dp1GQcBpyEIMVurydF84u0ahD7c2	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,;	101.138.148.174
2018-04-20 08:21:52	0dbf29f7f5ec3456dece373ebca93027:9ZLHEgrwPBC1iKuMOOYBSieJn1VxQYyK	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,;	101.138.148.174
2018-04-20 08:22:57	e881b2c3895fb6704f296900177f1acd:zy9ljWz0b7TtdtZUx89Hn91EyOdkKYPy	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,;	101.138.148.174
2018-04-20 08:25:00	66c261f5ee99d8fc4fbb74586eacfb42:Gh0sCz4QyvORyM4JhY2OhYlS1ZYGENzX	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,;	101.138.148.174
2018-04-20 08:27:38	9a759176a3ea76f56d0e1292c5bdec7f:4F5149AW0Tar7QKyHi7POGzpwxB5UIlX	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,;	101.138.148.174
