2018-04-29 08:50:43	16c173898cd1c64ce0fd3d42837f4f15:phcRAQ2oiujMLuKstTWkjl6FuXsZZUs3	Q1:呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	223.140.90.175
2018-04-29 08:53:19	33375f165fd814c79c6620abed8edce6:GyCmvnJiSO88cCrGsvXRZF4VsWCB1bYc	Q1:呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	223.140.90.175
2018-04-29 08:54:52	22b07f957165846f44ee397b0d9f7bc6:hq3fnC4S22kLrnnKekyzULEvE8pmqtLA	Q1:呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	223.140.90.175
2018-04-29 08:56:11	3a693c0b55d3a814cdbbd5d51c4cbeb7:kdfm33QKxlvRduhhNa9wZc8dTr60DA5W	Q1:呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	223.140.90.175
2018-04-29 08:59:46	a40bbbb8fc02a616f5ce0bc127b06280:zGNIYSP2mrpHiorcn5GB4PlZXs2LqXnJ	Q1:呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	223.140.90.175
2018-04-29 09:01:04	5147ad05185515aa6e51d47f288e6871:BtIU6lipNwJPn295QeNvqTCZB8I0rQvg	Q1:呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	223.140.90.175
2018-04-29 09:02:23	1250e7863ed5c05cae8c5263575f3540:iZxYrA5JKY2Gpw2p30801EopmodztHtF	Q1:呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	223.140.90.175
2018-04-29 09:03:40	d053c7c34609a20e404632d303ef9135:m2hKcRcKRyzgPz56w9YYPNr9rbIbJPM4	Q1:呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	223.140.90.175
2018-04-29 09:07:11	c8794439ca9fd48f82d8bb14588cec63:LdW0JQkkZE90PCcjMVZluiNlh3c98Nqi	Q1:呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	223.140.90.175
2018-04-29 09:08:36	a7999777dd62650a05eaf7340924857b:ajVOkthjllXcSS6UDrvnsoRbA2Glf8OF	Q1:呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	223.140.90.175
2018-04-29 09:11:36	60e383bf6118e0e9b17fe5950023cbe7:t89SDDUUdHXWYnFOq3AchYOzy66VNXkP	Q1:呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	223.140.90.175
2018-04-29 09:13:22	e722c1aafe683f8706934823242d0a7b:GkjTJzEqMHgxctrTT9R5n7imZNa0GIt7	Q1:呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	223.140.90.175
2018-04-29 09:15:05	a4471f49d9b2b244c1db1949249fa500:M1nc3yFYS2q5AvLZgnEo0xhzSrol54E4	Q1:呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	223.140.90.175
2018-04-29 09:16:19	18841ad061715415301bc28d5b97a4c4:wsJORM8MJAZ51bCZWxZXs8wj8eWGo2r4	Q1:呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	223.140.90.175
2018-04-29 09:17:33	c7ccbaf224189b014976cd091e119837:XVB1XrQQJNNsU9sYV4iW3shwG3abBnoo	Q1:呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	223.140.90.175
2018-04-29 09:18:15	f4cd55a435b24c99ebad812cb03472d7:SWqg4Nsxyiji6WDjxVb9k6pUTUlzKHyN	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,興隆市場增掛電梯以便民案	,;	101.15.41.89
2018-04-29 09:18:45	a0b7faa379f1d5de17f9a9ad21b2bb1f:Gm2yrAb85oNcL1qfGxDUn6SnwQcosTP5	Q1:呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	223.140.90.175
2018-04-29 09:19:48	136f58cc3ecbd2de5ee9be277bb0a7da:trYxaSu1nwvyluO7fhy81d5Zwt8rINfK	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,;	101.15.41.89
2018-04-29 09:20:07	e24928e4b26364cff96f785387bb6720:7oT007qIzkrwPpDHlxKCv2RIadFbboDD	Q1:呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	223.140.90.175
2018-04-29 09:21:06	e96748fdec94ecf1edd68505d648dd5b:OPRowUrYlipAywAWnbspoSC9emvsFI7A	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,;	101.15.41.89
2018-04-29 09:21:24	e228c49cf4a7998f079368f08a6d1410:8Utmg1MFs4ZDPCqgsxOuyCTNsuUyk73Q	Q1:呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	223.140.90.175
2018-04-29 09:22:35	2c4a6d28f3eb1dff4a136ecaffb49ad6:sHvK9nflIbnFQpSh8KWq9d6C6kZRu23L	Q1:呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	223.140.90.175
2018-04-29 09:23:18	28bc571e3781c46afd7c9548744499b8:qmColMQI9LD33kLel4JJO2kFcmNR5D1T	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,;	101.15.41.89
2018-04-29 09:23:40	e90ca127e6e74e2785118a0e242c3a3d:v7LM07DQwz9NZ9tFkCInCgsShc498NLe	Q1:呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	223.140.90.175
2018-04-29 09:25:02	ff31bab2b846dfa2b2329eb90ab897f9:8eydVEI8b7BrKJFwwE6E81GJttlGgRpS	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,;	101.15.41.89
2018-04-29 09:25:13	c6ad880e93f9eb28e564b3ac0bf7014d:CtXYFXphYGHWYq9AYvqnj8SbAEO49jSJ	Q1:呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	223.140.90.175
2018-04-29 09:26:39	fa470b50eb4d830119f8e9a40afb86b2:gNGwRUYMhqttAzlRi7aY53XvRh0g060J	Q1:呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	223.140.90.175
2018-04-29 09:27:22	a38e95b16b0ae3e1e16c8e8fcc53794d:rNGQxqpYAEGvxd131Uaw1rtoYFmdiGK1	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,;	101.15.41.89
2018-04-29 09:27:48	58b226f0b4b264a29e7687f712abfe34:trlHi6YzyjJDluAb785k8rz3ZorVxHbb	Q1:呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	223.140.90.175
2018-04-29 09:28:59	4d7005b6eed24c0dc2cff2969ca4a557:qMC186IOeeFgx1jgzBHS0u8CTj0ZBKuZ	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,;	101.15.41.89
2018-04-29 09:29:04	34bcf5ff1d490b356000223b2ccfd8e4:k9VubPzYmvkMNfSbyHHqEWUB7iBCXzvo	Q1:呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	223.140.90.175
2018-04-29 09:30:20	2bd5c367b7902c367847800119522d91:tDoVSBGeqO6tPPCXkzO478r9tSWysyIt	Q1:呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	223.140.90.175
2018-04-29 09:31:24	eaed82fc62bbd1e5682e0041d56f9555:PSm14JavHmAc6kyPBK5hL0AShZC15ygD	Q1:呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	223.140.90.175
