2017-07-07 11:12:01	fdc82e5a0a44a78334d2fc956e616f07:mYEs7atbVMNy6DJLJ64s5lUlLvwreNtu	Q1:公館藝文特區,展現寶藏巖風華-文化聖地，再現風華,老人幼兒照護,騎鐵馬遊中正,交通觀光不光光-軟硬兼施卡夕在,;	172.29.8.204
2017-07-07 11:14:16	c798e6c5285e7c535c3f6ada633ebfc8:6rHOORowLp8wS5eNzJ3hubWl4YkbugDL	Q1:公館藝文特區,老人幼兒照護,騎鐵馬遊中正,;	1.162.67.37
2017-07-07 11:16:22	b449972ad5817ab9aa51bd77b989abc8:Qu1UqVFxTYusyEk6Cz1XgXBKphe1011D	Q1:公館藝文特區,老人幼兒照護,騎鐵馬遊中正,;	1.163.102.134
2017-07-07 11:20:50	677e2ff5e817700f8d61f2fe4dbbd5f8:01eHOQSXZnFIbpac2THUasWoPdm5vDFG	Q1:公館藝文特區,展現寶藏巖風華-文化聖地，再現風華,老人幼兒照護,;	10.254.248.169
2017-07-07 11:22:43	328c1a3bafdf135c226562211286570e:eHN2dtnSSaeWg0eln29XPULc0Rq3QhxY	Q1:公館藝文特區,老人幼兒照護,騎鐵馬遊中正,;	172.28.32.103
2017-07-07 11:25:34	cd60664f6720934f2b1a844c09db4132:l9tQgNmK47aIafw0WWNQFOE0CdrfgpGv	Q1:老人幼兒照護,騎鐵馬遊中正,交通觀光不光光-軟硬兼施卡夕在,;	223.137.134.93
2017-07-07 11:25:51	1965640561ac1751a1a129a97105a767:66jz78mZimHuL3RRqrIre4fT5IhBbsqm	Q1:公館藝文特區,老人幼兒照護,交通觀光不光光-軟硬兼施卡夕在,;	172.29.8.137
2017-07-07 11:32:30	467620f31178d0bd84e12572b2a43191:lpiG436PrZaqGhRiXlQFfPmjZynOvZwF	Q1:公館藝文特區,展現寶藏巖風華-文化聖地，再現風華,老人幼兒照護,騎鐵馬遊中正,交通觀光不光光-軟硬兼施卡夕在,;	10.254.248.169
2017-07-07 11:40:26	9908d1ff079e9067f7e5b2bd84916dd2:xjLx51W3T2Ekv5bTbtodoySd4irUnWX9	Q1:公館藝文特區,展現寶藏巖風華-文化聖地，再現風華,老人幼兒照護,騎鐵馬遊中正,交通觀光不光光-軟硬兼施卡夕在,;	172.29.8.204
2017-07-07 11:49:28	816ddd27b470f8c673f8c90e6e5f34b6:s7bFZt15PkT3EkJ37mB5rvqlkonVo1Zk	Q1:公館藝文特區,展現寶藏巖風華-文化聖地，再現風華,老人幼兒照護,騎鐵馬遊中正,交通觀光不光光-軟硬兼施卡夕在,;	172.29.8.184
2017-07-07 11:57:42	fcb1c367b785a013d0f4497ccdeb922c:e38JbSrXVHOEE6CzPzviIvhWOwXLxnHT	Q1:公館藝文特區,老人幼兒照護,騎鐵馬遊中正,;	114.136.46.111
2017-07-07 12:04:38	d7e47e4d55a0751518992743a198324c:sA0qxrUU67lfjgyZBVqWka2MM9aQMT2Z	Q1:公館藝文特區,老人幼兒照護,騎鐵馬遊中正,交通觀光不光光-軟硬兼施卡夕在,;	114.136.188.230
2017-07-07 12:25:09	23f4f737f366a098dd0db7dd1ae7a3e9:5FAArauIRQLKLS1VGMBwmaR7ecnIg37l	Q1:老人幼兒照護,騎鐵馬遊中正,交通觀光不光光-軟硬兼施卡夕在,;	39.9.235.180
2017-07-07 12:40:23	3ca52b53db292434fe255e5272ad04c3:3GEJtq6krr2R5khVfihNAbltmOGddjI3	Q1:公館藝文特區,展現寶藏巖風華-文化聖地，再現風華,老人幼兒照護,騎鐵馬遊中正,交通觀光不光光-軟硬兼施卡夕在,;	60.250.101.202
2017-07-07 13:08:01	bce09e9529764e1060c10f5d9170db75:TnBfZlmdlvyQNfSnFX9knIbLU1gMM7Wa	Q1:公館藝文特區,展現寶藏巖風華-文化聖地，再現風華,老人幼兒照護,騎鐵馬遊中正,交通觀光不光光-軟硬兼施卡夕在,;	10.4.9.60
2017-07-07 13:15:29	662c93b51cc85499c387ffdda56d03f1:E1y8dUbOGzmegfwFG52bJzXuIxa5EMjk	Q1:公館藝文特區,老人幼兒照護,交通觀光不光光-軟硬兼施卡夕在,;	172.29.8.137
2017-07-07 13:18:14	09004eca53ee46beafd6f51deef6a047:LKsoMOV8zf2spiMRxC6dImFzw6S23Z9b	Q1:老人幼兒照護,騎鐵馬遊中正,交通觀光不光光-軟硬兼施卡夕在,;	172.29.8.137
2017-07-07 13:19:42	f69ceb46d041cb76851d7507b8402aca:g3RN8fldCffurTcIJwdfyLosTYG8hGbs	Q1:公館藝文特區,展現寶藏巖風華-文化聖地，再現風華,老人幼兒照護,;	1.171.41.181
2017-07-07 13:20:15	550c0cc85dcfe8aca911d1ebb6185c89:gEeZ9eMDxfgVynUZuHXIPhIlwA9nlzD0	Q1:公館藝文特區,老人幼兒照護,騎鐵馬遊中正,;	172.29.8.137
2017-07-07 13:35:05	a3495ad059768b39591e50931db83a85:mNuxWPP5Cwh6BakpOsD8beqsqCDp7saY	Q1:公館藝文特區,展現寶藏巖風華-文化聖地，再現風華,老人幼兒照護,騎鐵馬遊中正,交通觀光不光光-軟硬兼施卡夕在,;	172.29.8.186
2017-07-07 13:37:10	42f987ad616391286da38e939a46e632:ptGkl8jp64cQdMGgToaiRRXXOIi8qTaR	Q1:公館藝文特區,展現寶藏巖風華-文化聖地，再現風華,老人幼兒照護,騎鐵馬遊中正,;	10.254.248.169
2017-07-07 13:38:53	0c3bc869fbb313f63619be3d4f9537eb:zKQDzdJCmFAff26SwvuFG7nuyfqn9CrV	Q1:公館藝文特區,老人幼兒照護,騎鐵馬遊中正,;	172.29.8.137
2017-07-07 13:41:29	b0156894a5deb547e05738a2a6582eaa:Vl9p8CJeF5XQrb6CezQnreIzVPXwgC3C	Q1:公館藝文特區,老人幼兒照護,騎鐵馬遊中正,;	172.29.8.137
2017-07-07 13:45:03	c1c02f72bf27512fe9c21031dc5964af:x15Yue6v6TyL7PSYb0mu4woYLvAXgFJ6	Q1:老人幼兒照護,騎鐵馬遊中正,交通觀光不光光-軟硬兼施卡夕在,;	1.160.39.237
2017-07-07 13:50:18	499d1c74bf4dfd154d6e2709cbddc13d:JxXOidoDkEk1CG1yb3wOmBspu5uJQtjv	Q1:展現寶藏巖風華-文化聖地，再現風華,老人幼兒照護,騎鐵馬遊中正,;	172.18.89.187
2017-07-07 13:52:25	1dad887e404c9ce9164897d9f7664c1b:3cnihFkBqZefZyjlbCXGOZt4aH0v6rk7	Q1:展現寶藏巖風華-文化聖地，再現風華,老人幼兒照護,騎鐵馬遊中正,;	172.18.89.187
