2018-04-21 11:36:54	e281e2e5b7f9c21ffe492fa19f932c5c:Nise9g47p3CummtM7TODk339Yx6cK1W1	Q1:軍人公墓景觀活化,南港區公用WIFI增設	,;	101.9.146.126
2018-04-21 11:37:18	b04ad54f3f7f8510aafd0f2f95b2963f:950ye2sRSV3tV93ZeqIhzJLHRTBhBoWc	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	101.13.34.124
2018-04-21 11:40:07	3824c6984158815b7f226b37707b9c17:KybSQ51NDSrzzNDhWt6YdIKvGVXRjcsY	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	42.77.129.225
2018-04-21 11:40:25	a91239f1cbd3aa12f773cbbdfccd0ee1:kBcaEwrCwbMSTXAit43efV01CS5lPN0N	Q1:軍人公墓景觀活化,南港區公用WIFI增設	,;	101.9.146.126
2018-04-21 11:57:15	66d446e6d46aa5464110394bec3a7b01:X2o6SURHTVOUmTWJdwAHI5V2X1kPcUns	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	59.115.33.220
2018-04-21 11:59:34	90ee27177ad732f67583a4434c3ccd4a:iXyvWAQvwmCdPp2krY9OmDkiwv20SWyC	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	101.13.34.124
2018-04-21 12:02:34	c817c9a0f7341f3ec779ee40ae755a61:1P0fBOCo7NIj28MxqTcrhkbOAS3NIHZq	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	59.115.33.220
2018-04-21 12:05:55	59509ac1a4e68cdc50bf788984b40413:l8yByESIFo5CFqJcG8MUSPgNUqqcDaWG	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	101.13.34.124
2018-04-21 12:06:12	d9445afa97509a32a3eff0c4b75b289a:mynfVuaZYtrl3J70JzAr2o58NZNDIpZB	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	59.115.33.220
2018-04-21 12:09:04	d52c24d00bb6b8e2be0420ea0dc9f34f:U8Q9SsZD3q4ZoVL6nLMxgyDRyUsRsC3w	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	59.115.33.220
2018-04-21 12:10:12	0333f97ac30dcc3807da894da5ccfd4f:UW0zpgBDz2o1AZXmfkuYwNC1dYnPgtWQ	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,;	101.13.34.124
2018-04-21 12:11:40	4b612c070cab3bd1b04f6879a901cac5:MfgARW4YmnbQ5P0pY2QvylRUczviNa1H	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	101.9.146.126
2018-04-21 12:12:19	454e798e64affe74cf1a14c339c93544:FQuADQ5GknQ8z3ULdRwhGXi897xGxbo6	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	59.115.33.220
2018-04-21 12:12:25	2309339b2d5aa20042ef68e989a738b8:qKOD7KaCGMVYrfPjEKywg3UrDST3cjsI	Q1:軍人公墓景觀活化,南港區公用WIFI增設	,;	101.13.34.124
2018-04-21 12:22:44	fca212acf443cdc75b765e36f0d23aed:nDQZQEJchCfi9emjVN4xapzAHja82VVt	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	59.115.33.220
2018-04-21 12:45:01	fec3683b29adf0b0f1f2ad14a534db88:l8ciJ6Gmazs2caCJMr1YBsKlqvODY9LE	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	59.115.33.220
2018-04-21 12:54:00	a5a3e4ab11e46fa411ac61f27c238893:vKlsSkg2p9zqWgvGeV4u3vQucFxIwb7O	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	59.115.33.220
2018-04-21 13:02:22	08e2a783ee3d3d5d889233875bd5cc41:YyPjkctdswmLmNUphpAMrxTW3EtdA2O4	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	27.52.36.39
2018-04-21 13:09:39	03fc9b994526bad1bec9d46e6da83704:FMzoHRMKe6TzycdkJ33n7pzhtkTIxYrV	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	101.13.34.124
2018-04-21 15:13:02	771c8476796967ad5eea3d3f6f09c63c:moJgtDP7AgPCklvjBz8NrEjysz6Qobjh	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,;	118.169.188.12
2018-04-21 15:36:22	45c15bb5212b8686313ba626129a0650:kpBeqbtMwno1EwGJuG0BROrAvLnwyTgl	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.175
2018-04-21 15:51:24	3f4b6d49cde933a072c1af34dfe27399:RdkSlDwge5OVeeJMrA1oa5ZKaM5ZL73a	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	39.12.231.241
2018-04-21 15:53:28	4aabfbc52a18668a344878e36155bad5:TYwcSoJ2bNO8FLVCf4TEDNq7bWEJk4Wm	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	115.82.17.128
