2018-04-23 07:41:14	0b201899872687bb3588eee020cc482c:h1aQ4y1uCPiOH3LoBlloeSC1FMrNsXvk	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	220.141.70.191
2018-04-23 07:48:21	c7cbd3e95d48b18e4389032aacfca1db:uVwPOwv5JyzvweZOYETXAMRZQUbgAUma	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	172.28.16.213
2018-04-23 08:25:08	219a157890413c67747cf3fd33b63df7:3OTRs03RuwUcaa3ZtzBGKo7fmoTdSMyp	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	172.28.16.213
2018-04-23 08:26:03	e5969a214537efdfb13c06b56b0c6717:1x3QrWrmtzaH0My9EkWRFxmJXx59fHfk	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	172.28.16.213
2018-04-23 08:36:01	20b3918aaef5d01ce507752f94dbf1f5:99JuonjviMGKTEefftuTR3XrSodU9CIz	Q1:安養平民化	,米煮的大安區：食堂交流	,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,;	117.56.49.122
2018-04-23 08:43:47	2006c784203a21dcbaaae58b9af8f06b:b2G6fg6cfZ5mVnR69BvtATkurNnCkacy	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,風華再現通化商圈	,福州山觀景秘徑	,;	117.56.49.122
2018-04-23 08:46:47	102e0c27f59c9f0515a8683c8228a7a4:yOT64fUOp9EvxzO3HQ7TFPWRaXVnA5K9	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	117.56.49.126
2018-04-23 08:47:40	077e95119d9479e8cc5377395a185c86:YnHZMtFe7m590Dr6KdCgEr49nTOM4unb	Q1:安養平民化	,綠能台北－由腳做起	,安全大安，美麗未來	,風華再現通化商圈	,;	117.56.49.122
2018-04-23 08:53:55	90543683eb99c75b401ffc8fa000013a:JevtYbSmdaorVC9AnSb3vuaRVBVusnhk	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	172.28.16.213
2018-04-23 08:54:37	473e0a1fdc22a1d061a04fdb7312ffaf:M68FZ3Yxb1PkJefEAuh0gOMCrK96dhej	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	172.28.16.213
