2018-04-29 07:28:27	6ac0b576a63175f55b87d70ee6986b3e:GHw2nCLNed9JlqIq7rjTmKRTeZ2OOusK	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	223.136.232.224
2018-04-29 07:48:36	0fb17be39ff44d2287f88270a108e95a:E8fbeVscZNb3vfevFXsMDdjQutigiUJ6	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	101.15.32.152
2018-04-29 07:51:28	003e81ded9794a0a52531e183268f8c7:NQEcxCSFZwqclU3SaXPAXlVZs5Aos0O5	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	101.15.32.152
2018-04-29 09:19:44	d12a7518c1ffca123e67088dcf748916:ffTzZC8uEjzvc5ShA12asZ8W7DHBZKAm	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,;	111.250.68.221
2018-04-29 09:33:11	dd48957430c4c73559b22c7652a22558:fjHJJPWZlEKgEqqiKOUad1sAV0ezlfuW	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	39.10.133.29
2018-04-29 13:17:25	6ccc3b8080fea84703b608011e809a83:K98M3L1NrapCDUNVn8586CAcbiJVgnEk	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	223.136.232.224
2018-04-29 13:18:45	f5ed2950d0fa5afb21d75190effcfb72:rtVt2yYeUC2PLBGbpTVOkfMxbLVg6GIA	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	223.136.232.224
2018-04-29 13:19:54	4430e24fddf125072c09fbe4c697705e:6P6OjL9plz6zPYmpcttMXzZ5wUNC0Olo	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	223.136.232.224
2018-04-29 13:21:15	f8a4d1e8ca8b51762fdd66a1ced971b2:vOKyn4D1vKWMfFpI2yCpFuBoiy5njqfA	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	223.136.232.224
2018-04-29 13:22:35	5368ee241f165a938df579af5f048827:fuXq7XW7o9w7Bko7TEkdeihDg5ABopLX	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	223.136.232.224
