2018-04-17 10:32:11	0963df661be69b00f3dc1e5f2b64ac5b:wlD7MK6iCKCNOVM7DgVtOQRzXw2zF4ip	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	172.29.16.141
2018-04-17 10:32:30	375dd764d88c5988bd66f7080541ebc6:QfOvUgwmmZA8ls3e8pdivCSZGVWO3Cum	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	42.77.135.180
2018-04-17 10:32:46	e22d4027eb4d5ed29a959bac64e87fee:BsrRTHuFFCUvC56dhEyidDDlea8ZF0UV	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	103.31.196.193
2018-04-17 10:34:08	67b333346c3cdc00c37b15e786cd693f:QKag7uspAJXBSQKgPXztF3K84TNFDqTS	Q1:活化青年公園,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,;	172.29.16.198
2018-04-17 10:34:50	ff781603238ffab5b53013df69a9b576:hLrpIZcVnDD4c5kUUBs28WyZLj4T5hhS	Q1:活化青年公園,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	103.31.196.193
2018-04-17 10:35:13	a75d400c4e5081f0e55259cb2741e550:HFu7ffq3dRcKgt9XbffYe5HOAGQBntSp	Q1:活化青年公園,艋舺服飾商圈	,艋舺文化美食趣GOGO讚	,;	114.136.92.233
2018-04-17 10:35:31	8f6e713f4e19733779dcd899acc00986:aNObIKrVn7kxXs6pvDLgMaUMHCme2Vkr	Q1:活化青年公園,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	103.31.196.193
2018-04-17 10:35:52	51f01fd54ae261521f5bc6a4ab69ccc1:vxAfI6o1QJCJUkGUuJDHG45To9GOgRAR	Q1:活化青年公園,艋舺服飾商圈	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	172.29.16.198
2018-04-17 10:36:19	3fd63d5bc0aa9533f97792732d77aac9:j1za00txcA91rZYaYucs4v0MSSErd503	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	223.136.142.117
2018-04-17 10:36:44	8514ef6f74dae93893a2f6b8b55313e1:KhEf5RnmDmWjxhQ5BnBIRv6oeufrglJm	Q1:活化青年公園,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	111.82.220.86
2018-04-17 10:36:49	66ba0c714965a7e345c55368857b7941:NQbFJAn4xedUM6JsOUTQPP3IgSGhdKa0	Q1:活化青年公園,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.137.155.208
2018-04-17 10:37:20	0300b02cdbeed376ff3f0626489c2a4c:pKK5yMnhDJcxZcnr27redqlhjAZSzhe9	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	172.29.16.90
2018-04-17 10:37:21	98f4b32d94c777de0f9476068b194152:bdej8u5BArx9RACdIXv0HLdtpnLb3LZJ	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	103.31.196.193
2018-04-17 10:38:21	454a0aa3b87d498a96a59c8299a27ac8:V0nGkPVEAuXMoFv9ycNNQW85xs3ps26I	Q1:活化青年公園,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	172.29.16.198
2018-04-17 10:39:46	7eb7b5e8396e7170da3f46a497985fcd:PJt73Yh2BBs3R5U1acKxE6pOmZRyvBLR	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	172.29.17.57
2018-04-17 10:41:29	f800fea5deff641bc2bc406b372d52ab:i0OWAGaIOBONb44LGTYfkIVFVwsFXKAF	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,;	172.29.16.198
2018-04-17 10:41:36	a511e0c23fe0f610800c7fd51ed9b499:G1xGoN7t1uB5Pj6TTgoXwo89O2KRpXYL	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.137.149.102
2018-04-17 10:42:43	899874925a6265078d59166a02a48704:qhjWnEphGoJhk4OMVNJ82yKoY906yn88	Q1:活化青年公園,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,;	114.136.196.139
