2018-04-26 09:35:25	b59801bf3a272b9fabdfb6a0d15dc82a:J0V2hmU4hIbTWPjav6Kk2p3hje31hao5	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	101.12.209.117
2018-04-26 09:36:09	ad4add6dfcc527a5ac7d309acb1c471d:5pFhYXnnW8vheadSdhPf8a00rPDDF18W	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.193
2018-04-26 09:36:28	2c2e39f0585cbdbd4e9c711a5e44b391:Cdow6pFrypApZCvjQDqFDsE4IEIM3S9Q	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	223.137.33.162
2018-04-26 09:37:10	0bbf65f285357fb706c1eeefaa386fc3:tgI4irsCj31IfvVSzYU12aCU0KTXsE8B	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.193
2018-04-26 09:37:32	ecd09f5c2b6d31b62f0483d6b59264f9:Bs1xoA1KKiLSHnxErkULAdCleebV6DMg	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	114.25.216.142
2018-04-26 09:37:40	06e85b2bb6581ec7ab40f84e48debe66:PMSUs3ls4DXZjUXJnr7oV77KoqC0JZ0u	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	180.217.150.127
2018-04-26 09:38:05	e035b735fd69ab7ce2d83d1c0aa79a75:acvzFkPjosOnWCFP5MR9i8rcp80NVuBb	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	223.140.107.253
2018-04-26 09:38:08	065e65dabbf631ac775f7b03c8d750c4:4OQT1JmhONXLOczvQP8FYaVW1FabwtLl	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	101.13.64.76
2018-04-26 09:38:17	4bf1764c0839eecec19defc74e0e06ac:Mqj7KpBNkLaO0p79g9u1Lz5grO0Mmmlh	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.193
2018-04-26 09:38:19	571d9d404b1c5b05dfc215b941833ea6:vTePzQcmsIWrtc2JVlao9RJk1MKXzMPw	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	114.25.216.142
