2018-04-17 09:37:06	d545665d51de3a198abf0f0c5babc87c:u30n3z5KPXejQQZIRUeG6lF1NIn3rkyX	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	103.226.214.250
2018-04-17 09:37:21	4136b00c52b578f3bb2b3d93ef0d1866:9vkrnNM2wzy4YwFidhJ1MnNr1tjsrnZp	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	172.29.180.47
2018-04-17 09:38:19	e655e7a8308b843fb617630828e25807:MELWKBFLLwFDU63emgmMVhc4y7V1RXee	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	103.226.214.250
2018-04-17 09:40:08	7568b163849c6acfed4dcdee7040a8b0:iJQTSSbT1yGL7Vho8nuRPloI4FVbtoCC	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	103.226.214.250
2018-04-17 09:40:54	e41e86c3e3e084ba40528c857170ebdc:bApDOg4bwlq1NM0KU0hyMbo1CM9stcZe	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	172.18.87.39
2018-04-17 09:41:45	994a2cc19d927aebd1011880469b822e:sgmoo8SaVSNEY2CSSTLL1yjOlrxR7LhC	Q1:康樂區民活動中心外牆美化	,蝶會在自強公園	,;	223.139.106.173
2018-04-17 09:42:18	7dfa34f35f4cda3cc4526dca8540dd25:LcHWotNsY2JkshtoU0IVDsIkJ8WJAxZR	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	103.226.214.250
2018-04-17 09:43:02	3387013ec2eb850e53f80718685f309b:MzLVFcu1H27XOPZ80vcyGFrToIfsORw1	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	103.226.214.250
2018-04-17 09:43:12	fd43c4388ddf4f818d72ca62c30b1df8:xZwRZA3xE0ICLzvzRu7XSsxsEZ2BBgi8	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	223.140.30.173
2018-04-17 09:43:57	6bea2c9068acfc19975db6194d05685f:m9nsPTskW678PjGp3MSQ9XwH1X2FYPii	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	172.18.87.39
2018-04-17 09:44:49	3a49a78cf2b878f8d41667e98d30c04a:qrtF9drNbBjlwpu4Ej5ZAggwhnsz4swf	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	172.29.180.47
2018-04-17 09:45:20	794b417628ec0b20d2f36c55000c8a5b:zLJLbxXTK3fgNL5M5XskHEJabfhIaHvX	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	172.29.180.119
2018-04-17 09:46:06	07c051a4f72975f2e7961b5d39b731b2:j5mSHNkHKAGraD3hS21vdIxN5veVjpcJ	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	172.18.87.39
2018-04-17 09:46:47	32b7968c67d11e97ab68dde087c9371f:LAooZWXvRq3sJStmx3kumm5wmX5bBmBt	Q1:認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	172.29.177.58
2018-04-17 09:47:37	02c81140f9ac8a89ee50354dc611c6cb:FKZ7i66CdnqwJ54iHyrlSw17Ar0giaga	Q1:康樂區民活動中心外牆美化	,蝶會在自強公園	,;	223.136.217.118
2018-04-17 09:47:59	935d12eb23b5c990e8c2052a8b0cd30f:YYi2kP5EvjL1HBkgrnUji0uk8177dUMK	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	103.226.214.250
2018-04-17 09:48:58	3d8ee11d01d61769941474da825750fb:XB4OcoQvArzwc39FmPXXLjnJQLVgrFx6	Q1:康樂區民活動中心外牆美化	,蝶會在自強公園	,;	223.139.106.173
2018-04-17 09:49:04	f3d15dda4fe5ebf1b513a95357852eea:0IG0T4cUHJ0iaEtRPzaAfTL9FuSmhXNI	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	172.18.87.39
2018-04-17 09:51:15	8082d28d801ffa40ab43d0a3fdca88df:4bnNH0NTZfzeIXq6L8SUKYSV1bgqwKHu	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	172.18.87.39
2018-04-17 09:51:39	2ee2138c83a369201716113b80a74b2e:OD8aOPGModGIIKAMwSgYdnnfjohynp6P	Q1:認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	172.29.180.47
2018-04-17 09:52:18	556d09def80f4783c7994dd742372907:TBs2bvEms1ugau3PyuK1Vf9Bd7tneeEl	Q1:認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	223.139.106.173
2018-04-17 09:52:26	26f8184e2420819d26c788bcdb1bdefe:wKDaDmNZGXGG1YGKDdzwDM1i5L1hHLQ5	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	42.70.80.68
2018-04-17 09:53:43	eaf647c1690915d14c913dfe8141e810:1WrEHKkz8DY5YtgbeSVuMjaMQEuySnx3	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	172.18.87.39
2018-04-17 09:55:14	eb8fe8da69783c3fde933910b651fe7e:jiUjpIdGm47hbnWfjwiomcGSeLzr8jTE	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	103.226.214.250
2018-04-17 09:56:25	35fc9ed8157483c4dc5ed97e1d453f08:xNvhcHH4g4MlZ5rouGIF6265dUlA7VZw	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	172.18.87.39
2018-04-17 09:58:30	8b8b8baf21c0aa25be13d2583b40e8bc:qGrWh4JAHXhW0e17AW1qcRvaL80t57M4	Q1:認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	223.139.106.173
2018-04-17 09:58:48	68a1948935dd44b07c45c809e0d55618:5MMd7raPiARHObLfY4cLbyqH1XQToz5U	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	172.18.87.39
2018-04-17 09:59:11	13017d9e47a1a5f3d7863df906bb0212:XnioeFr59qBVXjEiYjW13NQLWhUg6ad2	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	172.29.177.25
2018-04-17 10:00:00	d7a1fb4b0c03bab4c342aec2eb005b44:5OxULUE99fyq3G0pHU1HNkkYVtTgZsv6	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	172.29.180.47
2018-04-17 10:01:05	e1740b713ab3e72bfe45ebb16080ee71:BEQ7K5p4zQ8Wd7aPuSJirFmicrQickLI	Q1:認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	172.29.177.175
2018-04-17 10:01:12	9742ea1e747f29f9eeb8a53bc13deefe:pM6M3MYhM6PfUvioYloFJtDQTJxLcRAQ	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	172.18.87.39
2018-04-17 10:02:14	95c7d1a02665dc8540e5da4cb38a54b7:c8EJmUPdxHcRGx5RqzNx4z4MnQrtbqGt	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	103.226.214.250
2018-04-17 10:03:32	0df1b4db5271d9fa5af21bc3746f0edf:oLpGokBS3FmpNsZBGXbbrdkJfM6q4Ucx	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	103.226.214.250
2018-04-17 10:04:39	5362efd3329f124168bb4143fbfbda64:LLHMUbPvndWgLWThl8qgR5p1V594YxzD	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	223.136.170.143
2018-04-17 10:04:59	49896e3c7fc76c84fe531f3ce6ce4b2a:HU2aLwAHyhF8KiLJnkplKuNVzm1ihek7	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	172.18.87.39
2018-04-17 10:05:19	1c73e1a9cf59bb4e6bcc88d080e7b38c:3I1SIZGokvdf0rIM9RODrOrz2bKRwBru	Q1:認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	223.136.164.222
2018-04-17 10:07:09	c5bfbea5d63f20c82aa6b2ad4460a76e:rbeewoUZQqerHMLW7HLppt5hTqM0mZEF	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	103.226.214.250
2018-04-17 10:07:15	1088ec4f6a00f41f1dae52ea2da7db20:49qPW6kdy9FOylbHI7CqEQG3Av2s4PMS	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	172.18.87.39
2018-04-17 10:07:38	881a747f806d84181da72636f925d92f:PHcGMHiISBLS2eLK1c6bdw3RziVWY4l6	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	172.29.177.147
2018-04-17 10:09:42	9d837fb1e953a5ce248b50bd2d2f2c53:lp1dB3gK4bbsdiF13o7k5YL8fBOyJRBp	Q1:認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	223.136.52.228
2018-04-17 10:12:08	47d6a6545bb617c2aec2ccfae9653955:5yDP5H13J8nIPaP4LqA0zF57ormpSoPM	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	172.18.87.39
2018-04-17 10:12:10	60a7fdee7871f80a44e1f424f507de7e:QUOHrOUdZA0KgBDHXkvRJQygPICYdOjG	Q1:認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	101.9.153.116
2018-04-17 10:12:25	bc20083a97802ffd6aa2b8c739e3c111:r9gF32Zdgo0Bt8AtiM0sJ6tXHXKuhGPf	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	103.226.214.250
2018-04-17 10:14:32	4ba287fe5b307eae1f6cdfed7d1b124f:F3g3exvs62peTj8eC5hP9L5CF79vRPPO	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	172.29.180.47
2018-04-17 10:15:06	e0dba76314debf83f7965445c562267b:k8iIeaw7bbSgYbNOGJDA70hQaD9dSxsh	Q1:康樂區民活動中心外牆美化	,蝶會在自強公園	,;	101.12.224.19
2018-04-17 10:15:29	8a831e776544beb7144949704b520568:WDKd2p0YpgWwFiw0QSUR5ou8Jbg0tfR6	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	172.18.87.39
2018-04-17 10:15:52	07f0d4942c54d9f987a948196b3178ea:z2jq1STAcC2S2c63TpsJm9bowKGxLUmc	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	103.226.214.250
2018-04-17 10:18:49	cf7ed6197a26c4ca60dc1f3eed864750:sTagTW38TU2agq9NrJFig9pmNHwhe983	Q1:認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	103.226.214.250
2018-04-17 10:20:09	b2ba479087c8f455bf48dbb41232a266:rtAEyN476wm8zuRuJXN57nU15AQ0X8bo	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	103.226.214.250
2018-04-17 10:20:10	3e31885427c00035b8a5a46496f0b201:2W7uR1cEgqgt2QHGRt3wr3go8SmBoZr3	Q1:認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	114.136.49.178
2018-04-17 10:20:36	026712985e618ab6d67d7c9ec5c97376:lA2ewVeyUJqU09Bm7a60fkg0RQQZvvWs	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	10.5.4.20
2018-04-17 10:20:59	b59df787e465d8857661bf623260371b:uEeLbK6hvIYfUZTf2PlVAG5ymtiaII5M	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	172.18.87.39
2018-04-17 10:21:55	03f894b86ecb79cd0a0c773afd179004:fC9a1rcIlHPW22vtkvlNs0Vy02hKfFho	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	172.29.177.12
2018-04-17 10:22:39	b67f6ef2fc7afbbd08212a6cf7ee99d6:WllsRf03cZbfuUOQDzDGq1pEhY4mBHBQ	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	103.226.214.250
2018-04-17 10:24:48	7cce30aa3bc6eec1f12ae33cf94a29d7:xouLwbxKMyFsHatJ8JoSlZsSXwoLqiRX	Q1:認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	114.136.49.178
2018-04-17 10:24:51	267eda1f92d28a7c0c83bad0eaf79359:044HfunMX0L88wXOy6ZyCBEXi8UnVswy	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	103.226.214.250
2018-04-17 10:25:36	c204029d8006a65d43e13f5fe3bff9c0:WUlCPJplrQG0p5toXiVKnXRbqXm047ji	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	172.18.87.39
2018-04-17 10:26:36	513693e35e484c2416d70a9e2c4d9233:S3KX7IWUSgUArUPTpvqxlOkXP3FthUSa	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	172.29.177.11
2018-04-17 10:28:44	094ff51f82e584c3b07787a8674a1e51:UwnhbzV3lagktDitrLffFgSfAzyJnRUc	Q1:康樂區民活動中心外牆美化	,蝶會在自強公園	,;	172.18.84.52
2018-04-17 10:29:02	8e9cd3772c84c1ba4472d8c7422fce55:8mlzX3UQ0cZRU5SuCwvMuDsBfgjHvhgH	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	103.226.214.250
2018-04-17 10:31:02	3de03253bc1fc8bb0822d8d285c23f4a:M4xQKO14o6dTD2L97uYt0MwaL7u1EYdJ	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	172.18.87.39
2018-04-17 10:32:54	b9254d756f015392a37d1234d63839b5:ECYiFx4gjPP6HUyo8jDKFzwR7rpbpr6f	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	172.29.177.13
2018-04-17 10:33:13	b22788af9878b6b7503fef68a22fa856:YzVBsfBEEE20SS4oqCYz9x36qE5tufMV	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,;	61.222.195.137
2018-04-17 10:34:14	4a51055c23b3cbcf7733953362d02a4d:7Q99GehPigSm71bDgHsBlt0ZlSbSqGIC	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	172.29.177.98
2018-04-17 10:34:17	52b8fbbd85fecdabc8b2647c719ce652:s3HCZ1iLyasbgLX7fDUwHCPBHvJwo9OS	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	172.18.87.39
2018-04-17 10:35:06	ced477fb90545784396a0aed47d57c9e:VsIlWHOxTiZQnfb0oE6zCeHtKu6j3aM2	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	172.29.177.5
2018-04-17 10:37:17	55e916bff5dcb8d09fe832abb8066d61:piroTUogn1rk5LDRNGbpmbtVrDlBN0lG	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	172.29.177.130
2018-04-17 10:38:35	ad194e87cdde280ad9647faa5da350d9:d4606GsJooeVUYslOeG0ZJ3UjxMHORVd	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	172.18.87.39
2018-04-17 10:39:01	71a8e3ad3a83b15e85635875fc2029cd:iJfdULHmPA82gjiG2csBn981iP6m8gMI	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	172.29.177.5
2018-04-17 10:39:49	3cda6eb400fd45269e2bfd293544a81c:GoeFjMs9KxJ1EfYls2yzIB0h4UqiMT8G	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	172.29.177.58
2018-04-17 10:40:08	ca56ff93e68f917c531384963489b70d:9WNHWwfNADxuSgHTG4PVmvJ2HfhOJBgm	Q1:認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	172.29.177.165
2018-04-17 10:40:15	fd7ec9b480ceb187c4b624bed81b0911:QkYlrcVbvMpqPH5q8ShsBvTLqJt65FBl	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	180.176.98.211
