2018-04-17 11:59:58	510a2d1bef2df3d994b97dd2cb6c37fd:npowLvLZ7EqhgZRTDSTwnxCuSw4ciuCb	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	172.28.67.201
2018-04-17 12:00:31	864152a9cb95a4605f75fe28bba3c98e:6uY23G8OtWrbfVrP6Tldk1ZMpjADRAzu	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	172.28.65.21
2018-04-17 12:01:40	8a68bb1aaa47865810e1b1fe28b02c75:XF3cErjKjoKr4amz18y4SdThWkc9914B	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	172.28.65.21
2018-04-17 12:01:40	32555fb99a7c97405c439804f4fb37a1:AkEIw5BXANvtHW53z23KNdgem3baoJL9	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	103.31.196.193
2018-04-17 12:02:54	79f8ec1714939a1c8b52956d19d31d99:EC1m6cbNtzKEgDycOapf0KpR9CZGXZii	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	114.136.246.76
2018-04-17 12:05:52	cbcdab4b478886bf60dc3e429e155807:cOugRykEifL8MlShhTptUW0hAPczTUQr	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	172.28.67.201
2018-04-17 12:06:36	83031c4d24b793924fd0cc5ce35c4e37:ThDpPhmGlRrQYGIWe2pUcm4UexgPuRwi	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	114.136.246.76
2018-04-17 12:10:02	ae8a1c4b2238ff5b8db329b6c870031f:AvDPYzpYUrZSvGuR2je1kvsGSHSHHv7G	Q1:北投區環境資訊2.0	,;	114.136.89.69
2018-04-17 12:13:15	32035e1cf3490a0cf0fad15cd60a104b:NrmB6KKIweqjqLQxb1Ufby4pFEOnb1YM	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	172.28.67.151
2018-04-17 12:16:53	e9e398093d78fcde7d5e369293edebf0:wkbpxmt9jxKXYtcmGlxsY8PbTiTKigq6	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	114.136.246.76
2018-04-17 12:25:05	0f17328363f7a0e993a405b9381be870:oHrCqjmZjklXZqt9y7owxb8bLa5vtUCR	Q1:北投區環境資訊2.0	,;	61.228.122.229
2018-04-17 12:29:16	876d98b6f52fc4802bd2f0818ab3cf53:hb4DInRZijq9NRC8WRF5HTPaAO0x56ll	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	114.137.16.55
2018-04-17 12:38:20	ca376a3ef110add07eac96002a593930:Qipz1nrwEyTPfRKaCdOVXykEnm61SSAV	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	122.116.23.216
2018-04-17 12:41:04	09fcdf6fced92533fdab4e4fdeb60a4c:fd8AS2CypLoWwYrOLH5szYZbv3erZss1	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	150.116.225.177
2018-04-17 12:54:34	f94af40b0d1d1736f0032a7c84797a5b:eQqaWgIIQYxya9HmgZKRvLQfELDiBfHs	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	172.28.65.13
2018-04-17 12:55:23	31d63a1881e6731be24aa9b85f874114:JxOo89Oz86zFc6pvpfv1SX2QSppV7z8x	Q1:北投區環境資訊2.0	,;	61.222.195.137
2018-04-17 12:56:24	0aadc99a0d7c6197c788b587e57ac0a8:XaUNMdbSelMNDVwBbitvIFcLNL6nd6D4	Q1:北投區環境資訊2.0	,;	61.222.195.137
2018-04-17 13:00:06	cc760701e6d806856c4423f805045c87:8bjIUNguo2swPMTeovbzvMKg0cNjVmza	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	172.28.65.13
2018-04-17 13:05:30	2aff0e0102703d09604363b4297b33a1:PFknNYz3RlDvOQfu6i5OuMG3rlEuIw8Y	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	114.136.6.235
2018-04-17 13:09:20	c355282e04e93189a1fc162cfc9f63bf:tlxOWIPqjATSs5UbiTO8djUVVLR8PXrp	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	39.9.132.210
2018-04-17 13:26:57	fa68328e17237be8ea12eebae2bba1fe:qtRfu7DmC5XnnE04nUb6xhBiiag3ET2q	Q1:北投區環境資訊2.0	,;	101.139.169.97
2018-04-17 13:28:40	329a9d603f2f56c14379f31551c43e54:GrGkdRnYS8fkAYH5i92OU7jv8xKtAbNW	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	172.28.1.50
2018-04-17 13:36:07	1ec4c57fd4353688d40a6a00461042a4:PhtsR0vGWUcC2syzPnNscCreXsdDLuUY	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	114.136.104.9
2018-04-17 13:38:22	ce9ef20fdcdf464231ff241feb45bddd:X2UVefpXYVQX8h7D5x5rxkSgd5eRxYZZ	Q1:北投區環境資訊2.0	,;	114.136.104.9
2018-04-17 13:41:30	806341c0558d93a1cb2a410eec9397ce:7TlCrIQc23P6iwS28GnA8JQ3ld67mqYH	Q1:唭哩岸打石文化,;	172.28.67.105
2018-04-17 13:42:29	fa0099f6242c30a85643d7c8560c7fcc:5LsAqX611lAcq9fSe3gml1gFqTlyBJDn	Q1:唭哩岸打石文化,;	172.28.67.111
2018-04-17 13:43:26	f68995d47874edaceeab0b9bead899f3:GxLam1R0Q2cXa5BPim2NgsldwewHKOnZ	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	101.139.143.80
2018-04-17 13:43:36	b15d4c166be7e2a39f5448df722b328a:mDWNTli2Dz3J4ArgQ4vmJ4Prm0wV6tU7	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	172.28.67.176
2018-04-17 13:44:40	f51e4ac787b0be186b13b21f284216de:Sw1WPJzPE7ICYM1yWnjB30hfrRbMg68W	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	114.136.104.9
2018-04-17 13:45:11	c3419bc232e81f4f4712d6a4b6edbc7c:9yhXliYtyCDqcrbrGBI5fbgtEwDq9zJl	Q1:唭哩岸打石文化,;	101.14.196.136
2018-04-17 13:45:12	422908ecd7c5187b0dd78dd37c475443:mMoT44D0BZHe9lZ3emqy71lUbsI2r46R	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	49.215.214.198
2018-04-17 13:46:24	9ab2af6b65729f4adde42b60481aba73:MzIgwukhdnZvTqFTEwwYqqbkLOXs2uhT	Q1:北投區環境資訊2.0	,;	172.28.67.176
2018-04-17 13:47:45	cfd7f03718bf89370043786054dcb127:igpb56d2pRb4fnM15DEealgc2M29i6qN	Q1:唭哩岸打石文化,;	114.136.104.9
2018-04-17 13:47:56	e79c0d806586c7f0ebb38cbc406d8408:UO2ko8wyiHk1JHt1HppvzrE7U3zhWHV5	Q1:北投區環境資訊2.0	,;	114.136.89.69
2018-04-17 13:49:14	2ab83496418620a7c98276db3fd8c120:PNscYO2zCGre4K2H8hj84BHdwi6rDyPJ	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	114.136.104.9
2018-04-17 13:53:11	c7d5feac10c2083362e103583d5c33c9:t0L2IYql2lxcys0emdwajiJKMMPy6nn3	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	114.136.104.9
2018-04-17 13:53:39	efa313cb17057f4fefedbdcd38e4f6e9:qz6Ok74aPUDTcKqKTS75PCAcD11T38tm	Q1:唭哩岸打石文化,;	114.136.104.9
2018-04-17 13:54:05	42a43ddce25d9ffc5e9faacd78084195:acJJyVpHQwAaKKhu2XG6THp1j7TQekLk	Q1:唭哩岸打石文化,;	223.140.128.66
