2018-04-24 09:05:56	22f09425b61c93db3df727c6266cfa2f:q3gCVxPzv18DhWBJGvgUe3ybdF2Y2Xnc	Q1:活化青年公園,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	103.31.196.193
2018-04-24 09:05:56	2f252d31b196701e455e799865230f7c:qGhXgRC7j4zE6Btb58OAO47Kpc16RTM9	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	172.29.16.189
2018-04-24 09:06:56	765e181a6722b92980af4dd59504622e:CSyNWKaH6VNtzZESVRV2KALNCB9gBcEV	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,;	172.29.16.198
2018-04-24 09:07:12	983628ce49ad1198179f7c399b7c5d9b:5u3GqGK7egfhbi1GDJP183JugdACJrJm	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	172.29.16.95
2018-04-24 09:07:31	92580e1c7277b6cbdac2b6dc47d3f936:3mi2G3MDD9Z8DoTubB2ADS4gyK3aRBqr	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	223.137.173.3
2018-04-24 09:08:08	24d4e5feb6f4d6dc56c72f0e62b582d0:oYAwFuU0n7uwjtlkob65I8QfB18XuXr1	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	172.29.16.95
2018-04-24 09:08:46	f62676071e35a7f53160fb4492a6d559:3RewQbL0mkSjMGKknZAhai1yf2818Q8p	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	172.29.16.95
2018-04-24 09:09:06	1003eaa25b8657dea5a5a97f9046de8f:1CqDrU0vEuETidKEsIfbwNUfEe2otewG	Q1:艋舺服飾商圈	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	39.9.164.231
2018-04-24 09:09:26	eab7fbe87c12f83fc3f401e11052a749:pw9fDu2dAOGS0s5ytRfhWhoFRUR2ZoGZ	Q1:活化青年公園,艋舺服飾商圈	,艋舺文化美食趣GOGO讚	,;	103.31.196.193
2018-04-24 09:09:44	3f6ebf0c9e5097c1aef4ef6da9f3681e:RiA3nyUe3n978jVIPN8Mpz22Bzs24Dgz	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	172.29.17.50
2018-04-24 09:10:32	801ac311b8794e4ab589f9a56ad7e57d:cgTx7DtDHcUA7IbDh2DGzO2JaQYaOzIe	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	172.29.16.95
2018-04-24 09:11:35	b4855868abd2f0757f12c756c4fe554a:LiKPXBbavAjIK6Om4BKPDH7r614n4xuj	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	223.137.173.3
2018-04-24 09:12:05	0ef8833c165a57f04cc6226b90826d10:XB9ZX2sCFL0uUWSO4PXxIgdU3fNIztcs	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,;	103.31.196.193
2018-04-24 09:13:27	952d2ec1c74df42583cf3148c939e956:SUgViYbq0iLSCfMcWldcfRUgg5qXPEjw	Q1:活化青年公園,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	172.29.16.189
2018-04-24 09:13:31	c508f9abf7faf67f4ee256f951edb57d:XZFgFgtZrs45RCpYjaHsiX7oOQc0d2nm	Q1:艋舺服飾商圈	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	27.246.40.124
2018-04-24 09:16:34	f9ad7c856bd999875b342bf65a1f7f46:s6VMlEipfIKfIkldzTQZ7O5fhplYAsCb	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	223.137.173.3
2018-04-24 09:16:41	c013c2274661f652035cb191a6b5840d:XSwp0vGrxSVKBLSHxi8188CS05As9QEz	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,;	103.31.196.193
2018-04-24 09:17:07	b5e362117295045352b123290584d864:TND6B1I8tVqLnXlMLaxvY0rh2QMG6R4I	Q1:活化青年公園,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	172.29.16.90
2018-04-24 09:19:58	ac83a99c8c62566f2fa02eb193bd05ba:Q3BoyqQSkIZpoZ1ZuwpEqORhPteYcB9O	Q1:活化青年公園,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	172.29.16.189
2018-04-24 09:21:00	db043f42a3bcd711a70fdbb2ddf63ed9:eEOPHYetyVa6NDJ7f3yuSb69yjWfYiaU	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	172.29.18.169
2018-04-24 09:21:20	99f28822599f463938b4748de06458df:xMbAxLyN4XEH6UTUEwkQxmGb3ANFsDmn	Q1:艋舺服飾商圈	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	172.29.16.189
2018-04-24 09:22:32	a063af95613f3cfec0dffd4c4060fce5:IgH6UfbyX8XWpIMJ4pWQR6Vx3MVKnIus	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	172.29.16.95
2018-04-24 09:23:33	1661a77ab8445433057214e76deffd4e:aXIPPdBOMRYxYAZm78KBxyCC43dRQJbE	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	172.29.16.95
2018-04-24 09:24:16	a9aa1c73143ba7d1cedb27265341b072:55X2fHzqXp2bv6dgu71mGfK9alopJUl8	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	172.29.16.95
2018-04-24 09:24:52	8d6521641044b088864ddfd86f24c57d:m0cKt5moIMdpYFs1qpgHSYmKLX0oLPWJ	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	172.29.16.95
2018-04-24 09:25:15	44c4e84e2246db79b3dbfde9c2d17266:s8QimAUDwYDRuRQabWNHtYNcvVWwGfd2	Q1:活化青年公園,艋舺服飾商圈	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	103.31.196.193
2018-04-24 09:25:54	ebc4b5ff032e67ab26fc225fd75f9f41:tIIAJoD2yFbPx1UmJJVrJQC0e6hiZwxa	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	172.29.16.95
2018-04-24 09:25:58	b56492d76879099d5abbc5386116269c:KqjMIQXcs2zROyZ8rlp5xCqDFFKahaCN	Q1:活化青年公園,艋舺服飾商圈	,艋舺文化美食趣GOGO讚	,;	172.29.16.189
2018-04-24 09:26:38	8ce334d73af80484144474272385993d:iIrCeKySLEJlsmCM9cvZDgpAFqt2HHe5	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	172.29.16.95
2018-04-24 09:27:05	93bc191dc89aecf375d42afcadfd554f:Tzbab4S5ceCo9B3aw2Tq7DdO0AaWpyP5	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	172.29.17.50
2018-04-24 09:27:48	926b8d4a707180f9c0010f1c95c246cd:5s75ZmU2d8Q3VxQYMsfaIjHZrdjXdFrS	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	172.29.16.95
2018-04-24 09:27:49	84ce373a0f1e18a94045690012577de2:XcTWXuSXZERal05GUppXkyRjRRMzyxLE	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	172.29.16.198
2018-04-24 09:28:20	a4567e892d4940842b941859a9c50f36:iGeaDHX63qZ3VBPNutuUUVAlp9uvyT0s	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	172.29.16.95
2018-04-24 09:28:37	f5d883b0e390fdd7d9fee77f3815a0c3:JaoaJ9h4eKAjXZlVisaLIcNXM7Xi82sA	Q1:艋舺服飾商圈	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	103.31.196.193
2018-04-24 09:29:07	2bd49287f337049c6589504e843422d3:lrbv5YKKHxDegKNJOafxf4eJormnbU8Q	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	172.29.16.95
2018-04-24 09:29:39	3af4d4c212320125571c41dd728e78dd:CuE79YdjH0Nyjm9H8BQ3PWYlRVncKpvH	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	172.29.16.95
2018-04-24 09:30:25	550536747827fc65a8c2e21775e3753d:cJNfBR8YNvrjPXXuoqblvGyvegVo2fl7	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	172.29.16.95
2018-04-24 09:31:06	dc31d84dbf07e765aa4a4e9aa17df90f:mRWIcWc6bhXBIADxUY7V30omtx7XLjAU	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	172.29.16.95
2018-04-24 09:31:37	f4d47edd742960b49d2a41dbe7ae48e8:Jl3Z3iCPTppF7DQikhwMVenNvaVNTtbQ	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	172.29.16.95
2018-04-24 09:32:21	9961eeb94abe096e42d6e29145dda7d6:PKtwpX7hunDrhd0e0jlUlPSJPlh1V6Y3	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	172.29.16.198
2018-04-24 09:32:23	070b0b462764c30babfb125a062d47c7:urJb29663zmZuuUxrUqjzwrcxSrBnY9l	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	103.31.196.193
