2018-04-24 10:18:16	8563b1507708d0ce99db7906f0627d3b:a7CuGx0VfiZafuYRQbGOblRACTOUKbzf	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.170
2018-04-24 10:18:29	a60f2ccbfb33d7a836e5025b559c3743:Bz18KEjq7jKPFDKOSEr8O66V00zuinyv	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.29.164.29
2018-04-24 10:20:33	0954a2ca81b2a7e29dec4d765bd54f01:h7ftCHUALYjjsVjVn6B5to5PLAUK0gZE	Q1:軍人公墓景觀活化,南港區公用WIFI增設	,;	172.28.48.192
2018-04-24 10:30:46	676f31f3fa9487e2c0c9c8cf54fe8204:2jpXoTxANvmMkDAe1kE5nYethaSRkKqZ	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.195
2018-04-24 10:32:43	57647e661723b4b440336883f5a61937:7ZRtNk8Gx4B6a2X16niABqELHdhkLbmQ	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.195
2018-04-24 10:37:02	1f9372d5d9b515aa94ac131ed600e37f:rhz9iktf445Ebw6bVQSfa8R5YhDeIc5C	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.195
2018-04-24 10:39:50	bb9b4069346dccb70f801f2aae1d1cd4:kUWnIDdHaZrM6ETsSwbj0c1zwmKyGRvp	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,;	172.28.48.170
2018-04-24 10:40:26	211fa7fe9cfe101657ebb06b13abad65:N4WI3yyU5UFJj53V1w5XGEXgnqnW0ByS	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.195
2018-04-24 10:41:50	3e99a4362a778ff99ae5041296ee344f:TUAKj8rgng8bba8Orp94xuMNiYYnIUj7	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,;	172.28.48.170
2018-04-24 10:42:45	818a052aa2328096889dbd3b642d88a8:owNamKhMKbh28pIXVmXETYomXRmVaN1B	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.195
2018-04-24 10:55:41	2eac52f53e945e82e468589d3a056df1:x4OmPY45hR5hpttqrEVPO36D8GSJnbzN	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,;	172.28.48.170
2018-04-24 10:58:50	82599ca86e38a736a000bc108f166f41:OD2NORYa0YKMbYvVwpyPHGmkxHHmTDyT	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.170
2018-04-24 11:00:03	15e0b769622ee59cc12527733c3f6a2c:fNA8u4rU7PU1iud6ipQm3cTZWbFmLVVR	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.170
2018-04-24 11:01:16	3d532776b90b2084114d37eff4ffcfc6:vcpFlREvIBNNafItoO7kx9oMEUzIPQPB	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.170
2018-04-24 11:06:22	0e4eb6110baf3f1a16116c85218eadea:D22omygVFXit8XBc77fv5MXHgg84TLJJ	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.170
2018-04-24 11:08:44	cc652a59406d1b6984238bc6ff1fbd5c:wkApcFxjUMwsu9EyVsiViMJoPLtV9sKg	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.96
2018-04-24 11:09:47	51b1157603df383ffec240829d2f2260:1wS3kr65mWOwDmFJkzrs0wrwBuYkw3TU	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.96
2018-04-24 11:11:26	93290ca94cd35a4d2787e3f67b89a76c:gRHvxP3A7hYTdRuvOhLWssBreWhbadGT	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.96
2018-04-24 11:12:57	6c3083726e6573e4f0050a4d40fd4cfe:4Jxq9Cub6m5Polr28VuA7UZTNzQK4ijl	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,;	172.28.48.170
2018-04-24 11:15:18	d867b7e3690f7cc0ebf1e7db597bc852:DMUn7VRaGNpH4OM4e5ExqzPfhNXYYa7x	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.96
