2018-04-26 08:46:13	7f90223eb91032403b0aa8fd6fd0d23d:nhLCF4aGMlS6brJvT2sjFGXS47YEphoL	Q1:呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	223.136.23.94
2018-04-26 08:46:29	6f0fd907bd90144a37bd090e475e94a1:Ni7GXtT0RaZMgj7ygUYMIhHM2qz11178	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.144.31
2018-04-26 08:47:19	627af784d2d380ce0a206e1da57e9f57:JoxfjVh4yTIwLjtpAkm7bJo86nO5dHOq	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,景美一定行	,興隆市場增掛電梯以便民案	,;	114.136.10.117
2018-04-26 08:47:44	c15604bc521bd2c33e45e78da09afa7f:q9qYpKCatNmlyABCdLaVwdI5T6i2hc7t	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.144.31
2018-04-26 08:48:42	59278c2daad968dd269f5ae2741ff49b:Rh2xYbovspRaPJpJMYidsJtlwWp3zdbF	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.144.31
2018-04-26 08:49:31	0618583e84b7d1d954788daa06b74aca:6bcxMwcmyNdACMf1BiWAg9K2SlZ8gEBH	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.144.31
2018-04-26 08:49:56	22f2feef962cc8b59831f30cbb46e9c6:a2af01V6UZ0epBrWghIhCJnUVrMSLuQG	Q1:呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	223.136.23.94
2018-04-26 08:50:22	6d0c27212a7c689dc80c312f2130a6dd:EaxAgMIpdf9XQYdBKhUoszqFP525waF1	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.144.31
2018-04-26 08:51:00	4244b8218941b21adb79a0a7483678a1:5aOAgmYnZ1Ax4glYBoWXJVdOBvznA4uT	Q1:綠屋頂改造－從市政府做起	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.147.132
2018-04-26 08:51:31	8024c6dc80e66e5ccd2286f2da7711e5:cHwkvVgGtxIgOq8yWSPTGrY8ArRjEhMN	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.144.31
