2018-04-30 09:25:26	3fc4ad3cdc780b6a515c1d96dba22d53:OPt0S9cjozuwKAtzmIPxiXI8g7mv4ZbN	Q1:公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,;	10.5.9.4
2018-04-30 09:27:03	66bce0b54486b16779babdf6f926de44:OVsYfk82f739WiDAT33mLqcolNVlbnKF	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	180.204.21.111
2018-04-30 09:27:21	3c543e2b2486959a740983ddf0c2a369:fG8PnHgiZ2G72qW2NYXWpvutMJklHcZw	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	172.29.121.69
2018-04-30 09:29:28	305574f9c5e900d7ab4bf7d3fce3bb7b:usYgpEVTNkMpZbMGppWGe9C5IoznHDVs	Q1:信義之星-中興里區民活動中心	,公園內建廁所	,閃亮永春-商圈重生	,;	172.29.121.69
2018-04-30 09:31:59	cc28acc099095974c84aa2b3031ae6ba:TtsgTW63oC6LLzZ21uI7Uh0Vjwp9wTOe	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	39.8.234.97
2018-04-30 09:34:25	ea71ec4a2997153fff809202795bbf62:Na6ldiUz6nOZasiGrURmwvpqHJditq59	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	103.31.196.193
2018-04-30 09:34:48	c999cf5efae7b3d8cc396bdd89096bac:AB3PKybdbv0RpqM7npVP7IjN5NPuN9la	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	101.15.129.106
2018-04-30 09:34:59	dfd9b73a94373a4b33822493f54ee536:bdFoPbepVrMSRmzwY3IbsGebX0Ldqwfh	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,;	172.29.121.69
2018-04-30 09:36:13	892555ad96cfe5da03c2492a12eecbd8:61Ryr2wtNF7TguyJq8WblQ6Bf59rtNb3	Q1:信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,;	172.29.120.140
2018-04-30 09:36:59	20b84d0867c953bc34d213acc5f65412:GUjztGnvkJWVSARFbzZZ6fJwsnoDckEi	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	172.29.121.80
