2018-04-26 10:59:08	bc4d32f2ac85f33aa18bf9cdd58e7d62:DI2cTZHzuyxlapoGmrAdmoFTQ6JxhWQx	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	172.29.121.31
2018-04-26 10:59:15	b7596b829448756a026014b613490c42:sNLLMytVPVPPSAnkK26zM859aLRnIJOh	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	49.216.198.44
2018-04-26 11:01:07	bf891457083add62f8c546099a84f3a6:2GY0q9eqbKJd9NGA6VihtKqRMM0spH2s	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	172.29.121.31
2018-04-26 11:02:01	a32a7539ef905070e32ff6423f9cd5d8:OSZVAviUEsQhK8vokJ93qVxw5OCINE9W	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	172.29.121.31
2018-04-26 11:02:15	c3676a3c0bcd00f8dbe6a9317a7b015d:Ue291UVSGA8WWCkzm2EXZRRngmtkUd6j	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	49.216.198.44
2018-04-26 11:02:57	3920c65b5de0afbc25349e900b50c609:EDuJXYob3CGZYkrbj5ajisBySNdcpcnY	Q1:公園內建廁所	,樂活後山埤一號計畫	,台北市新亮點最長巷之前世今生	,;	117.19.75.105
2018-04-26 11:03:05	e961a586579d960ec391326e34302ac0:d5KIXjV79wv7xL1aiGvVZKO9RFAtmrmL	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	223.140.177.148
2018-04-26 11:03:46	9dd840bfde98e12f7a47469aad6b79a2:HABB78P2wmtoSCqEHAIg2IrqfRXXRqMr	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	101.12.145.215
2018-04-26 11:04:15	70733db7ec23423616df0119c5226885:C7DWU0E3TrBgvzDBz54kVWBxwbVRy8l4	Q1:信義之星-中興里區民活動中心	,公園內建廁所	,樂活後山埤一號計畫	,;	172.29.120.140
2018-04-26 11:04:33	87981dd9cb90aef20ed60796672fbf7b:wW7bZEZCIHSEnQ75nwre6nCTAeSlZRbY	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	49.216.198.44
2018-04-26 11:06:43	2465fd886282c7f0ad3a8781e2f8a1bb:X2xvytbrwK35aBlmFUdS8wKnkzuRiFmO	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	172.29.121.31
2018-04-26 11:06:53	881b5ffff6e8582cd0ee4d56bd07a35e:h79PzDu7yuZsfaPNP9MYFWb0rrBuYxjI	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	180.204.209.52
2018-04-26 11:07:32	32ec0fc519d970bc95309f773d333a2e:CavLUVsO9K4wLfLeWYS4XWWm8rjCT374	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	172.29.121.31
2018-04-26 11:07:51	4b15e8630031e4d9a640aeb51136e5dd:VfnyVFzaTzxl0Ph6jgnBkhycAvcDxNqO	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	49.216.198.44
2018-04-26 11:09:52	4b99ece4e416c1a9e3a0f5608f4f7bd2:muNFKiQgAFEE2gBz728M1wl3zpoTRIW6	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	49.216.198.44
2018-04-26 11:11:37	de0443bbab11d00a911a9fa55865ae62:MaoboX1J6cR14LDuw6FFzGtjtn2KD2mS	Q1:信義後花園-松隆映像	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,;	172.29.120.140
2018-04-26 11:12:47	85769d26857c5b9b01c9e2b7bf48d066:Y5cQdLCNmmkbLv60CXUkyFHy6WcMDjsD	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	49.216.198.44
2018-04-26 11:15:15	f264ea333947f37ef8c99387309ea09e:8XsQvv0i2t4zyggD0UaPc4pTYig6MSbp	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	49.216.198.44
2018-04-26 11:16:04	98c60435034db978aa34eb4fd140d58d:QIjcdiqgE398YLR0YSC3MTlSSwfjBPwE	Q1:信義之星-中興里區民活動中心	,公園內建廁所	,樂活後山埤一號計畫	,台北市新亮點最長巷之前世今生	,;	172.29.121.80
2018-04-26 11:17:54	3d55ef0a8d01e8f2cc33b1cc298904eb:5W6bpf7g3VZDSMlHAzVZ4FQ0KRHWNpoB	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	49.216.198.44
2018-04-26 11:18:04	943afd6b6a255c33d616f612c0aad741:2Q96dQnAqln7ueFIUsJjiJSW6eFTmxUZ	Q1:信義之星-中興里區民活動中心	,公園內建廁所	,樂活後山埤一號計畫	,台北市新亮點最長巷之前世今生	,;	172.29.121.80
2018-04-26 11:19:40	17144be7ce7e868cb41f294c2d55f52a:k8jHbUF1scermUQnwjargqNjAkEVq3mn	Q1:信義之星-中興里區民活動中心	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	172.29.121.80
2018-04-26 11:20:14	d94be903bf9b5924f69b8ed3774aec9c:DmFLCXRjHmrxA87gQl9sfkSmqeeO2a5S	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	49.216.198.44
