2018-04-18 09:00:01	4cbc8ca1e01fae165093c9a3b638cd58:HqmlFKZkjKt7lUk7YbKqaIMMcpejAIIb	Q1:活化青年公園,艋舺服飾商圈	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	103.31.196.193
2018-04-18 09:00:17	09632b0d45574232f6f98195951bcbf2:OdgWFzUlw8VVI6tMSbAP8iZVDL3U0NdJ	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,;	115.82.48.62
2018-04-18 09:01:03	9e2fc9dfb5c8a47144460693515ad67f:T2tvyGyargDspRcyW8uKXFAaLfLNH1a5	Q1:活化青年公園,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	101.13.83.98
2018-04-18 09:01:41	28233728e49ad79690b9f381e5f7d06a:ePrYgbOxN8w9C37X1Z2yKAtNsJKxhhji	Q1:彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	115.82.48.62
2018-04-18 09:01:52	9980ea87b41cae9ac4fd8b407fd58453:wJn0wtovELhaZObFMTIEONubA2GJZFFM	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	172.29.16.169
2018-04-18 09:03:13	da1c88b44171982ff9364f25de170037:hBY6xoCxLTXAr5iev70YPU3oPstuOKsw	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	103.31.196.193
2018-04-18 09:03:15	934c2d342e7036115695a298a93c517f:8TpjLkClieeh8yi9JXdBHBuNBWI39YJN	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.136.226.171
2018-04-18 09:04:33	255dfec48b826e8bff31cce64dec9470:6P3HDeCGGIZXOePcXsRGO9s5AxxD7uQw	Q1:活化青年公園,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	101.13.83.98
2018-04-18 09:05:08	86c6001e3d3f0f229da116f6a789a501:ETqLGl86O4tEYqafJugFnWKjdCdbAqMB	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	172.29.17.55
2018-04-18 09:05:32	123a3f6a5acd01f7722acede455664c8:1qlJz5YzCDZ0qhUQNn30FSZ6os6yDDob	Q1:彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	115.82.48.62
