2018-04-21 08:03:18	59554163615134dfdacf85131d5efc03:1Lf3GHA2WyxQoTKlLocWY7rkzKRd91RR	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	114.136.128.192
2018-04-21 08:03:40	a24ecb49a1b9a4ec40be4b15290d3bd1:UQUGpmpBSAIxmSVaRi0g1sEYXiaDEBFY	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	114.136.198.109
2018-04-21 08:05:03	8adf7b4e01da48f58ec731f27b976936:4BohxRHEmjfQlfeM0XhI4kgavdab21of	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	114.136.128.192
2018-04-21 08:05:21	9551450ae936714b699be7f78bd8398b:G5324vw8KQNiiyRJt4uzUE1tMpowjcDT	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,;	223.140.182.119
2018-04-21 08:05:59	e6035d0938b1781fa8028ec6626ad054:k3Na06wCv1EWYZrJimKmCErO65RwDgLK	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	114.136.145.103
2018-04-21 08:07:05	77311791c162c0e67eac6ddc41a3c447:mzHEmkr7XKP9EEkmUUxXOh79kRr8kWfz	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,;	180.217.185.154
2018-04-21 08:07:34	623cf95a8aa824020f640dddf3009184:EEVoeWzvU6j1HfnnIdfBFNIqolmqmdOI	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,;	223.136.222.150
2018-04-21 08:08:19	ed9899a84af9fdc88f1f5a89044d79dd:c0hEd2pc8R67xBmXBTtpOYYFH3yWiu57	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,;	110.50.142.64
2018-04-21 08:08:46	3892078efb95616ed59ee4a6a0e63749:y4kJz5HAGNDsqL54hcMEifitvB81KrOI	Q1:信義後花園-松隆映像	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,;	49.217.145.181
2018-04-21 08:10:22	086106e797a887839489e82ce6c115b3:AB3E2bPiYi3ibISIshVAKJyk6CU3y3Jo	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	114.136.128.192
2018-04-21 08:11:03	926a721bd29655c1ea0519fab00eec4b:doANfm6LWL90rIY0c38VQGciGhWWeroc	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,;	223.140.182.119
2018-04-21 08:11:45	702d755acf8ffbdb07a165518d9f7703:DRm8UEFKLMulvMytjguENAFpgaadLaAa	Q1:公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,;	117.19.16.145
2018-04-21 08:12:17	b3fc34c658e3ad0721a3bdf83108b5cb:2FLBa3lOPArh5ltAc8af9RAnArALKwZT	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	114.136.128.192
2018-04-21 08:13:05	25ba1db8b2e95180c579842983e9d951:RlThNzqhYHM25xQ8X63g6dLQieZuBwwc	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,;	110.50.147.80
2018-04-21 08:14:06	8d950a63391649e8538419c1ad87247f:ymkyL7Auxjprlw20dXQUtn3s1l9gmkiP	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	1.200.219.150
2018-04-21 08:14:16	53f6df26039655a3f5fb2673ae99e167:SUdoCX3TcC4TZMFyvdqPDz093HV2zSIF	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	114.136.145.103
2018-04-21 08:15:13	944a72eb1d4bc2c9a4ee8e8fcca9b0d9:iJdL47eg580oGLqVMd7xr7hi8DOa3C77	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	114.136.128.192
2018-04-21 08:17:01	1404b4f9602349dbc2eb8e3c8da76d85:yIC7iBfTE5Q4vFqLORY9NwZ1ItTMjM66	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	1.200.219.150
2018-04-21 08:19:08	be10903d6246983362474e49c60d9198:Cr1VckRmPjTFKaTIJ1shNlE8AhGihfWA	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	114.136.128.192
2018-04-21 08:19:27	1c79f0803cbef9d06a9fd68083427955:xU4NOo11xrQRDa9skOrtzffecWCgXkzR	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	1.200.219.150
2018-04-21 08:19:55	ac14052c3c292e06e063423cb547fe2e:UfFs64I8JbZAGNes4dO867bcZYoMCRxt	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	180.217.90.177
2018-04-21 08:20:38	6f47ef7a408a30525b4cae2bd9fdf64a:47ZH0mSTuTgpJv7I9qqR3FRrAL3mz3LX	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	223.136.203.157
2018-04-21 08:21:41	36a5470f10cccd1b270e524848b1d318:wzmXPIPN57l23krisIxDHKdinH9R6ztl	Q1:信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,;	101.13.145.128
2018-04-21 08:22:27	f86be0db02d746ec152231789579fd76:H6jbBZgOAy0OUyvBkM13j89ebnyqyFxF	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,台北市新亮點最長巷之前世今生	,;	114.136.153.154
2018-04-21 08:22:35	59ec8528cba00be8060f6f5c536c177c:28dlTN9BcFQNGhUvY1lOTXRqFxIXlLXv	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	180.217.183.201
2018-04-21 08:22:45	a5bde1108351611fce6e13731b8ba9e1:oonboYZlrxilaWf8YG9C4OyqJJ7zd5q5	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	223.140.72.103
2018-04-21 08:23:43	97d2d4d5bd7bbcf3c97cd9795819a230:LuaoTr6isiglQ99SMU6jB44mhgixeL8s	Q1:公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,;	180.217.177.66
2018-04-21 08:26:01	ccf8af7984eb72faee4f73001220a9cc:38Ug1tOX2KMkJMMO4lJMHzwH4eec0SPD	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	49.219.55.23
2018-04-21 08:27:15	57382c05f2cd7a7c470f998215c920cd:HoZN7mv4wcvebEk9ZKs7CMiLW44ikS7L	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	220.138.22.1
2018-04-21 08:28:51	0f78512a7b90365223bf31d3038a1a51:s9u90JURaFpMyJOgpXYwULxdbglVYxf1	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	49.214.214.38
