2018-04-22 15:50:53	d81b7d978accc10c8c0c650c43f6e17b:YpnMdw40tjPnL0nRBQZOPeRV5I7rMhlp	Q1:活化青年公園,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	1.162.41.86
2018-04-22 15:53:50	235fd59f0a5871cd86cd32ab8c09a8b5:qy6SynjWaUAOtnIbMnFjZ3IqHjOeGZWR	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.136.34.165
2018-04-22 15:54:11	00db35d26880ae3cb96d754e1618f84f:WjJdbp43h9x914X2Oxprnr4hdNUCeDm3	Q1:艋舺服飾商圈	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	1.162.41.86
2018-04-22 15:57:03	b25f3327d39bea9ad18f8598cd8f8c70:IdYI4QYTW3KcKSoymsmYJ3iK58cyLrQz	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.136.34.165
2018-04-22 15:59:33	18638edb90ad8f6252627391255fe1bd:aJc9F48CU9dSsgt4YagxyPqQDHnm7evU	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	1.162.41.86
2018-04-22 16:11:32	d8c2640120065e3fdad5974f70664a01:WQUQnrrsnf8szMnA074JNyZa6A2PTR97	Q1:活化青年公園,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	1.162.41.86
2018-04-22 16:17:23	ad5bf1c13ad0cbf00206015140f52158:7f7VudkMCI2BGKA8kW4DMhKHM5ail3xp	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	1.162.41.86
2018-04-22 16:34:23	459ff895b9b083124269eaff5b3e8eb1:CMBHAuw6li28OkYzvRTpR4EFPvFSll8B	Q1:活化青年公園,艋舺服飾商圈	,艋舺文化美食趣GOGO讚	,;	115.43.139.70
2018-04-22 16:35:43	cbe2dd5f63b1e502f658957850f8e926:Va1jHigL2dlVcksukNbnZvKJkG796y5i	Q1:活化青年公園,艋舺服飾商圈	,艋舺文化美食趣GOGO讚	,;	115.43.139.70
2018-04-22 16:37:33	7e260cb933302b7e9a79b3659b301293:9uuzr8gLN93awYaMq25aPRHF7DV0pwmY	Q1:活化青年公園,艋舺服飾商圈	,艋舺文化美食趣GOGO讚	,;	115.43.139.70
2018-04-22 16:38:28	14c9f2a07879df6f4082635415a7257e:O5B2B42Fw2SC0MfKlxD9QH9BBZ0a6KCg	Q1:活化青年公園,艋舺服飾商圈	,艋舺文化美食趣GOGO讚	,;	115.43.139.70
2018-04-22 16:39:16	9356f80f1d6a7810fb15ffd996933ac9:FHgHSyOrS2gDATZepdHopvxWwXfNbyEi	Q1:活化青年公園,艋舺服飾商圈	,艋舺文化美食趣GOGO讚	,;	115.43.139.70
2018-04-22 16:40:07	94f3f4cbee668d3678cb29f3a20a510b:fTXxlAGN0yNmRz8hqb8wVuAsuzhTJuZw	Q1:活化青年公園,艋舺服飾商圈	,艋舺文化美食趣GOGO讚	,;	115.43.139.70
2018-04-22 16:40:56	ce8086d493a7c379b394f37b75667725:KtmJptztybT71zjdVrmtRyNRIX24SDMJ	Q1:活化青年公園,艋舺服飾商圈	,艋舺文化美食趣GOGO讚	,;	115.43.139.70
2018-04-22 16:41:48	7fff7d6a09fa725572ac77adc1654839:6GxoIts0UWcOTbNOP5QBVrfe5MBT4iyT	Q1:活化青年公園,艋舺服飾商圈	,艋舺文化美食趣GOGO讚	,;	115.43.139.70
2018-04-22 16:42:36	1181b0ff5e8f604da4e63c0da0d12711:uBjqEcls010HXnDt2NBxOfmPxRcmnZYU	Q1:活化青年公園,艋舺服飾商圈	,艋舺文化美食趣GOGO讚	,;	115.43.139.70
2018-04-22 16:43:22	17caa8e6b853c1bd82785d1f3c4a4de9:aaSlDCeNwinxLYIcVlp3SIvTN82SXWCh	Q1:活化青年公園,艋舺服飾商圈	,艋舺文化美食趣GOGO讚	,;	115.43.139.70
2018-04-22 16:44:07	6514a4a0a9e7013bf44ffadeadcd83a2:5OhrdVg4Rrr2kTXnCv6KCCeO4PJJqnpd	Q1:活化青年公園,艋舺服飾商圈	,艋舺文化美食趣GOGO讚	,;	115.43.139.70
2018-04-22 16:44:52	fa11d8f553fc70fb1155e1d72902b1a0:rDDAAHYOb0bgW59A5WcVG5E1xXLMxR4J	Q1:活化青年公園,艋舺服飾商圈	,艋舺文化美食趣GOGO讚	,;	115.43.139.70
2018-04-22 16:45:38	73db3475265b99eb46cbbbdca23d1329:rd0OfrjOTv79GostRnpqb9Fk5AD4hppx	Q1:活化青年公園,艋舺服飾商圈	,艋舺文化美食趣GOGO讚	,;	115.43.139.70
2018-04-22 16:46:31	a00641fffcd240e91d7229e6e60d65a8:h9qNGUtRnNqFMwCKpjho4JTVhufIV6kQ	Q1:活化青年公園,艋舺服飾商圈	,艋舺文化美食趣GOGO讚	,;	115.43.139.70
2018-04-22 16:47:18	ba69036d4c78d7e8f9be64f2a48d1915:ra2zXlCryEC3DjJ07mty6XbjBRA6qmnQ	Q1:活化青年公園,艋舺服飾商圈	,艋舺文化美食趣GOGO讚	,;	115.43.139.70
2018-04-22 16:48:46	abb9a90754cf3542fda99c558274b691:78uPkJxnvBSUxvN1Pd0QVeS0nk5WiOim	Q1:活化青年公園,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,;	115.43.139.70
2018-04-22 16:49:34	0c835630773fead5cb86acf66d6637c6:1uQCmDcK3JXpo2FAlKNaTMvNh2KLw5jI	Q1:活化青年公園,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,;	115.43.139.70
2018-04-22 16:50:14	4404e2bbe4ea9809b0c0c984c507eb05:YrbCqRzX9Xch5UJCGhiY8qpSRy3oDd9Z	Q1:活化青年公園,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,;	115.43.139.70
2018-04-22 16:51:02	30f8d6769b01a2eac801721d6c554d2c:jGwcWtvDc0Klu6ZKf2HCGIanbgP8USlA	Q1:活化青年公園,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,;	115.43.139.70
2018-04-22 16:51:52	d06cc6e0b367b045819b7e84876b6149:pPVThKodna4xpRghdnujpM7Y1Gde2aWY	Q1:活化青年公園,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,;	115.43.139.70
2018-04-22 16:53:23	679c8a77c3005261c72cc345ee5df968:pwOKQJQ8vP0avd5eTAlboRVdtXNR15ce	Q1:活化青年公園,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,;	115.43.139.70
2018-04-22 16:54:07	c0a0958e09f8003a30e374b69687e9ba:svgGHCx8CVmsWIs6PfTJAnqWVZa9PgpV	Q1:活化青年公園,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,;	115.43.139.70
2018-04-22 16:54:52	8dadb12ff9e3cd6951f13be173777bae:dvERQzHanRb3luoGr7zmQ0fZOW4vFKRK	Q1:活化青年公園,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,;	115.43.139.70
2018-04-22 16:55:39	34b481fc7ff57e6e99a930dac6822e0f:e6vHQeXD1O0mWqe7uTCcbUdmYvzqkimH	Q1:活化青年公園,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,;	115.43.139.70
2018-04-22 16:56:31	e4f7efde4ad6a898cd84575871ff0415:g9XyG8ZUBNCuCew67yTby2fDivUBeiik	Q1:活化青年公園,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,;	115.43.139.70
