2018-04-27 02:21:56	8ddee4360d92accd488da78dc2682709:H9ketqkQwTYP9YTfAoepZyW71ByqWXfK	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	101.12.192.140
2018-04-27 10:03:33	9595f6b39574cbc9abb61a7b48764348:rATThdldSymzFz5hwuRf1yPilsbSIkUd	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	106.105.178.40
2018-04-27 10:03:36	17de5f9be5a78e703b07494d3b2e0512:BqwVXh0KVLRzAXBdDRuNva8taaiE7rxO	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	106.105.178.44
2018-04-27 10:08:36	65d6bf092842d17a70fe7105d0b7ab10:YKkz7hlZDkZosYY6bpcg2TacBWik6zop	Q1:再見泥土，妳好牆	,湖光市場周邊環境改善	,;	106.105.178.44
2018-04-27 10:10:03	7e0cdc57278ac8ec2fd7d67a6fee3590:ekj6ALIrs8jeHRfLT9Kmeecc0rl4r1qv	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	106.105.178.39
2018-04-27 10:10:19	ada186fbbe621022f1c2c2575140fc1b:ZNjmoMLX9HmHtvtSRdOPzU3IHvIDHmp9	Q1:再見泥土，妳好牆	,湖光市場周邊環境改善	,;	106.105.178.41
2018-04-27 10:11:38	80f45afe023479c3082d06eda0195aa2:rFMMUscGctUyBF8Wc3MhvmJ2raKohh4z	Q1:給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	106.105.178.40
2018-04-27 10:13:45	561653d515a2316278caf3854559b62c:P4qXUFuWSQsREgZYwLnFk3vsawSK7cfM	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	106.105.178.39
2018-04-27 10:19:04	c859782a728e298ae63d47de497d6198:wKz3e1LxQjyhOnrQEw4YUj5BopGf32rm	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,;	106.105.178.40
2018-04-27 10:20:34	7bcefd5807e8900fa8e5522a23321d5e:8hGlj9jXNdugmmkeCbAaH1YiglYB2UK8	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,湖光市場周邊環境改善	,;	101.15.211.204
2018-04-27 10:27:29	43f3905a35bda6ec1cf3d18984b049ec:FaZHVVE5vwcWYhkZTtNcsb69y1ZsOGQc	Q1:再見泥土，妳好牆	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	60.250.134.87
2018-04-27 10:32:31	5962b0c0cee7ef7e1c29a40e450e76bd:PZcoRjwkp8OGo0icGGTcbSZG3zbQwqCP	Q1:給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	106.105.178.44
2018-04-27 10:32:45	e3e0203fd4a655306ec47becbb9fb8d2:ebeoLEu6QHLRqcHDm8IijM3qPV43PNzB	Q1:週美里河堤彩繪	,湖光市場周邊環境改善	,;	114.136.130.2
2018-04-27 10:35:03	0c66be658511772e2a4aa46f8cab5afd:axSXbUYWPenROss4cX83enlJGYkBlxXX	Q1:再見泥土，妳好牆	,湖光市場周邊環境改善	,;	223.136.173.2
2018-04-27 10:35:05	13c2b8adca87582053b8c358aade2b65:jQvZeFLLhjklzl2CqISIDS0XaBHRjKzH	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	223.136.243.3
2018-04-27 10:35:31	eb4484c521de8f00edcabdf1847bde22:8GiUuvPPF1kB1fQzAquIBPRpqoiMYvbF	Q1:給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	180.217.190.87
2018-04-27 10:35:48	3a3a62255efd08d304dbeb003505bcda:uqhWxYMR4FLbl1m72NNtNO9VYWtZzYn6	Q1:再見泥土，妳好牆	,湖光市場周邊環境改善	,;	110.26.1.129
2018-04-27 10:36:06	1ebb2be36eda7aa082b6d6ed7b6416b6:TDkK0IxTkf9FlvGoWpbrvrz9UB1xRmw6	Q1:再見泥土，妳好牆	,湖光市場周邊環境改善	,;	223.140.69.180
2018-04-27 10:36:06	03b3bfc522a7806c2b7739071f60a199:mQUOUNuTTOIaQkC6qxJb2J62TGv99s8t	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	180.217.175.47
2018-04-27 10:36:14	c2b0d529524683f820370eda6cd0bee7:rJZ7D2Yl5bPFdsv92SAY9M8ZK8ACe0Ju	Q1:再見泥土，妳好牆	,湖光市場周邊環境改善	,;	101.13.114.62
2018-04-27 10:36:30	22192da967a012880eafd3c93c9e5abf:AovaF07nAw5CE2vFDxYrbQ97vDsv43sa	Q1:給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	110.27.5.53
2018-04-27 10:36:45	e75e13f9ab07ee330dd2359d4613f5b8:1FSqiada00FWxY5otxMNv64HrzUSLUjz	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,湖光市場周邊環境改善	,;	110.26.101.232
