2018-04-29 07:56:49	e4c735364abcf331ab8b6a3a2c2adaef:waSqAX4CUrwlYgiSrJt834nMDmhoxHWE	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-29 07:56:57	45cc759571cb711ebf0cfd26b141768b:CFinyCGU0OS09Yc5OA4dikujgngxvjHi	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-29 07:57:04	ba83cd3e08a4596f60e57ab1caad2375:muPDPm1Sk3TLafKNNOv5nTF6Lcjk8Dpb	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-29 07:57:13	14daab7e7938b18efc10e42d7aa6fa1a:RYPGlmOuVcTzBlpJDQN4TLcUoPuLmC4Q	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-29 07:57:20	f1717c23c67af7add4c3375328b9a037:e3K0dVlittz6Dp96huFKlTzdSFkkkjCd	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-29 07:57:27	faf0e7a7b3c9a18215a822ca277c2080:MiP5xyy2d6LPbFUr3qIeRveDAzoEagDi	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-29 07:57:43	aa5cae734852e5a824625182dec36806:vS1rrZGQb459rfdapdWW90tv2x9SgmiG	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-29 07:57:51	3e13a7d79538f12a58b03e2c9c540735:BGIYc3KxOacbdVgcIq37Tq5peq6Gd7mW	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-29 07:58:06	a32268e0132255544e74f379c1ed4f96:aasVY7MVVwjO3qXiskbu0UEjvkzJt6Y5	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-29 07:58:15	ab81108d4841bc87fe631da1b4d82285:7BhLkRAbIeIOcqtfn5jEW1TcJkBswRv2	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-29 07:58:21	37073989deb35d07a85faa5e47c96929:9kDplJtcjYSyNBRrlMX4FY8HYvfH5jt5	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-29 07:58:29	272d1daac92db5d330e61acaf2337a4e:ZtIxtbNnvlJRmY1gEUhghy0x7VUTex7p	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-29 07:58:37	e2911c98cf8fc23b68d07aac50931aed:pkrnrBwC0GkY4hQGo8OB98umWpd7q6qt	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-29 07:58:45	0a73d04b7b3178b533e77f2de8e44b89:2P8TyWnCDqfBME8RoleI5k4UHoOtlLog	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-29 07:58:52	ffb9749757cf3a9ab3c91eaa3c5d8796:ZeiHrViS6lxk86NX04tCA0uOVAgILZZx	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
