2018-04-30 13:06:19	47c8466f035d78be9f9c78a206d99991:JwyVxBCnrGA5HV6MafsUCrv8iCvGJDGg	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.170
2018-04-30 13:09:08	e0a391b1c4235d3e4daa625db845234a:Znv9EKbKtjRR5TTjh9AnPPz7cqSuV3Un	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.170
2018-04-30 13:12:03	b4077c52d78fb17903c634a249bff9ca:OToTw2UJWkbHHKb69Glqk2TzWuTjsxFb	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.170
2018-04-30 13:14:42	34226e3c20c15bf9a45f1e0c81b1ec8c:v3ekR7cn0jqmYlBXglYCArfVIz4leNjK	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.170
2018-04-30 13:16:36	c50abfbfa7d2dc7d1916059cbf469c66:vMVr0hcBaEwKP89S9g4622E232xlubyx	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.170
2018-04-30 13:18:43	84bf862e05ecb7073a83cfe78e3acbfe:t5HFxhgtrgkeRUEwUiq0Re89K9U0PL7v	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	111.251.43.108
2018-04-30 13:20:06	a4031dfbf34f74b314bb07f7c457b977:mBllTf0hTFa8tcu9744IVOQoSIRhvBGC	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	111.251.43.108
2018-04-30 13:20:41	265e5887258bc0bed9d209fe89682eed:lezB6QStZEioSIp213rsX1CZ8c3piSmi	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.170
2018-04-30 13:24:03	9649e32fb78a39b42ac65b19787ab843:pA1BdkkVXeMiH4oO0enZmgTZLA8OQ3Kt	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.170
2018-04-30 13:27:33	c794aea2a3763fa7449976ff9e1d47b4:CRsjKqeWoI8iIpQT29105L5nBetWd2GL	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.170
2018-04-30 13:29:17	50e5d6ed23bfb48aa7cb12690f3ee5a5:Dpt0lapudXWOq6dtOL5tLHWKz5sCJOiY	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.170
2018-04-30 13:32:35	fbf901fb655c759e531e12e0a7e1cd0d:0Kydy2NmoMOz2rnYbRJrJC9SEHtgxdyl	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.184
2018-04-30 13:32:52	a567bef1fba6cd549d95766973c2cfee:EBVVlSfUEYGImS5YQ474VHC72bflLVwC	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.170
2018-04-30 13:33:09	355f282c902ef6bbaecb9f43cd22753f:o3OJZZ6mjNAM57ykGuXPro5mH8u8NqnH	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.79
2018-04-30 13:33:29	2fda262257473d29f0d90ddaaba579b6:fFXFClSEApW3U2C4XbygoKiaDUPz2CXg	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.184
2018-04-30 13:34:48	01b40452032a82673461da33012f9786:TwKJqUzflQM1KWaZ066BG8NJ08evjsoz	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.184
2018-04-30 13:35:48	66344f4a4cc6ec9fbd4b9164a39efd3d:xvWMi9fsdFWVPLqtt0HKU43h0abi7Z9B	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.170
2018-04-30 13:36:21	0164689beed5db7e9e7b63ec6ebc2778:Nq9kVrpSicGb6NYccIVla9MeELzw0Mkb	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.184
2018-04-30 13:37:21	18dd07bb616f8599e783fc4a10bcf304:pefurIM5FrA5CBkuypgPFtFgVHZvAJ1u	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.184
2018-04-30 13:39:19	09ee77b6cf603bf5d003717ccedb925a:ocN5lspmZUYsXUvy8qT1s0ktoel9aDg9	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	101.9.225.190
2018-04-30 13:40:01	f4751fc0bcf50a434dd6d7297ee127e9:xLlBuwkvl6bDKFdz74DUAmTNpZESCwhe	Q1:軍人公墓景觀活化,南港區公用WIFI增設	,;	223.141.39.107
2018-04-30 13:40:04	a85f072c2670e2975535edca8f006b22:6gPrC2LRb7vAyVWIz6jFV0utED2tOzr3	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.170
2018-04-30 13:40:41	1beb33a04bbed4c590fb478f264d04a1:TjShMX1s5Lf7zXel58tPq8hS9koO2Urg	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	114.136.71.128
2018-04-30 13:40:59	c30a8cafdebf93d52ac37c03d02d528e:9cBXLWLwbH4W9NSW3jxAYioh2Bj58feT	Q1:軍人公墓景觀活化,南港區公用WIFI增設	,;	223.141.39.107
2018-04-30 13:42:05	714d2679b87fb2f8c94e316cf640a47d:HA37zGrYV8ce2WDUg0SXacqq6G4SlqZM	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	223.140.79.102
2018-04-30 13:42:45	2cd5d0a3b209f682267fb78a23696327:jiAVQIjcvMXYyeFdGJNLBP9LILsJLKuL	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.52.104
2018-04-30 13:43:19	6966bdb7f6a7331702d1146dd8b194c2:aqKilD0B8hLnDYPIv1kmhFHFt6GbiReF	Q1:軍人公墓景觀活化,南港區公用WIFI增設	,;	223.141.39.107
2018-04-30 13:44:09	76852bb1195d165b4f96abcbaf84b356:qC07pe4F9AUO0HYqinXHm3as3TRri92O	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	42.73.167.175
2018-04-30 13:44:23	03e60555aaadd968e7e020d8e60afda4:1x2VKrI2080CWByNGkcuoGchrABWSjyZ	Q1:軍人公墓景觀活化,南港區公用WIFI增設	,;	223.140.79.102
2018-04-30 13:45:52	9620270a324f7185f9e719e92b80e709:I5arbmHXOd5b2FROMhsyQKMRTkK8zHxo	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.162
