2018-04-30 08:39:16	5ec61b9367d8ad00792b46a60c2a4d12:V2P8kHPqSsDbxMFZUfbHDOEbHB3FbEM3	Q1:週美里河堤彩繪	,給康寧樓梯新面貌	,;	172.28.32.53
2018-04-30 08:39:26	0f35c76b457f164e323ae52cfa47d76c:cC7xqEAUEUnSrQvgcZCcqsU4kcfgmkof	Q1:週美里河堤彩繪	,給康寧樓梯新面貌	,;	172.28.32.53
2018-04-30 08:39:28	8008b68041ba3397f679458ce3c62ea6:4Y9Hat6ae3RfIxapZErnnpuF9Kj0KcGP	Q1:週美里河堤彩繪	,給康寧樓梯新面貌	,;	106.105.178.39
2018-04-30 08:39:37	2129da5c7d30c6b675111c56e83f6d52:2ipDjzajvOwghth7Tv0LpdZAuCM7Fg1S	Q1:週美里河堤彩繪	,給康寧樓梯新面貌	,;	172.28.32.53
2018-04-30 08:39:46	084a65cc9759b0bb5e188e3b003d2ddb:2hoCnVop6nVOVkN4wJnpws2YScHPMn2e	Q1:週美里河堤彩繪	,給康寧樓梯新面貌	,;	172.28.32.53
2018-04-30 08:39:56	078b8a1990c5798bc148b58b4705b79e:NGqfC8MVovwi8V0fpUeD34oMhSl05cA8	Q1:週美里河堤彩繪	,給康寧樓梯新面貌	,;	172.28.32.53
2018-04-30 08:40:06	f729e64b0e6bad68ddac49efbd45b381:JXdfUTh1kaEgc1cmoGz9MbxGY3ZWhH8f	Q1:週美里河堤彩繪	,給康寧樓梯新面貌	,;	172.28.32.53
2018-04-30 08:40:16	75e80d1da0276f8e47f6e9379c58fd4a:n68Ax3fxnL8VyNM0iPuQJDKQQXyfFXZj	Q1:週美里河堤彩繪	,給康寧樓梯新面貌	,;	172.28.32.53
2018-04-30 08:40:32	bcc2a7d241ef8e93e812f318fadcdb66:q5lP189YdDuPKMUVi8Kcej1Y0Xuyb2vy	Q1:週美里河堤彩繪	,給康寧樓梯新面貌	,;	172.28.32.53
2018-04-30 08:40:42	b5c13189ae2bb22ad023b77fd9a1adfd:4VeuBfantsH0F4E5kJJtYAi1Hjr0q2qY	Q1:週美里河堤彩繪	,給康寧樓梯新面貌	,;	172.28.32.53
2018-04-30 08:40:44	9fae017a270bcae9230acee9372a8f71:HiKxKB546EAkShScHM4FErxRS3cqoT4Z	Q1:給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	223.137.213.223
2018-04-30 08:40:51	8b5738c3cb3e380e895613ad2fbffc8c:U79tB39EhJ3vB4aVFNOpbZGVNtGpnS9i	Q1:週美里河堤彩繪	,給康寧樓梯新面貌	,;	172.28.32.53
2018-04-30 08:41:04	a3e5fc63f7b8667f4966e255031dfa3f:deFlqveyEEoE7tJIM1LgfcLUu0KMok2g	Q1:週美里河堤彩繪	,給康寧樓梯新面貌	,;	172.28.32.53
2018-04-30 08:41:11	26602e8e17acecc0e1175a0900b66514:CGeAgw8rUVS2Kq4yl5e6ZeWILVkT0iXe	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	172.28.32.22
2018-04-30 08:41:14	f1f3fda8d6dd253315887f981f8613a6:egOiXXRRx7Q1Gx3RyfFHCQWiLflNjNJk	Q1:週美里河堤彩繪	,給康寧樓梯新面貌	,;	172.28.32.53
2018-04-30 08:41:22	a7d52789a08a685d717023095b77e556:14MKKDrwRbgBBlpHUGnshkp6xucryD2Z	Q1:週美里河堤彩繪	,給康寧樓梯新面貌	,;	172.28.32.53
2018-04-30 08:41:31	15ab4b4661fce0e1b166a949c9e23255:UUso3iZK25owW2hHIVFFD9kECzoFC12e	Q1:週美里河堤彩繪	,給康寧樓梯新面貌	,;	172.28.32.53
2018-04-30 08:41:39	676a235f16e3db0d9609e59c84b936ca:MCMky1Dm6tccMTeYYqASlZncAdSDEgOI	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	172.28.32.22
2018-04-30 08:41:40	87b4cc91763c2bb13eb658ef119dbf30:gy7ZJTOCtBYx3PPcc2ptHQvJOIsHC1bJ	Q1:週美里河堤彩繪	,給康寧樓梯新面貌	,;	172.28.32.53
2018-04-30 08:41:58	1faeb369a12ba093dc36a76e1ac5fea6:RqyPjdNCe2djl7eg3Mv9y2aSPo9jfCZW	Q1:週美里河堤彩繪	,給康寧樓梯新面貌	,;	172.28.32.53
2018-04-30 08:42:03	20553fefb1b7ad2f76bbb398e9b093a2:TZdjxzt04MnStzOZNAMm4AuVjns9nCD9	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	172.28.32.22
2018-04-30 08:42:08	91b6d3e218ff10cacba4268835784004:Bdesy0USFI0Nfy7oc0PGU2EPTVmEnd44	Q1:週美里河堤彩繪	,給康寧樓梯新面貌	,;	172.28.32.53
2018-04-30 08:42:22	06ce59008c31660d56fa0190f578c16b:OmEGZvPF5qFul6di53jyAHBbcpDQ4i8Y	Q1:週美里河堤彩繪	,給康寧樓梯新面貌	,;	172.28.32.53
2018-04-30 08:42:25	557e2497d67a069eb613154a8f638ca0:6bMsQr7rrYbMnwsEc2iiL3OFfPqFK9Hx	Q1:再見泥土，妳好牆	,湖光市場周邊環境改善	,;	106.105.178.41
2018-04-30 08:42:30	7e90972e856edf4082ffe0d9a9b238fb:yW3viRCK1ERnXF4hNJcQwTc8ywzIm3e8	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	172.28.32.22
2018-04-30 08:42:32	a47041092257d1224d47464f2d948e33:IkmdgY33d21bgVgypaOGopr0EklzSpKy	Q1:週美里河堤彩繪	,給康寧樓梯新面貌	,;	172.28.32.53
2018-04-30 08:42:42	8b7b31d88c6d0b25ea234ad8414875fb:kF5CFDX6w0HYyhGyi5J4JltDj3DlpFsO	Q1:週美里河堤彩繪	,給康寧樓梯新面貌	,;	172.28.32.53
2018-04-30 08:42:53	ec89c6f91d9c0f0f8758fb20e17d258a:5btlgQGstqg3ayJDLMNCzMIViqiGu5G6	Q1:週美里河堤彩繪	,給康寧樓梯新面貌	,;	172.28.32.53
2018-04-30 08:43:01	73f826b3071af945066f2d32714428de:NDsyt0yyAUoVg1OW7gavXO4f2M5fmBFl	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	172.28.32.22
2018-04-30 08:43:03	459dd597dfbe462d865fcb4165469917:rTxRlVMVJUMNCib8opQxjeaOYHYxsqw4	Q1:週美里河堤彩繪	,給康寧樓梯新面貌	,;	172.28.32.53
2018-04-30 08:43:12	d4f2ef09b6278ee94dae71871a798ebb:ASwAvheUvIJV2x3uXBfBuS4rZLiuuRZL	Q1:週美里河堤彩繪	,給康寧樓梯新面貌	,;	172.28.32.53
2018-04-30 08:43:22	498e34aa1f04c4ab70a72384be330170:apsar4HJVEIBR2IazH8RfOR0V8BisMIP	Q1:週美里河堤彩繪	,給康寧樓梯新面貌	,;	172.28.32.53
2018-04-30 08:43:32	f4fded583f37870f95bb29aaba10808a:g1f2N6XjMO9gw57XsxzLfU398WVNe58K	Q1:週美里河堤彩繪	,給康寧樓梯新面貌	,;	172.28.32.53
2018-04-30 08:43:42	b20afe32d49c684beecc68d22f8699fe:goMUsVpNUnnPcIN8UxnOVXSUj9Xl6qUZ	Q1:週美里河堤彩繪	,給康寧樓梯新面貌	,;	172.28.32.53
2018-04-30 08:43:58	4b49a1d0a8b000cead582478a0e9986a:5qrQVot5mbK6bQVejL9AcZ3y2jw9Qhee	Q1:週美里河堤彩繪	,給康寧樓梯新面貌	,;	172.28.32.53
2018-04-30 08:44:09	8ee1e983647bec4e5c7ee6165c44d03b:Duvu6Q69ugn2dVsGGtIsnNCRRvlnCmAe	Q1:週美里河堤彩繪	,給康寧樓梯新面貌	,;	172.28.32.53
2018-04-30 08:44:10	63c6b0f89e878140f71fd1bef6e77f00:3GylYoFhvXgjxAfSLBF8FXmdmQQFV9Qe	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	172.28.32.22
2018-04-30 08:44:22	9fdf1954d26adc039e6e5b6b908fb105:iNRRKaJxU2pCFLV3lpRXS5nDvJROZAsI	Q1:週美里河堤彩繪	,給康寧樓梯新面貌	,;	172.28.32.53
2018-04-30 08:44:32	70213cba51aac89c4d575b3fca6725a8:V7LQsybc0hw1NFjvYcbZ9kxNNCU5h1MA	Q1:週美里河堤彩繪	,給康寧樓梯新面貌	,;	172.28.32.53
2018-04-30 08:44:41	725c5aea4af6e8372ecb685d0e25a62f:riOGCE3MshegrtlxF1JMrAQ2WfKdafOP	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	172.28.32.22
2018-04-30 08:44:43	5e80610df0a269b37e7185336e2745fb:YoTTCIhnvfhjxKc8jrJoK0lsCdj7fyY7	Q1:週美里河堤彩繪	,給康寧樓梯新面貌	,;	172.28.32.53
2018-04-30 08:44:53	271ffe75bc33ec34b1dfe99245fb47ed:LXRgaeioooQza5Gs5LMLYJ0MHc6j8aP7	Q1:週美里河堤彩繪	,給康寧樓梯新面貌	,;	172.28.32.53
2018-04-30 08:45:03	d077844418bd5db651679d828995b6dc:NQ874ttFQkQJWauC5XtRZbjcsW9Ph3WV	Q1:週美里河堤彩繪	,給康寧樓梯新面貌	,;	172.28.32.53
2018-04-30 08:45:04	3f72cfa4a23f8fd825832ae69eddaf67:KW5FAFUhht0MZbljzAajccgzzITTgQEw	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	172.28.32.22
2018-04-30 08:45:13	da2ca2c8872740aa0dedfaff6e6bbce0:xIJZiHHM50hO0Liwy5Q3JNzmUuXFgjFQ	Q1:再見泥土，妳好牆	,湖光市場周邊環境改善	,;	106.105.178.41
2018-04-30 08:45:17	119df9fae7c177bd502f2cac4d25b712:ZEPjhi1cr8BiQdgLiAsPSV7Dif1acI1u	Q1:週美里河堤彩繪	,給康寧樓梯新面貌	,;	172.28.32.53
2018-04-30 08:45:27	d89b82186a11e6de1c8dea15cd795dfe:bWRLRdJPNCNOXL9syutB3TevlPprhBr6	Q1:週美里河堤彩繪	,給康寧樓梯新面貌	,;	172.28.32.53
2018-04-30 08:45:34	e5a6a0eae42ec4c8473e10304b82d409:mA7KlM1SYwYt9qdRiFEH9PviRr5kW6qM	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	172.28.32.22
2018-04-30 08:45:50	109ad37d4595f99c034c12840684b5e8:hCAQrc3Fgnj2U96OUnLECzKJEeIAKnyM	Q1:週美里河堤彩繪	,給康寧樓梯新面貌	,;	172.28.32.53
2018-04-30 08:46:03	471c8544f4c65f5a3b4f06b0da59e72a:J5Wm2vF5hpU725Lv1wjYxLacNm0ag2J2	Q1:週美里河堤彩繪	,給康寧樓梯新面貌	,;	172.28.32.53
2018-04-30 08:46:15	395e5947d83d1ea77f8d98ceda976b04:aj9dgJcjE1C030SheJABaDoywyDQqv7X	Q1:週美里河堤彩繪	,給康寧樓梯新面貌	,;	172.28.32.53
2018-04-30 08:46:25	f00536841a126518b73b5c0ed4c5c49e:j13TN8eSa3o7n58zdq6DAoLrDdfDEK1w	Q1:週美里河堤彩繪	,給康寧樓梯新面貌	,;	172.28.32.53
2018-04-30 08:46:33	ae0de59dbaadcff5253153d2f0c1b6a8:QulE2mWIZfKlcxYzzhAneI5RH9pjDK6v	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	172.28.32.22
2018-04-30 08:46:37	348feff5d510eeb823233e3de44824ab:UfsTfunpZlWUHRNLGOjvgXAwUoxBaRSv	Q1:週美里河堤彩繪	,給康寧樓梯新面貌	,;	172.28.32.53
2018-04-30 08:46:50	4758af81cca277b426e9b311a7ada806:crhPHkIF3zFQ61Dc5uvSsJdC8ivmEkgf	Q1:週美里河堤彩繪	,給康寧樓梯新面貌	,;	172.28.32.53
2018-04-30 08:47:04	d0aa68b00f97bfd989d1b7af29f293bb:11GFAeIYqviFLYUgHjPyb6blXEuy1ugv	Q1:週美里河堤彩繪	,給康寧樓梯新面貌	,;	172.28.32.53
2018-04-30 08:47:04	543e35a06fa310579963fe827a931674:rGppFsjdO4AtLDfokFGChmZpadZUp6TM	Q1:再見泥土，妳好牆	,湖光市場周邊環境改善	,;	106.105.178.41
