2018-04-25 08:47:12	c3e63d50ee4ab08df3fa2ac7d617cd27:vx0Y12NpHONdgadIblUlmqHAohgjxCz6	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	114.136.191.122
2018-04-25 08:47:13	6db2e7ab1d00db1c22f6c48c1e9981f2:V9gnHOV1d25TcawAhDZ4ycTC0Ajopqw7	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	223.137.146.162
2018-04-25 08:47:43	f3ae7d5254827cc7c1e7443767e5b51f:2RZIb2tVWnpx6bdMDEeSagyWzLyQGHFY	Q1:唭哩岸打石文化,;	223.136.49.237
2018-04-25 08:48:35	d751b4e335fd7a7b6439276511f8ba2d:4dVen5vVq20n19M7TJzmL4ww8x1KqwwI	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	42.77.44.24
2018-04-25 08:48:46	7a24c8fe8eea07ee0d361240d70cde43:O1DEOPrOwyi6e4KKbW2TnWp04fqLyALk	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	223.137.116.77
2018-04-25 08:49:12	d1407ab441e169636dd3adec12795660:GkgyzVLZERCKJyOGDu1L4OeITXBissox	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	114.136.37.153
2018-04-25 08:49:46	1c484b65513508ff0c43d6af2df26e32:tGHMjwAxYeflnxA1iYEUsfbVlwuLkBUW	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	223.136.21.181
2018-04-25 08:50:01	685697b99202569d4178e09a06ab6d26:9SGS0Urk8vcAJ3c3hhkFaAsHEEanoeFA	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	223.136.9.64
2018-04-25 08:50:07	c431cd8a99cabdbb78f7f8246500cc6c:VaRUZYGPQlCFKLrtMDfa4jHzXGYzvvo3	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	223.136.105.148
2018-04-25 08:50:10	877fb57a75ccf565cd94d550b39093cc:NVF6IHvXcTHlFD74u38D4RQ2svQdJWC7	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	223.137.132.83
2018-04-25 08:50:22	53958e4f7164178fc658bbcdec1b22bc:LI9UpnUQBLQ1zyv1nuyJdoA3elC0zD4y	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	114.136.149.248
2018-04-25 08:50:27	326dd2d47dcf600e3ff5a9d062b96020:IujZR7YDG99duC5GbdpHuf4BHWMOBGuW	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	101.8.164.102
2018-04-25 08:50:54	aae0ac98c90f74e0eef9c34172a08103:t2w2TfMbtQVachoqUHoLG7QXuoLN0MpM	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	49.214.151.98
2018-04-25 08:51:02	6671ff9dbac2e4e64cfea641c7413b38:7AY8uc8H0JsDlnRfhMx2kDquHLjPIxWU	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	223.137.79.73
2018-04-25 08:51:09	d9eca6ea1a81f2749d117b8708d4f604:zkVnoD85h3rZbGXiHAXiyws0hulIyWmk	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	180.217.152.62
2018-04-25 08:51:26	97a599c8fa61105e06e855c8233106c0:lnQEQMJviIO7HBvu0W8YTPALSwlFD6XT	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	223.140.131.186
2018-04-25 08:52:22	4b576959ad23f34206e856e586f70cf9:kqUyDL0RVBaorEk6LYwa2STznCVnkU1h	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	223.137.79.245
2018-04-25 08:54:50	9c6bb8c88f9c7e1b6dabf60625ad022e:TT4JwWdQFROVmw6Pk1h6MnWtkkmBSiuC	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	223.137.79.73
2018-04-25 08:54:52	38fd70b41376fc3dfc26c0bf0bc94643:5hSiRCKFLSL6Zg7vYlwmdKjcRdqkkU5w	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	27.242.64.77
2018-04-25 08:55:06	d6062f6fa73a67c2428686d2b1c10724:Q8V5xKvJmX0mOKrvBn8qz8dCEbSIGdbF	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	223.140.198.181
2018-04-25 08:55:44	9156f56bc35a42955b1e0ac99132d6a9:vFRxASEBfd6Nlp83FgO4WvOOIRYD1s7x	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	101.15.198.72
2018-04-25 08:56:01	997c2b723e3bdcd95ddcbfb5a7a1db09:fuecXhxU9mDUVIWK6LsuFNVnPK1XTXVP	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	111.71.92.224
2018-04-25 08:57:15	0971a810a54a0b5a30a8872870fb3ba1:Q93j7QsK5v0UgwYMEj3cExtxAmNoB0mP	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	110.28.228.34
2018-04-25 08:58:14	86fafe14aace53a3f69fa8a8e093b3b4:ErhliqhHWgJwWeaYJDxXlcpSBDGWshLF	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	39.10.8.128
2018-04-25 08:58:24	0c482ae1130f4840e09dd842f4f33a68:3qnPPKCehuffnpPhxlZBm7efBRVPneSc	Q1:北投區環境資訊2.0	,;	49.217.91.89
2018-04-25 08:58:38	7145b4eedbefbed2944d4f4f8f4b6cad:KSzkObhHw5zUZE6SjqWFsYzMa8uvd1Wq	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	103.226.215.123
2018-04-25 08:59:11	90f163155601220c75e0c833e7624c23:Dk0LiXOvVinda6V0rwtLuuy4i4o1LjTC	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	223.136.26.71
2018-04-25 09:00:52	8cbe72e40d56395a73c484f91bb2cbd1:JCAkXxJbZ7ooF6aUEp2sx2uv3HXAc487	Q1:唭哩岸打石文化,;	103.31.196.193
2018-04-25 09:01:36	dec1a2eab00167a1b20694f0abc7697f:LJb65V7350jAol8foP1XMQ6hh3juw8Hc	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	114.137.249.87
2018-04-25 09:01:46	07f36eaf65c7aada54bd1dfd99a7cf03:QIT1Y42Kh5vMw10Vnt5YjA0JYrGC41It	Q1:北投區環境資訊2.0	,;	49.217.91.89
2018-04-25 09:03:00	6502790f4889b95aad4efac142e65320:JwtNtTWDHkNwOtZceHyAqojRUFquVZuA	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	117.19.64.26
2018-04-25 09:03:36	f2a4dda5d1010f67c5f91a58dc9dde30:JBnuUrESmuJp1ZymGW2XpRSCipFekWFq	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	110.26.97.32
2018-04-25 09:04:26	b4aa761e71fcf43711b89be54fae8c5e:ImfPaNGoBIU2siYsPRMK8HJWsBtJCWiy	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	114.136.161.34
2018-04-25 09:04:58	c8fba348fdecbbd956a6c4004fdf8372:cGD4cvemLCaZ23VVi0UPCpGo8xA5Amsa	Q1:北投區環境資訊2.0	,;	114.136.248.94
2018-04-25 09:05:30	74f9725feefbb568f6dc73779f777bfb:szP6HBIRVvRhyWoZlb27aLF9qw2PdcgY	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	223.136.140.59
2018-04-25 09:06:53	368bddd4ce236499cbdcb91171b8cf8f:eF3qb7NcjF4C4uVRkiU7YwloVwjWHCcA	Q1:北投區環境資訊2.0	,;	49.217.148.39
2018-04-25 09:11:19	988e8feaa7b4b3981e111955b6afb646:2ee6PVkjg3mqJMFWnGqPMP1bKOfuQlNd	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	223.137.79.73
2018-04-25 09:13:15	c2cd509ca083218e10dfb04a591269d9:p2ibIf27x9ZrOeFQiaxykZY9Ls3jTPSn	Q1:唭哩岸打石文化,;	49.214.229.122
2018-04-25 09:16:16	2aa03da1b4d76b22b85a1c1e9d5f1f4b:a0nL84eagDP9z4vguwx45Oz5cBgIBD8e	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	223.137.79.73
2018-04-25 09:20:54	cb710d35be9649d0c8b8cad42f43d7ee:oUwh5qciBZqcRCQleFrUp3kxELXTk9Jf	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	1.200.212.140
2018-04-25 09:22:19	84629d4524a03156c80f2a0886051444:XejgXg8ZNIJA2sofBIFOyBYMfF0MloWj	Q1:唭哩岸打石文化,;	112.104.139.170
2018-04-25 09:23:09	b4f2542c426cf4fa95fceee3cea57601:N4fJsPm5pk0yaxAebz4mVCO1Yah39CMO	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	114.136.161.34
2018-04-25 09:26:24	87eed47ae512b97b6e923c5bd773e822:nmHjtSMtfHUHhhjiRAdMwTWxDYPKNyIK	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	114.24.53.247
2018-04-25 09:29:51	1078df06e29aa49340d856e37d68ab3b:fAMrKsf3avYzRo9yhkkHwWQmsdGNC8up	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	140.109.137.92
2018-04-25 09:30:43	60fb76176da52af40376b6a9f3760ada:CmTWaGuo5K4zLgohvB63UDVjkWlyXCQn	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	180.217.152.152
2018-04-25 09:33:27	788f21d671c76535e173d862b1ea3297:gk3rQ7LwFHvZnJykHxid24tdxlSZiNad	Q1:北投區環境資訊2.0	,;	223.137.199.230
2018-04-25 09:34:09	84f5c455af00347ce8797f478334e2de:zCPq9pdyZxZjnU5wXqRpjWNHRpoBoYtr	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	223.137.139.241
2018-04-25 09:35:04	6335be6a43e1d7f629e720a01d7d4c46:fUCSYhrLSVE0DACffeBlVP2WbbFee8Um	Q1:唭哩岸打石文化,;	180.176.12.122
2018-04-25 09:37:34	6d9a3285f735f0eae52823082740d0d9:J6wsrA6FXX8k1iQ9mvfUlgquoQhEh3EO	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	223.137.139.241
2018-04-25 09:38:50	76bbba4eea4f5befaa77fac4db78e9b9:oW05RRXjzWA09vxPQF5iCiq5d89IPRLM	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	101.10.50.136
2018-04-25 09:39:03	2b30166291ceed8fc0e9dfb8a97bf2a3:6cY3ypdt6S499qggqvPAFXiHyrpu9YSt	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	101.8.192.224
2018-04-25 09:39:15	c2b8d1ca4936c4f39cfd027c0f8bfb8c:CX1oEKXP9moH7Jg1TYXdBS20JYpysc29	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	101.10.67.69
2018-04-25 09:40:02	ef9173adab22684602d440d70fa35feb:0twV54x2EEJnDlDwKKXBx6hkhBB9hHbN	Q1:唭哩岸打石文化,;	123.192.69.56
2018-04-25 09:41:40	93cf219fcd31e0ef5b1758a2de1fa2cb:mAxdM6IPiy3gf3V3LPoRkuGM1n2YHxZs	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	180.217.133.253
2018-04-25 09:47:10	b76127dca2f534b0bc7d8b524a695b96:L7Vzy0hXNKH6QVt7zvptnoa7RfOvBudi	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	61.220.196.65
2018-04-25 09:47:58	a08a89351677f2047e46ecf049aea63d:qrKAQpE2ROr2dxBzUp3TltKamoViJjip	Q1:唭哩岸打石文化,;	27.242.202.218
2018-04-25 09:51:13	b6abb16ea999c6214314182aabd30619:tNHrmvqQgfxy3w7p8HGq0oLMkxFIbVVQ	Q1:唭哩岸打石文化,;	223.136.101.47
2018-04-25 09:54:56	0fb6ccdc1a0518cc9564267583108ed0:ekqTE2kvBBM8PoanKkvgk0jRgd3jFMQp	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	101.10.27.23
2018-04-25 09:55:48	4a4e9d61e247974687b6617e5879c629:sL148yhuMpYqhmfMBXynyJQs8pUWjZJb	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	49.219.129.161
2018-04-25 09:58:31	cebc5b4176ef1710178ef766668fc800:xo0kOq2qweWSsLuJbgAcDIEFJbdL1IWU	Q1:北投區環境資訊2.0	,;	60.250.168.37
2018-04-25 10:00:51	3fdd0e08d330c2bb377f7fbdb7d53cc3:aV98ScTlsQ49dMsSkoJR4dLTELYb7crf	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	49.217.119.8
2018-04-25 10:02:29	a125c7ca2cb77e6b4811ac7749e718a9:JYXjvUvqqDqy5RZUb8EzmwZWHmA5kNsi	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	223.140.24.70
2018-04-25 10:05:13	06cc0c3fd30003b3afa10ed9886bf01d:4tr2YGBJORGlyv2IYmdVUH3wScWYPtLn	Q1:北投區環境資訊2.0	,;	223.136.101.47
2018-04-25 10:05:16	43412dda187ab2e7de16f3920555355f:5zaeOznKINDfYW11SP1H1WwyjSYJb8DG	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	103.226.215.123
2018-04-25 10:05:16	deec6d18aef35e3ced5e4db729847470:GrJ0pDxinbzvXTpXr5mRGnYqm7sRYxKA	Q1:唭哩岸打石文化,;	117.19.209.218
2018-04-25 10:06:07	308867b71f4d3af50cd8effa8466ffa0:0saFyWtALO64Fa2PIOUnehoxPhGw68DL	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	111.71.94.133
2018-04-25 10:07:36	09537b77de0203e4cdad4f14b621a783:ToWI9idYxoSCGpr6h1EcS6PVVuwwmqhT	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	223.137.101.251
2018-04-25 10:07:38	23aef70a3b753c8b9caed75aaf4bb626:Q1X3ZTA8tiAT2VyMSo80IL2mQC4HkT7k	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	223.137.159.234
2018-04-25 10:07:39	0bd69b1ce16a4a1f6dbd0703bf18aa51:MbVhJYGZGX6UNdKSLskMzXUuEwRcFgNg	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	103.226.215.123
2018-04-25 10:07:49	2a6bb08530f60c29e08f4140cb61982a:10JhVg4wK4zIWm1cOlRmyRHZQqZwcsT6	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	180.217.142.185
2018-04-25 10:07:59	8833742ef2ddfbe11a839e927c139ebc:i7WnQgnwry05tzlt00Whf8MCzY99fIau	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	101.15.132.137
2018-04-25 10:08:55	f8a82ce000153b2c519d8f57ef315469:sxGbFiJ8o8ekR5QeBraX8RaghMN4VQjl	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	223.136.183.253
2018-04-25 10:09:07	a6ed564320356ffffab0943d58611015:JhnH0vHGLGkRYTYKiwDNDHHukq8iNPzr	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	27.246.199.86
2018-04-25 10:09:26	e209a1b5c5cce31997e981129ecd4c99:iCv1mUa5AxhuUjcwgyxEiT76TKHcDEZC	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	49.217.103.125
2018-04-25 10:09:30	70c09b5b9e2bf5012de45043e1ef9899:3J5k1zN3jUMJwjzf614ZDwIDrio3qMat	Q1:北投區環境資訊2.0	,;	114.136.60.152
2018-04-25 10:09:35	e87a08c5650d928226bf99d27f335392:UziLxbq9DcqvYWetx5nrPQXwW7oZCdbO	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	110.26.44.0
2018-04-25 10:10:08	f5b4f03c036c9793cd6a82d2c1240901:5z9GE6jKzxcoN1KOS0ZywEJrlsC4u0H7	Q1:唭哩岸打石文化,;	101.15.192.254
2018-04-25 10:10:51	8283ebdea0dfdd8348f2028b670b768f:pvwdh8zfrSLnoPlfJLv6uCFFNyBWqWnc	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	223.141.247.113
