2018-04-23 08:38:36	73c9a5b19e5782409a2e40757b71444c:QFrZRTARs82WHRyLHk6jA4AfcmYgUAzF	Q1:景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	223.136.23.94
2018-04-23 08:40:36	a40e72391931c55a841cd0176ecd1a66:IOWk8oHHH2oUq00dLnPjMc7fYp0gJKTa	Q1:景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	223.136.23.94
2018-04-23 08:42:04	0592dd08a7324ae6611c38e9923af1b6:iC5hohiRQ0yoOvYQUp67uuDoZnWYaodl	Q1:景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	223.136.23.94
2018-04-23 08:47:47	bd25013046382f1344e098bb6596c922:nRmkTynTZnKtJ2qJutJ73j2KX5S39ksy	Q1:景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	223.136.23.94
2018-04-23 08:49:32	419cdf15111e398baae60cc1210ed765:EvK4yekpzLEYAr3HtRagSTObvhuZyAQh	Q1:景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	223.136.23.94
2018-04-23 08:51:09	f2e4c5400231570a8c8f51f77377a88d:MvoygB7M56e9Kb3p62DZsHucgbxby84C	Q1:景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	223.136.23.94
2018-04-23 08:52:43	d9e78d42b39d327c99b771fe5529c131:yF1Wr5QFduFbJEiZzkU8qVEoLAsFm5yc	Q1:景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	223.136.23.94
2018-04-23 08:54:26	4b513f9199e05a21bfb2e6ccb001f5f2:KGYI6gobJtj68EWGV3tHjX6rSCM4nXWi	Q1:景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	223.136.23.94
2018-04-23 08:55:01	dd53c65f3bc953a87b3f3660d0442958:FB8hLpAbjE7IHBfPlZg35EESVmNP3PTn	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	223.140.45.37
2018-04-23 08:56:05	6a536b71f6de7eba88620f0a52f0ad65:0gfhy9gPMjJMavOAQE6kEw5AHlzF5LUC	Q1:閃亮文山．越夜越美麗	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.147.132
2018-04-23 08:57:22	90a9c542ed569543baa6d27cbe934dc9:yBw7aovMlFVVrx9S8h6z2NLlo66WYVlX	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	223.140.45.37
2018-04-23 08:57:28	31e13bfc542f79530551f2133f22527c:WOQH9fOqoMT3A9sa01VGopXTSlPRVDKj	Q1:景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	223.136.23.94
2018-04-23 08:58:28	903528b2c898fb5b9739fe158375641a:nnlsNudiXMmO4Z2vZYuOqV6WY5alF6sI	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,;	223.140.45.37
2018-04-23 08:59:35	1c8191bfbdc527b79902a614f9695e8c:DyACEL2aadRBYxWMLQjTYuu1DezAotvm	Q1:景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	223.136.23.94
2018-04-23 09:00:48	f81fde59f69c6c11014af506b779b0af:QmC3W0iRBKuQXXQHyK5XTAdSMCg9jEuE	Q1:綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,興隆市場增掛電梯以便民案	,;	1.200.217.23
2018-04-23 09:01:42	b983eca64b4819242f99ca44d1d52a96:IEWn9RZBuLkxVfAz7mmh0XNGJODDFyAN	Q1:景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	223.136.23.94
2018-04-23 09:02:07	e7090bf7f20c94b739edd6abd3bfd150:55OQXVKgIQssBnHSt7einBSLl0o9VZt5	Q1:閃亮文山．越夜越美麗	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.147.132
2018-04-23 09:04:13	9678bd8593925f1786899e002cc3712a:aN6UFR6tTKxH6l8gRQod4b48fJaW24be	Q1:閃亮文山．越夜越美麗	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	223.140.45.37
2018-04-23 09:04:42	add42cad2c8c11d73a2c50b23eee7076:bsaCRir3J6xScp3rOeF048oKF0GHdwmb	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,景美一定行	,興豐熊讚親子主題公園改造計畫	,;	223.140.45.37
2018-04-23 09:04:46	848d4ede439f628a134d7b36b8cebc4f:ngLGcfSVBfRwzinqq4JFfqEZmEYMoRH3	Q1:景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	223.136.23.94
2018-04-23 09:07:34	6088da6dffc07e2e9d29518c89d6b000:jWFar4pbiPDQmfJAr9n3NoNju1GFM1wI	Q1:景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	223.136.23.94
