2018-04-19 09:31:40	32b2a424d1356dd12c35da8026ad42e7:gOzoy90ouWJKm6VNs0fipsG0yUfP1GjG	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	172.29.120.140
2018-04-19 09:31:40	b3f5a19f68027173993a4b59a383c842:e2o6Spq2GsMzyfA1W1NkXYz9nsssZ7JB	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	223.136.228.208
2018-04-19 09:32:35	56d6eb8939db3b93dcdfed4001ef336c:k9KpZE4wQnWRMdaWaMPF2TiOUx3laP09	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,;	101.15.10.232
2018-04-19 09:34:06	e60119e1527e7d43db5b4ef8e8f989d8:oEwRDnnkFGG9bd5EQtyBNUdDT0VFXOFi	Q1:信義後花園-松隆映像	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	223.136.228.208
2018-04-19 09:34:52	939aae36c2a5140b854ee4c055ad2479:sqrZLM00SeUimX4m1TY1jPdOdj5aHFst	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	10.24.1.13
2018-04-19 09:35:01	c21056f5a414f72ca63e34a427170a78:N5zOlWkMjx059uJpuwc4SEITaLYw1XTT	Q1:公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,;	10.24.15.118
2018-04-19 09:35:27	752c1d2814643a380671d30b73eed7d7:Uuv7378Ut3Hc5Rxz1mJvWskTC83WfzSu	Q1:信義之星-中興里區民活動中心	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	223.140.101.78
2018-04-19 09:35:39	0cc78e464bbe92e969cbba28fd436f74:dzDLK4OUUXns8J5VuIuSlOFVYjTikvY9	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,樂活後山埤一號計畫	,;	114.137.191.180
2018-04-19 09:35:45	73ba4c3b8e99d94216a35969e0873275:Fp09Q0gngOUjO8vlQMc3VfqoAE9OVqzB	Q1:信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,;	10.24.2.10
2018-04-19 09:35:58	97cb1e285a1fa466aa6dc5c93f9987f0:FY8hxa3REzNehEnwUmCoXwk2PtfMuctS	Q1:信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,;	10.24.1.18
2018-04-19 09:36:50	4cabbd274ee2c0829d57a6a9960fe96e:ECkFtXIOgecwg6UYi9fD5kqCyUWwRVsQ	Q1:信義後花園-松隆映像	,樂活後山埤一號計畫	,台北市新亮點最長巷之前世今生	,;	10.24.3.7
2018-04-19 09:37:01	c0dc1578c3a85e36caf81e82f09472f4:hKyGRrG1YxHMNbToAAf3G5Wkmkh4kuh1	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	114.136.85.94
