2018-04-22 00:22:58	a99de6ae5d54f5b1509780caff18fffb:WIulBGmP9GvRuMOhJ5oqcgVDzgwLzu9X	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,;	58.115.133.176
2018-04-22 00:23:26	1a552969f4aea4176acfef0c2fe27ab3:UP1xBCL3KcWVD5nllmkl13WLJKAMdRh5	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,;	58.115.133.176
2018-04-22 00:24:07	2383a15ef0b0306fb379fa67f19b0c72:I8ZD8cFsDpuqyVcwrMoK7bcVKBxGs9Oy	Q1:百年觀光新店溪河道再造	,住好住滿	,;	58.115.133.176
2018-04-22 00:24:44	33477f6860060ddf039bf26aa80be639:p4Qrpz11VyQSbS1WHBCdC3QbSusSqw1d	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	42.77.221.122
2018-04-22 00:24:44	6dbe282b0dac7e735b55417b3826cabd:aqaT2Xxmzqw3FcBhhHNoSmvkTabgHZqW	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,;	58.115.133.176
2018-04-22 00:25:25	b05c557a28f93645abaef39d2f55447f:w6pkdnXxaocwGHyaXIHtL3omxzf3qqEW	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,;	58.115.133.176
2018-04-22 00:26:06	30b31ef558084b2aac79e0d6ea6b6a95:sU277ooLESM1HVZbsBx4Jzb2d3EZHXYH	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,;	58.115.133.176
2018-04-22 00:26:33	91dc82e844dc6f8af15d540eab2996c9:EiN5eAlLgWxIPDO3ti0ocKjpVrWHzIPx	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,;	58.115.133.176
2018-04-22 00:26:58	e8278c497dc1574ab04a85096b5230ed:YgNeKR1DUpMDFWuiTKKIOPNzPZGqCqJx	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	42.77.221.122
2018-04-22 00:27:06	feda3779d90b0372e34e041aad3e16f0:gVmv3yVIpcAdajufm2DGsRrKKHhuqQKz	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,;	58.115.133.176
2018-04-22 00:27:52	fb80aae07e559ac7d0f10184c6748adc:RsSi4igiGKHq6y7qyToZSrtu6y1smnyd	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,;	58.115.133.176
2018-04-22 00:28:33	0216dd34d7e00da7d399b680c7dc5dd2:rXim4Majlhh17rYTXEjcpkPVVFSksN8A	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,;	58.115.133.176
2018-04-22 00:29:19	eecce1b3bdc5a37061dd44b1a48681d2:NCKKyck2StvGxcWXX4wquDbTFwUD6BFP	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,;	58.115.133.176
2018-04-22 00:29:49	fa91dda1ce1b8d13e31b8ed491cbc0f3:vMbVTlvItH8DTMQsfJIo71pQAMz6TXZc	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,;	58.115.133.176
2018-04-22 00:30:19	35b953aa46296e07fb324c23d0c65252:j7kEfwlMLkAVtCcXaH7rxgFZp9QTV2Ng	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,;	58.115.133.176
2018-04-22 00:30:47	96bc5a98b39273301fb2c3e8145131d0:oJ4nOVIyUXTQS7RvuRaLyqcJmMXv6SLv	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,;	58.115.133.176
2018-04-22 00:31:18	f11eda580ee93e0e16ddb5024e992e72:7kRkTLa1UJXW3envSzcMawwxV2MRVXby	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,;	58.115.133.176
2018-04-22 00:31:47	5a4d76c6a2e3e51f9e86badf7ca9eaa5:uAeikny7IrBGA8ZZlPJ4q84CEDcNhfc9	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	42.77.221.122
2018-04-22 00:31:47	574ebfd5521ca91afd51f7af174a6538:pF3jN4VxhgUpwYsMsZ3NP170CrzQuKw2	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,;	58.115.133.176
2018-04-22 00:32:22	3007b5bed815fa2f918eb9465ce9e42c:1iMc9WmMuW2Zz5Fa1nu6ZdkSDvmsLHEb	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,;	58.115.133.176
2018-04-22 00:32:59	304dd9c82a04c4d22d2e04d27f398c67:ucJomC4H5NKaor1BKrCBNbUtmQZ5yblw	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,;	58.115.133.176
2018-04-22 00:33:36	9816463cdd84d8c9642874d9032ceb75:0tXOF27bdossHc5j25aQXK2DEnWhtiFv	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,;	58.115.133.176
2018-04-22 00:33:38	21d4578d9b105a3dc0d3a7ccd2b0163d:6HOqc18ab3ITlpJfNk7q5bP15NmY06vM	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	42.77.221.122
2018-04-22 00:34:30	5bb8ecc41f9256f3f54ebb57dca6f9b4:I5wMlYsI4sJYdPd96R0c10tTVfp2ByGv	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,;	58.115.133.176
2018-04-22 00:35:05	9ca1353ae37c22bb8b001321febe6aad:dCCIHx7mP0tjwWqlnQa1cMJlSmqNEJxo	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,;	58.115.133.176
2018-04-22 00:35:26	3a2e72c7b0b4734776588847d3d483fb:Shp61tDdOoHTiJPqeTvVo3HxCtH4fICS	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	42.77.221.122
