2018-04-23 08:04:10	c32556720e9fe92e07d2bd55c9689681:W0NgmWgUW6OS6DDEF9V21VSXKpDsUjoS	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	223.136.73.53
2018-04-23 08:04:18	d00353142f9fca5b6ee94704a43b77c6:CD8xeRj6dBj7O4TG6a33AEsag7GGL1uV	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	42.73.10.6
2018-04-23 08:04:18	b7a7d4942a271f81db478fea2f51415e:1N3NIlWadDKJYW3ssXZnkSaIg3sTtxoR	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	180.217.137.41
2018-04-23 08:04:28	84e1a3caea0ac9d64c961a151b530043:V5dZHQAFsxBeLPSRJGJQog8p89YMrmG4	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	49.216.7.206
2018-04-23 08:04:31	c8753e2f38f794dd83518ce772a89080:zhNnoEVypi0dCJcOtRkXA1U0lDO2fNjz	Q1:軍人公墓景觀活化,南港區公用WIFI增設	,;	223.136.167.248
2018-04-23 08:04:32	93e2b3c517954f6cca5bd4af7da988c8:kPKuFVu06slzHYryDFQtQqxJpEWR4ivi	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	223.140.81.101
2018-04-23 08:04:33	bb6080680b364c80ecc6aece4a31adf7:DijswbRbRsChIHyH3ZbEXqx3IXyJU0GM	Q1:軍人公墓景觀活化,南港區公用WIFI增設	,;	1.200.206.225
2018-04-23 08:04:44	7bc475ebed46ce345f3c965656a86b27:LOPmmaF1yAQyWCpN3O5YcOH5MRc06Qi4	Q1:軍人公墓景觀活化,南港區公用WIFI增設	,;	101.10.51.216
2018-04-23 08:04:53	9133cdcdd06c6cccc9682fe5d67e3c6b:BC7wOlSYyIo2IOcx81gEMpdz0uml0cuM	Q1:軍人公墓景觀活化,南港區公用WIFI增設	,;	172.28.48.203
2018-04-23 08:04:59	738d40855d2e20c46135ba4984aeedef:SuGNfgx6YtcT4UytkycwKbeD7P5QuKRo	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	163.21.222.234
