2017-07-04 10:18:16	3a8f675a3935bf18bc65333bd132a2b8:xPMzhEsXlYzS0SX87jW2OUNKWGvOhLj0	Q1:信義區方便計畫,信義區四育區民活動中心,友善樂活社區─公園再造計畫,東大排新綠徑,;	172.29.121.69
2017-07-04 10:19:49	ec0e6c26d1e1975fc9bb2251cb3e86ab:HsqBilTl6ohQeQnZw7ypORdXgE7y2miR	Q1:信義區方便計畫,信義區四育區民活動中心,友善樂活社區─公園再造計畫,東大排新綠徑,;	172.29.121.69
2017-07-04 10:20:00	f2cef915bae0370812c5bb3dbd9a1585:5lbh3GKlAIuGDml5ifS2u3ceRWWQdkjO	Q1:信義區方便計畫,東大排新綠徑,象山心入口,象山好行,;	114.136.76.125
2017-07-04 10:20:33	f5e18a297cca6a58f7264f46d76c9f7a:cw8XrPWF161o1Y8EhZdt92ZKlEzfLY98	Q1:信義區方便計畫,信義區四育區民活動中心,友善樂活社區─公園再造計畫,東大排新綠徑,;	172.29.121.69
2017-07-04 10:21:23	a3112f03c1dc1be3a4fdbe6a9eeb34c6:qJHzOCO7tpJzhSHfGVyyBa3PECEh3lxh	Q1:信義區方便計畫,提倡綠能香格里拉作伙來!,友善樂活社區─公園再造計畫,象山心入口,;	49.217.1.14
2017-07-04 10:21:29	a1d3de86ff1f6d2f3d4f7f9692a4d079:ThVgYYlzmn11SfBr4naL8C8BU2dCh1wt	Q1:信義區方便計畫,信義區四育區民活動中心,友善樂活社區─公園再造計畫,東大排新綠徑,;	172.29.121.69
2017-07-04 10:22:02	004ed3dbb887562defb8c05b0dba61e9:bhY4AcQRZSUk65o7Fjp71YKRxtr2eeef	Q1:信義區方便計畫,信義區四育區民活動中心,提倡綠能香格里拉作伙來!,友善樂活社區─公園再造計畫,東大排新綠徑,象山好行,;	172.29.120.140
2017-07-04 10:22:13	4a2906c7286497000bf653d2eedd7b9a:PkruhLWGKyqQiAGWbmSni3vCGcJn5FZO	Q1:信義區四育區民活動中心,提倡綠能香格里拉作伙來!,友善樂活社區─公園再造計畫,東大排新綠徑,象山心入口,象山好行,;	211.79.136.2
2017-07-04 10:22:13	b462f0ea64023c75d85d757214542c89:xxfzCtPM9wlQbr46AGicRE546dMkY4Qr	Q1:信義區方便計畫,信義區四育區民活動中心,友善樂活社區─公園再造計畫,東大排新綠徑,;	172.29.121.69
2017-07-04 10:22:52	55b6eb277947cb930dd0f73c8f4c3fe8:1qfPJypHDfCEYe76ID6DWTyGAkprmbcE	Q1:信義區方便計畫,友善樂活社區─公園再造計畫,象山心入口,象山好行,;	10.4.9.60
2017-07-04 10:23:19	e25fdd1e549302d61ca0e8b592d26a23:gxawsehcf26EM06SmqdoXoHzseAkvnDk	Q1:信義區方便計畫,信義區四育區民活動中心,提倡綠能香格里拉作伙來!,友善樂活社區─公園再造計畫,東大排新綠徑,象山心入口,;	172.29.120.140
2017-07-04 10:24:28	fa45070e90fd14a51f34f4ebdd5dbfb1:91IElH69BbsxKL3JaFP6TKjhcor5YfT7	Q1:信義區方便計畫,信義區四育區民活動中心,提倡綠能香格里拉作伙來!,友善樂活社區─公園再造計畫,東大排新綠徑,象山心入口,;	172.29.120.140
2017-07-04 10:25:36	cd03ba7fdd2bf7e0406b79deb4b279a3:pLNfby8EejZvo4NgNXtdMnWObZUndWNb	Q1:信義區方便計畫,信義區四育區民活動中心,友善樂活社區─公園再造計畫,東大排新綠徑,象山心入口,象山好行,;	223.140.102.199
2017-07-04 10:30:26	ee7b839e744498f1c7f8adacb9e81590:XiG7ucjAqhJM5eYxSoKLG0YLqvQlsMWZ	Q1:信義區方便計畫,信義區四育區民活動中心,提倡綠能香格里拉作伙來!,友善樂活社區─公園再造計畫,東大排新綠徑,象山心入口,;	211.79.136.2
2017-07-04 10:34:26	ba522700be51c7ac67f294adfd1bc21e:K9yQgftVCvJtdKIBpQaEhCu7C0e9eRpv	Q1:信義區方便計畫,信義區四育區民活動中心,友善樂活社區─公園再造計畫,東大排新綠徑,;	172.29.121.69
2017-07-04 10:35:26	23c937981bd0913d37c265987f4a4dd0:BlTpO9C0Wr1sjn5Ool3muIsL3x5mvJN9	Q1:信義區方便計畫,信義區四育區民活動中心,友善樂活社區─公園再造計畫,東大排新綠徑,;	172.29.121.69
2017-07-04 10:37:42	99e5bf63ed764fdf226f15b6ba23f4a7:FtUdp5i2RSceEIJFH3xkwpXJZbC6YrYG	Q1:信義區方便計畫,信義區四育區民活動中心,提倡綠能香格里拉作伙來!,友善樂活社區─公園再造計畫,東大排新綠徑,象山心入口,;	172.29.120.140
2017-07-04 10:38:14	25fc717d5401d19cdb23febf7ce3cb70:YFbgG2G4ujFNDFK2z66emKgrAJ7KLv7J	Q1:信義區方便計畫,信義區四育區民活動中心,友善樂活社區─公園再造計畫,東大排新綠徑,;	172.29.121.69
2017-07-04 10:39:08	26ddb79744a40d598909823cd59c6bb6:pAujf2ZLXY0Oxz6Fr8iNb863cS8jpHVs	Q1:信義區方便計畫,信義區四育區民活動中心,友善樂活社區─公園再造計畫,東大排新綠徑,;	172.29.121.69
2017-07-04 10:39:58	6be9e8d94e953e4ed0d11500ff2527d5:qJRJklglO4Kw5hKLCDqKLiSkDToMJ6po	Q1:信義區方便計畫,信義區四育區民活動中心,友善樂活社區─公園再造計畫,東大排新綠徑,;	172.29.121.69
2017-07-04 10:40:41	ce930ee3c86e1bb8af605592f170cc82:Yekd9ivrfpwH5Qi3vSPt3AEC03joeSeq	Q1:信義區方便計畫,信義區四育區民活動中心,友善樂活社區─公園再造計畫,東大排新綠徑,;	172.29.121.69
2017-07-04 10:41:28	00a961f3806dceae889cce5fec17af12:V7kKd5zdMBGjEuJvUKSMM4vDylVMibGn	Q1:提倡綠能香格里拉作伙來!,東大排新綠徑,象山心入口,象山好行,;	172.29.120.193
2017-07-04 10:42:03	e50f6799426c515cac0842c315a47fcc:TYn5bh6xzGu2JPc1IUWDgQrj23lrEtvH	Q1:信義區方便計畫,信義區四育區民活動中心,提倡綠能香格里拉作伙來!,友善樂活社區─公園再造計畫,象山心入口,象山好行,;	211.79.136.2
2017-07-04 10:43:46	7f1c2a8baad85a1750bf6de7e4ce3825:O3WuNzANyFBXefTWE2zAddvwiZDTZuZU	Q1:信義區方便計畫,信義區四育區民活動中心,提倡綠能香格里拉作伙來!,友善樂活社區─公園再造計畫,東大排新綠徑,象山心入口,;	223.140.102.199
2017-07-04 10:44:00	a128d0963534120bf87ea0838e92aa97:Xaib81ACxIpSwL1iiXuqJk7dHnio8igj	Q1:信義區方便計畫,信義區四育區民活動中心,友善樂活社區─公園再造計畫,東大排新綠徑,;	172.29.121.69
2017-07-04 10:44:22	117d36acb63e434005fe2f10f46c5905:hJP53UX0uIgM7PdwIr9CTm4cOzVBuByz	Q1:信義區方便計畫,友善樂活社區─公園再造計畫,象山心入口,象山好行,;	172.29.120.140
2017-07-04 10:45:33	581ae14850feefe9158fccef1e1016bb:wEpyjinYTOBRSqxpSWGx7s7JPGKE8P0N	Q1:信義區方便計畫,信義區四育區民活動中心,友善樂活社區─公園再造計畫,東大排新綠徑,;	172.29.121.69
2017-07-04 10:45:39	431c56efd14848fb931724d1b97f86f7:zBT12BxPb2b6Is3X31817EbYXMveIHYJ	Q1:信義區四育區民活動中心,提倡綠能香格里拉作伙來!,友善樂活社區─公園再造計畫,東大排新綠徑,象山心入口,象山好行,;	211.79.136.2
2017-07-04 10:46:26	a4273ac7764b27228512101ccb6878bf:4n7TVDppQ5mxaGqUUkW4WXei8LIctFeM	Q1:信義區方便計畫,信義區四育區民活動中心,友善樂活社區─公園再造計畫,東大排新綠徑,;	172.29.121.69
2017-07-04 10:47:03	2bb12edd919036de84a46574982718e3:9AyMlwlOoJeVOp33j4Ussm1In4omMeKL	Q1:信義區方便計畫,信義區四育區民活動中心,友善樂活社區─公園再造計畫,東大排新綠徑,;	172.29.121.69
2017-07-04 10:47:06	0fba59f9fde9dd3fced96c488944ac98:3lOyWRygDIEFVFehracWQOOKUH8e0SYm	Q1:信義區四育區民活動中心,提倡綠能香格里拉作伙來!,友善樂活社區─公園再造計畫,東大排新綠徑,象山心入口,象山好行,;	211.79.136.2
2017-07-04 10:47:38	bccc0971837f24670bba054bf22f646a:OP3Iz3SOJqnkmodWzb20ZlCEOAiyfhuD	Q1:信義區方便計畫,信義區四育區民活動中心,友善樂活社區─公園再造計畫,東大排新綠徑,;	172.29.121.69
2017-07-04 10:48:34	09d465789965b94f0f2763efb1155d93:GExm7jFUfKE9Paj3LS4kaMTsMOoXh20m	Q1:提倡綠能香格里拉作伙來!,友善樂活社區─公園再造計畫,東大排新綠徑,象山心入口,;	172.30.210.7
2017-07-04 10:49:48	e553ccd082ccc18aaf580acb9c33113e:XylvtQ8zQ4AYM0d93LiiNPba6iyACDXw	Q1:信義區方便計畫,信義區四育區民活動中心,友善樂活社區─公園再造計畫,東大排新綠徑,;	172.29.121.69
2017-07-04 10:51:18	eb19da5e5371d43764bd44f36249acfe:lwni1QdsnK0cNTlsA7USsZW6bh91g8Tu	Q1:信義區方便計畫,提倡綠能香格里拉作伙來!,友善樂活社區─公園再造計畫,東大排新綠徑,象山心入口,象山好行,;	10.5.5.9
