2018-04-26 08:43:01	02f34675d7509792221cf5e1682342c5:4QtTNzB4OC1qdaPbrQWyFd9XGBRfhstO	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	172.29.16.150
2018-04-26 08:44:18	86dbf9f111f3c5127dadadaf518a8f01:xz79XWQqFJXvTN3VZB4iuXk1huy8Jh5l	Q1:彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	203.67.244.211
2018-04-26 08:44:52	8e53c058cc6f70844c9bf9bf30bb1ac9:oOBFhDCFMphUHHGHcrjELMnvFa5nJUit	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	103.31.196.193
2018-04-26 08:46:22	1d39a42778a77da1637653b306bb822c:SNCtAmsTSL9Ql947yRIZ0qZyAyfUPccg	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	172.29.16.150
2018-04-26 08:46:46	74f32b739010f125e3df420a5365f85b:vWnwJX7qH4BBvzF1tLy1Zi7sDafR5Ydt	Q1:活化青年公園,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	103.31.196.193
2018-04-26 08:49:06	2f884a480c10087c58fb739b1236dc41:iea4FlOpcgZjGPEKrFdn0bnac1TawF9J	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,;	103.31.196.193
2018-04-26 08:49:41	26fb2c4b3aa115623197e691b62bfcff:9W2yASHi1IO15YsLECrDzWp24TOGhGxq	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	49.215.199.115
2018-04-26 08:50:15	bc2c2d68f0ea34752815b6a40074f954:JLoAWu2EnJ5gMrcRD5UqxKKgIlksm85b	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	172.29.16.150
2018-04-26 08:50:31	c178a722ecde8711036940d9337d97bf:SVd1VNlFVp0nSXtISWQXaqVzhSpBSXXC	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	172.29.16.140
2018-04-26 08:51:41	e257f6db29cbdd9abe269098915ef1bc:WwiVOIfb3kEjANAOCpgu9Q9KTZgUbGAK	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	172.29.16.150
