2018-04-25 10:17:31	9f79f8cd61b282be727ff4ead5aa0603:194MC6X1I4zklTb2dWDKTaBDkSzi292H	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.52.104
2018-04-25 10:17:46	d550a7ba58214ae0b87abc11410fca69:qiO9AlrjhDMrTVstKkNjQK3aoAUWZnPh	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	101.13.20.17
2018-04-25 10:20:15	a7d35ad6b15543a87fa0ad4d71239ec1:hqTjroUmNGRcCpS0HFKWvvIbbYa43K1l	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.52.104
2018-04-25 10:27:17	7be1ee3d69e03510b607bfadc91d2df7:couoCA1FTzK6GwLDhSn067bOHr4RLfXS	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.52.104
2018-04-25 10:32:53	a89353156c2dcac36d3f585c90d46324:wNuKKgEYG8KhIpmU2Zp2WIwIxSqAWWin	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,;	110.50.159.145
2018-04-25 10:34:08	94caa904d39e8a70704ab843704e8cc6:bmC93i3BOT8wFEy2npvMFRUYAtwic33z	Q1:軍人公墓景觀活化,南港區公用WIFI增設	,;	172.28.48.170
2018-04-25 10:38:21	73bdb0c0bb7e10d9aed5514a44a8e084:KeLuR5Q3dAslixeLiGlI3F1ItVNiYW90	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	223.137.172.117
2018-04-25 10:39:00	8b67b1a8b8dc017d5c3952a58007815a:excl6OgsEB6cLSNNLO5oEBr4oOOC2rKv	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.170
2018-04-25 10:41:05	a44af60acafb752967dd26e34e3d95ff:jyn97DGMepvJuFBizcrxyYv7oP3TYtT3	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,;	172.28.52.104
2018-04-25 10:41:12	19bc179f861e6fb4ae1abb76ad5a929e:36BHJNinNl0raafuheZ7PzlnI34rTuqV	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	223.137.172.117
2018-04-25 10:43:16	1aa17ab2a57d3ccb3a0bb61df40ef2b0:GgHohsMccKWWuSU90Tfb5q1KPlFM9mrr	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.170
2018-04-25 10:45:00	0bdec1570990547374398985aea2c417:J7iOOsGrOxg9TD1aOv5yNQUjxZ20iHxR	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.52.104
2018-04-25 10:46:12	aff84463e7df1d2bb4a5c54f9ea7f001:dn1ebHL0xPQwebQuSoonr0J0x8j6zchK	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.170
2018-04-25 10:47:40	f44e35539b771bb5224d5ce46a6a5a0a:fEibYoBPNSY2BLvHNUSslAbWK8ZW7Yr8	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.170
2018-04-25 10:53:25	38fecdd7a56c1be9199ff23647a5238d:jFuNmQDE0kTRpRj0kCVe5d4xQY3VVO4w	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.52.104
2018-04-25 10:56:48	ba6c78870319c127c30abc7d6958df63:GajEoi8Dyccnp5IwPZHxzKM07R7c6ng6	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.52.104
