2018-04-21 08:46:24	1919caf2da439824b8b10c90cf70b158:412ngwBZsRELsVW6F7XYUerGfqMyaXqw	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	101.8.132.250
2018-04-21 08:53:42	ec769ef52f65e7fd4ab54e9a4b817ef4:FEVZLmmmP5eYMYDnPylcML0JvSjPQwjT	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	114.136.107.223
2018-04-21 08:55:12	8f5152b1199bd7c2f42049bdf859b2ed:UUgjpRv5ZGX0IaCqBTic8vwWIk5REjD5	Q1:閃亮文山．越夜越美麗	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	39.9.196.117
2018-04-21 08:56:51	ec0064e906650ecd6ecfeee18df1d503:FLCDQTbMrQhTx8ipS6mxS7027fzhTY6K	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	114.136.107.223
2018-04-21 08:59:38	141a51c6d596f6fa6ffb19e4c9903206:9olssvaIOxb3UkVyK4GgbbJMMpDjEO8g	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	114.136.107.223
2018-04-21 09:10:48	ff374fd97437d24ab584c26472a20e10:DNkmDh1ywMkXTtVtE2DAb20XrA9tXzQe	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,;	118.160.163.199
2018-04-21 09:13:43	d69a0923aee5ade276a6491b8b97fe37:JRqkqAUQ1qFM6PF7ULb9v3npL6pfsyhq	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,景美一定行	,興隆市場增掛電梯以便民案	,;	1.163.105.172
2018-04-21 09:48:03	10354b9ee9407b37ea5ddfcfc15f36dc:wVmhnMWZfz23qOVUPhPJRNkZuC7AUnBl	Q1:綠屋頂改造－從市政府做起	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	180.177.113.112
2018-04-21 10:04:22	3ab133e3909e3033a31e5c0953bb4d09:dLztd0LpP2RAd9fWIAFRWDi6vfDYLvT1	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	101.10.105.10
2018-04-21 10:11:41	0e0f9d4eb1293b4d1ccdd9c860ccd17f:iVStjop11Zg1ElOo0JmW3gqzBgZlOwod	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,;	223.136.186.183
