2018-04-18 09:24:38	378f234ac5a538795fd2528d515410c1:d63aKnwAHCIIjUxP3zrngo8EtKlEMSty	Q1:唭哩岸打石文化,;	61.64.138.107
2018-04-18 09:25:54	d6ec46b39ca40495c13a89083d03e237:SOaOAnk3EZu24HfQsJwVBx8hNuSvhYPY	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	172.28.67.178
2018-04-18 09:26:35	a199d5622de17b9bfed10a0cb6897cf9:CI1qvGyOU4M0DWp9U8o2cncbTSI47B6D	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	114.136.41.114
2018-04-18 09:26:52	85c004d665f0da0548261321f61a0dde:E35pAfmpENnovpzWkcZ93AvhzWv2Lizn	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	114.136.41.114
2018-04-18 09:28:46	6aea8f7c09059e49c547df1f8a53a952:63PuSXSMT2Xcda1TUMnfhaMP7dY6J0ER	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	114.136.41.114
2018-04-18 09:28:54	a124013e24cffd7459f18087f8ec2e29:nJqw4ymc7GFglxPEdp09JrVMQm1ASdHj	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	114.136.41.114
2018-04-18 09:30:58	8bd8dde04fef17b34ad4fdd9d1fbcdcb:TZT1C25uItzUMZnY1EfzzyDvzpnC12es	Q1:唭哩岸打石文化,;	39.10.139.232
2018-04-18 09:31:10	e08e4efe1039c91826f31e52409dda59:cfO6IyckzC8MRnz3lBBsnnMIIOBfIf2V	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	114.136.41.114
2018-04-18 09:31:10	1351eda7a4c96563d604c3cc46e803c4:kBMtvSWDWjGEY8eW9GAy72ea299Mcg2r	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	114.136.41.114
2018-04-18 09:31:27	eba7ceaefe7d56307a8dc4fb9d1ffc72:DVF4QrlgDaPMsyzl8r9CH5Y2nmJhMJ77	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	172.28.67.178
2018-04-18 09:31:51	d78208ae88aff9db843ab963e54ca027:qm1y3h8cLtL3UFL98c8aSW3ABK12I4MT	Q1:唭哩岸打石文化,;	172.28.115.17
2018-04-18 09:32:27	b3849e7c0469aa77b5aa9c424d443394:FdHnEABgLSckpuaGYshbJ3YV0liinjDp	Q1:唭哩岸打石文化,;	101.138.88.105
2018-04-18 09:37:16	57621dc736991153f990260b46393fbb:nn4Fh3wDfZSWJCDSEKA9ZZoTQQx9S26R	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	114.136.41.114
2018-04-18 09:37:41	acd6f13ddc8cb9dba31ad624cc6a774a:1ZfidlBwgRUvQXIVr6GHMgMWxNBfZH51	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	114.136.41.114
2018-04-18 09:39:06	0bd08e7bb1458fd49ed69d2b0846fd09:4KTwf6Ip7vZmY0cdYbcNbNC3QMTy4Rt3	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	114.136.41.114
2018-04-18 09:39:50	6de04bb06b2bf7bd0b269c0cebc897d9:APOQ53bsiMhilKIfMktwxikfXUng9a2C	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	114.136.41.114
2018-04-18 09:40:53	c7d4d763174de867bb6e11a0d16ebfd0:d0GDIqfhyflneqwEzbuSOwfKS0cxCfiL	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	172.28.67.9
2018-04-18 09:41:05	dd4c7db5254c0f7831e4801ebbf42bf5:D0Sna2w0ozRQNjEYTJ7MC89e8XIMkpBk	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	114.136.41.114
2018-04-18 09:41:56	6659182c6e3a8209092191e0f86783be:FWFpZ1IZ6Wkuas9qwJR6mr0HJhfQVcaT	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	114.136.41.114
2018-04-18 09:43:35	3128c568438f4f279312e6bbbcf80973:EodEpNQThoeOMuhlYIKvDluOV1BzYY4q	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	114.136.41.114
2018-04-18 09:43:56	6131e77a819d9ea4177c684c2cbc81ab:MRyw9vVAnn07bJ4sAURRMknaFexdZXXr	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	114.136.41.114
2018-04-18 09:45:18	730f57548af67a2631d03af34ea5bad7:xZrmW8BsiceBsS0YTm5nI3JAF4cYInFr	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	114.136.41.114
2018-04-18 09:45:21	d0f05ed26fe594b36398b0209ef111cb:05lGwbh0ZfI2pJoFq74TT5ZjlPxJay0u	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	172.29.164.241
2018-04-18 09:45:28	990308a3d9cbdcdf60fd4888e24d4579:TC3ppWlHuJA2HcyDbQHL4DxBslalw1Cw	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	114.136.41.114
2018-04-18 09:47:21	13fd022baf26aea2807509b7c8e1b83d:nB1Up8w6Ja9yPvnRanXkYaYa5eNy4xUJ	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	114.136.41.114
2018-04-18 09:47:38	61d91ee485f2dd6a1684ff0dd856900f:cLhjLfQLBbcefTqOHybkzkfgmgN6emUB	Q1:唭哩岸打石文化,;	172.28.67.111
2018-04-18 09:47:43	b066f5aa3fdc5198067287126e66a21e:kkoFljIWMa8fvkTwmID6LwCbSpdXoowO	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	114.136.41.114
2018-04-18 09:49:07	fe5c9526f406e221c523690e08683241:9ORiMUG4F6JT2eWAY9BTaPLJZgzUUY4o	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	114.136.41.114
