2018-04-18 10:01:02	86f6a9a5bcd8a158005c06f29143fe88:PrwGLjSkhjf7giF9O1kUkWy6uukksVFr	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,住好住滿	,;	103.226.215.186
2018-04-18 10:02:47	0eba0836a681dfa8f99bdff06eaea0b1:GAYqO695ASRhxZGLZY2LM8hXDI4Q0vV1	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.151
2018-04-18 10:05:26	84242db3290d566ac7a4b74584dea620:BsQinJbtJOQghqyQdg9lO7N49Z2h0DOL	Q1:人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,;	172.30.78.26
2018-04-18 10:05:38	40e5b6bc952c09aed1d728fad4d778a6:SQl3LJSs9WAztzDUm82VZraInEnDPuiN	Q1:友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	10.5.11.1
2018-04-18 10:06:46	847685e15eada4653f5621c7ce78dbdd:2pu7SK3Lh4e6rKxfysTTMO9P50oEF5ms	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.9.92
2018-04-18 10:07:06	1dd18001327ee296498f483bfbee2fa7:RPsFuYPBxXZmzC5HgABccR07Yk1Tndnd	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.151
2018-04-18 10:09:04	44bc4b637b2266119b08ac0801584615:RWxPWmLZUxzvQ7YIPOwjp1cxMDwHJf7u	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.9.92
2018-04-18 10:10:10	4ff1687f5f67deef4776a36296a9d073:O0FRihVHfgW7YEWW03bi5y5apqWkNGUb	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.151
2018-04-18 10:12:10	0b5bec20ba86ee6c37b2d67ef540d921:6KONGTpvR5K6wTHye9b8ymZc37sfV4x6	Q1:百年觀光新店溪河道再造	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.220
2018-04-18 10:17:02	fab539f73a80fb416973bbd766cef15b:nFvMHkb8bAfgBpV41eoxPUZw1MtYpHLc	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.151
2018-04-18 10:22:59	1580d8c45fc71738a42b5d2285598460:sTUllenJzv9HM8TlHqakeGvjavmcOC1A	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,;	114.136.241.245
2018-04-18 10:23:16	6085044a6272c7c9ae47303fa7679f81:MwjeewkgyO48qilv2XmcBc4uVlgcQhAO	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	114.136.241.245
2018-04-18 10:24:45	b8e701ec1cf20f20c2289d891c031c46:9pR2QjmEpHfkygqLJsTFqlhagDuIm5oV	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	223.140.140.227
2018-04-18 10:25:27	c6bcfa95993da3b383304e644ab623cc:uEif4NyRV5XdDuDIEuDJbqlPnuIaffm8	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.151
2018-04-18 10:26:25	b734e11567ba1085ec2656d3d0d12b11:tbWPW3JYffNluGVZGIxMcw7F5DiF1dM5	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	223.140.140.227
2018-04-18 10:26:49	52b66845d6fa1f9518021e606ce1621f:zL8M7o3i0ZONIYLzhymKD66KDSkp1oTL	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.151
2018-04-18 10:28:26	e7072ff584f55108bd2f504e207e65ed:sUCGUapZWfGGpqsikfyzKsRVtfi7z8Zs	Q1:百年觀光新店溪河道再造	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,;	114.136.241.245
2018-04-18 10:30:05	d7cc174d9113bdb2f97fe4de954ffa43:f8NM6VIS3RQvK7nGKA9u8huO2L8kLM3r	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,住好住滿	,;	114.136.241.245
2018-04-18 10:33:34	90f5c3e240ab02b893d5364f231a8490:y1oU0xm4MNSNBvAb8NhY7XfVoy5sY2pK	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	114.136.241.245
2018-04-18 10:33:35	2f6870df27147838a4fc23b97581b393:C2rXgMIPsWbI7aCR7U1rYMlZMpk30a8L	Q1:百年觀光新店溪河道再造	,住好住滿	,;	114.136.241.245
