2018-04-25 10:25:56	42e902dd65abde05ab0e9b255d2c83b0:gVNWd1yVNICipiqW6i5evvrdd3a0xNcZ	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	223.140.57.17
2018-04-25 10:28:00	9775227d62e9e64928bec41f18700ef8:lL2DVN1lYVJTaB7oaC38DdWlazFdgZ3J	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	223.140.57.17
2018-04-25 10:30:30	5989477d907d5a716a0ccac6df92ad2b:ofOUgoakW8vmqsApzK5fx0OgmjebnrCA	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	223.140.57.17
2018-04-25 10:31:08	6cfc4cb1e08f54f03f8fedfa0a1fad65:SPGFLoRB4ajfAAj0EyybJfdGNo3MdDxu	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,;	110.26.33.168
2018-04-25 10:41:03	975bcdffa019de445e8f203f92bb39c0:Rn7UXXa9bOhq1vhXcBlwX8FgDuovAuCh	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	172.29.114.102
2018-04-25 10:44:11	c88dfdcb1f10891568b555f03e861e07:uMZC6gbUwSjKYtjEsw47DWIq2Jb7KIZi	Q1:信義後花園-松隆映像	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	10.35.14.9
2018-04-25 10:49:42	369469a4d0ca8b94e218ca45c65be10b:pKYRSFvFv5LAcpuaPIDAT0xzJ5fvEGBt	Q1:信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	111.243.95.121
2018-04-25 10:49:44	6ea2c3e2906222e73146110344d8cab5:RnDJZABZrjaNM8g6LfsYEqFGNRi0adt1	Q1:信義之星-中興里區民活動中心	,公園內建廁所	,閃亮永春-商圈重生	,;	172.29.120.140
2018-04-25 10:51:53	ad4bc2127e1cb7c7c92788d1b22334fb:tEsI6TVDKKnhLjE7JK8bxLon3h3nehMA	Q1:公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,;	172.29.120.140
2018-04-25 11:02:23	8a23ddfc34edae27b85d30de40b85d61:Drbr2yYIgnmx52cQ4vRG3Zrk2fQgdbD7	Q1:信義之星-中興里區民活動中心	,樂活後山埤一號計畫	,台北市新亮點最長巷之前世今生	,;	172.29.114.103
