2018-04-27 09:05:57	440d610aed12577d61e21da7523aeedc:SiuCkFuwClBkC2LSNpvih5jwKgjckI7M	Q1:景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	223.136.23.94
2018-04-27 09:10:13	73839eedf2f06973817c58ae6b1a5396:E0hWuinYaNShI5G9njTn0LJLL7dk5NpG	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	10.254.248.207
2018-04-27 09:12:07	9ee833947c768c6fb0cb366f485040cd:F0LIfN9W77qKrsjcCC4KHtboWERm0U60	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,;	114.136.10.117
2018-04-27 09:15:01	8ba95b784c7bfec18c4649bff669506a:xfXHOii9o19dTyehzUx3uwgX1tvRaOda	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	1.167.48.94
2018-04-27 09:16:11	b6e597acad1b1ebaba857ba2939d017e:4s1ynreLwac7vjjwFJl2BBqqtswUl8e1	Q1:呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,;	10.254.248.164
2018-04-27 09:19:31	2ca263eb1647c18fc38d33b20c87f864:kDdrgng0S4fbU9OMkWKJ4dJbYw0JHkli	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,;	10.254.248.207
2018-04-27 09:25:02	d7daaabf0084d6790ade16fefe9d159f:NYbnFAn8P1MpopERj92ANaFcCpBSyvxV	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,;	10.254.248.207
2018-04-27 09:25:57	b89c5a76bd76b38fa4251856dc473d92:U2gVEOBhgf178dclHYTyKSPYaOPVzmTO	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,興豐熊讚親子主題公園改造計畫	,;	10.20.4.50
2018-04-27 09:27:45	f296745362c18bf061872ddb2ca89a59:vPHD8R6lebc2aBLHsvpQzhFZTiiXhtOe	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,;	10.254.248.207
2018-04-27 09:30:20	9532ace3a2caeb6851f23b7dabc41e0d:LhE5G3joPmy4QGpbMTh5cLKFWrSZc3uS	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,;	10.20.4.50
2018-04-27 09:31:09	40bdc1070059d6a3082b0826a2657ae0:eNwpzqx8Gr3pkC3G1neSkS47oYwtUWGJ	Q1:綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,興隆市場增掛電梯以便民案	,;	172.29.144.207
2018-04-27 09:32:02	2da08291f1b9bbdd21d874f0743bbf0b:4urFIqGLmYeedQuoYwfHvkUUjBiH30i3	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,;	180.217.146.166
2018-04-27 09:32:56	3437c52e5b882610de9d9325542e5828:uYnKOkhlBRcQEPAFIRHi1ZETUMX2HO5X	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,;	10.254.248.207
